G_mM,theta,p0_H,p1_H,p2_H,p3_H,p0_R,p1_R,p2_R,p3_R,UT_H,UR,UT_R
2.827463685669375122e-03,9.987539870541620735e-01,1.934495232488014463e-09,4.651841297889658467e-06,3.728729351432302601e-03,9.962666168727746241e-01,2.651926610720414299e-09,5.445393099097678196e-06,3.727140095535469606e-03,9.962674118594387895e-01,8.987327802986794234e-01,1.121229745879767301e-03,7.674340981677526541e-01
2.858222316569531980e-03,9.987522049242604227e-01,1.942807638150836155e-09,4.665149230205360267e-06,3.734049100335406352e-03,9.962612838076267963e-01,2.663321774381452958e-09,5.460969547842502659e-06,3.732455298157285727e-03,9.962620810689730710e-01,8.977274791150570143e-01,1.121579429084348500e-03,7.665754305559513426e-01
2.889315555966922178e-03,9.987503981341847581e-01,1.951259340361447010e-09,4.678660691125717067e-06,3.739442422285453507e-03,9.962558769657641200e-01,2.674907894431784460e-09,5.476784212085903252e-06,3.737844004297963610e-03,9.962566765365821198e-01,8.967129575803345354e-01,1.121936158409970932e-03,7.657088869164493383e-01
2.920747043908040845e-03,9.987485663004037617e-01,1.959853177908824659e-09,4.692379353921657526e-06,3.744910460521338243e-03,9.962503952002715879e-01,2.686688862456440052e-09,5.492841390925489119e-06,3.743307355939811017e-03,9.962511971159804247e-01,8.956891489589161592e-01,1.122300069498018355e-03,7.648344102313232584e-01
2.952520460037703388e-03,9.987467090326958008e-01,1.968592059127882591e-09,4.706308970001502084e-06,3.750454378196416746e-03,9.962448373442415184e-01,2.698668665386952916e-09,5.509145474915125828e-06,3.748846514956901462e-03,9.962456416408993487e-01,8.946559864043197585e-01,1.122671300405063887e-03,7.639519433875898713e-01
2.984639524029838488e-03,9.987448259340220291e-01,1.977478963881736929e-09,4.720453370819369694e-06,3.756075358755382385e-03,9.962392022103948586e-01,2.710851388200918760e-09,5.525700948273828744e-06,3.754462663483007327e-03,9.962400089247172019e-01,8.936134029679655422e-01,1.123049991639847372e-03,7.630614291847083175e-01
3.017107996022934911e-03,9.987429166003941594e-01,1.986516945621175230e-09,4.734816469856869003e-06,3.761774606326971550e-03,9.962334885906862780e-01,2.723241216761458710e-09,5.542512391226856211e-06,3.760157004311149177e-03,9.962342977600564531e-01,8.925613316081854043e-01,1.123436286200631996e-03,7.621628103422684042e-01
3.049929677060229331e-03,9.987409806207420138e-01,1.995709133499365226e-09,4.749402264640996800e-06,3.767553346117275773e-03,9.962276952559089294e-01,2.735842440706521066e-09,5.559584482353908501e-06,3.765930761281736667e-03,9.962285069183933750e-01,8.914997051994516530e-01,1.123830329612935395e-03,7.612560295078679706e-01
3.083108409534708865e-03,9.987390175767785205e-01,2.005058734554812999e-09,4.764214838816878459e-06,3.773412824810600755e-03,9.962218209552918813e-01,2.748659456444023309e-09,5.576922001018207395e-06,3.771785179683925012e-03,9.962226351496554777e-01,8.904284565418323361e-01,1.124232269967636103e-03,7.603410292651821001e-01
3.116648077638912301e-03,9.987370270428607144e-01,2.014569035971689009e-09,4.779258364287540028e-06,3.779354310982173566e-03,9.962158644160844512e-01,2.761696770249887097e-09,5.594529829869714019e-06,3.777721526667345529e-03,9.962166811818060630e-01,8.893475183706696097e-01,1.124642257959449507e-03,7.594177521422250665e-01
