PII_uM,Kp_uM,Kq_uM,gain_R_over_H,max_absolute_GS_fraction_difference
5.000000000000000000e-01,3.670681707614493750e-01,3.071471141608240196e-01,7.523569202509724496e-01,1.066741750044786219e-02
5.000000000000000000e-01,3.670681707614493750e-01,3.369262490618652461e-01,7.523569202509725606e-01,1.054765079013442186e-02
5.000000000000000000e-01,3.670681707614493750e-01,3.695925895870819655e-01,7.523569202509724496e-01,1.043317883346073227e-02
5.000000000000000000e-01,3.670681707614493750e-01,4.054260618103502356e-01,7.523569202509725606e-01,1.032394442916217958e-02
5.000000000000000000e-01,3.670681707614493750e-01,4.447337317522747635e-01,7.523569202509725606e-01,1.021982116183262068e-02
5.000000000000000000e-01,3.670681707614493750e-01,4.878524367060187439e-01,7.523569202509724496e-01,1.012139458912331147e-02
5.000000000000000000e-01,3.670681707614493750e-01,5.351516716806418161e-01,7.523569202509724496e-01,1.002824835138482751e-02
5.000000000000000000e-01,3.670681707614493750e-01,5.870367556966068490e-01,7.523569202509724496e-01,9.939845012805981206e-03
5.000000000000000000e-01,3.670681707614493750e-01,6.439523050662339099e-01,7.523569202509724496e-01,9.857281770582870806e-03
5.000000000000000000e-01,3.670681707614493750e-01,7.063860434225154306e-01,7.523569202509724496e-01,9.778866501270355727e-03
5.000000000000000000e-01,3.670681707614493750e-01,7.748729811453863858e-01,7.523569202509725606e-01,9.706157314529728630e-03
5.000000000000000000e-01,3.670681707614493750e-01,8.499999999999999778e-01,7.523569202509725606e-01,9.637398561585852619e-03
5.000000000000000000e-01,5.053732778604036469e-01,2.800000000000000266e-01,7.464869577707320403e-01,8.470258179666734222e-03
5.000000000000000000e-01,5.053732778604036469e-01,3.071471141608240196e-01,7.464869577707319293e-01,8.369750085292726460e-03
5.000000000000000000e-01,5.053732778604036469e-01,3.369262490618652461e-01,7.464869577707320403e-01,8.273403253442168648e-03
5.000000000000000000e-01,5.053732778604036469e-01,3.695925895870819655e-01,7.464869577707320403e-01,8.181607706114646383e-03
5.000000000000000000e-01,5.053732778604036469e-01,4.054260618103502356e-01,7.464869577707319293e-01,8.094177454207707179e-03
5.000000000000000000e-01,5.053732778604036469e-01,4.447337317522747635e-01,7.464869577707319293e-01,8.010907250712850924e-03
5.000000000000000000e-01,5.053732778604036469e-01,4.878524367060187439e-01,7.464869577707321513e-01,7.931764808361996266e-03
5.000000000000000000e-01,5.053732778604036469e-01,5.351516716806418161e-01,7.464869577707320403e-01,7.857393230185971689e-03
5.000000000000000000e-01,5.053732778604036469e-01,5.870367556966068490e-01,7.464869577707320403e-01,7.786758466405863111e-03
5.000000000000000000e-01,5.053732778604036469e-01,6.439523050662339099e-01,7.464869577707319293e-01,7.720564317834077706e-03
5.000000000000000000e-01,5.053732778604036469e-01,7.063860434225154306e-01,7.464869577707320403e-01,7.658082586573966566e-03
5.000000000000000000e-01,5.053732778604036469e-01,7.748729811453863858e-01,7.464869577707320403e-01,7.599765408771497199e-03
5.000000000000000000e-01,5.053732778604036469e-01,8.499999999999999778e-01,7.464869577707321513e-01,7.544720832240781050e-03
5.000000000000000000e-01,6.957894209284354314e-01,2.800000000000000266e-01,7.420459042190074017e-01,6.521115380573205833e-03
