# Re F(i omega) of the auxiliary chain at the identical-independent steady state (companion manuscript); omega in units of the mean exit rate
n,omega,ReF
2,0.0019095738328780967,0.9876534427188917
2,0.001999877270535287,0.9876533576885015
2,0.0020944511431514688,0.9876532644258254
2,0.00219349739890506,0.9876531621338498
2,0.0022972275360711512,0.9876530499383981
2,0.002405863054644067,0.9876529268806603
2,0.0025196359293170162,0.9876527919089991
2,0.0026387891048289345,0.9876526438699634
2,0.0027635770147361603,0.9876524814984307
2,0.0028942661247167516,0.987652303406796
2,0.003031135501567579,0.9876521080731147
2,0.0031744774091091933,0.9876518938280955
2,0.0033245979322709418,0.9876516588408362
2,0.0034818176306889667,0.9876514011031777
2,0.0036464722232127486,0.9876511184125435
2,0.003818913304781854,0.9876508083531175
2,0.003999509097203665,0.9876504682752002
2,0.004188645235435271,0.9876500952725669
2,0.0043867255910484985,0.9876496861576325
2,0.0045941731346364765,0.9876492374342143
2,0.0048114308390032594,0.9876487452676561
2,0.00503896262506515,0.987648205452062
2,0.0052772543524835375,0.9876476133743569
2,0.005526814857144603,0.98764696397487
2,0.005788177037701274,0.9876462517041008
2,0.006061898993497572,0.9876454704753025
2,0.006348565216305217,0.9876446136124739
2,0.006648787838417263,0.9876436737933189
2,0.006963207939763883,0.9876426429866844
2,0.007292496916841445,0.9876415123839435
2,0.007637357916378027,0.9876402723237383
2,0.007998527336796709,0.9876389122094384
2,0.008376776400682925,0.9876374204186131
2,0.008772912801613356,0.9876357842037417
2,0.00918778242886334,0.9876339895833166
2,0.009622271173675135,0.9876320212224107
2,0.010077306820944612,0.987629862301687
2,0.010553861030365236,0.9876274943737366
2,0.011052951411260215,0.9876248972055182
2,0.011575643695533041,0.987622048605555
2,0.012123054013376522,0.9876189242344185
2,0.012696351276599734,0.987615497396881
2,0.013296759674662127,0.9876117388139682
2,0.013925561288744634,0.9876076163729691
2,0.014584098829439862,0.9876030948532748
2,0.01527377850390714,0.9875981356257136
2,0.01599607301861488,0.987592696322822
2,0.016752524724082157,0.9875867304772495
2,0.017544748908334597,0.9875801871252222
2,0.018374437246107267,0.9875730103716953
2,0.0192433614111598,0.9875651389135038
2,0.02015337685941733,0.9875565055164631
2,0.021106426791015546,0.9875470364419842
2,0.022104546299710218,0.9875366508183463
2,0.02314986671851161,0.9875252599513022
2,0.024244620170823284,0.9875127665681827
2,0.02539114433680347,0.9874990639891134
2,0.026591887445126937,0.9874840352183463
2,0.02784941350080644,0.9874675519480433
2,0.029166407760237052,0.9874494734661211
2,0.030545682465154336,0.9874296454589763
2,0.03199018284775065,0.9874078986990336
2,0.033502993419772316,0.9873840476061201
2,0.03508734455902713,0.9873578886706288
2,0.0367466194073669,0.9873291987253071
2,0.03848436109487431,0.9872977330512778
2,0.04030428030568053,0.987263223302554
2,0.04221026320156901,0.987225375231857
2,0.04420637972028532,0.9871838661989494
2,0.046296892266272656,0.9871383424409752
2,0.04848626481239081,0.9870884160824204
2,0.05077917243205401,0.9870336618602717
2,0.053180511282142,0.9869736135377483
2,0.055695409058001334,0.9869077599775908
2,0.05832923594286206,0.9868355408433168
2,0.061087616075050394,0.9867563418940628
2,0.0639764395574843,0.9866694898356404
2,0.0670018750350959,0.9865742466872083
2,0.07017038286703829,0.9864698036195104
2,0.07348872892180387,0.9863552742169327
2,0.07696399902471159,0.9862296871116972
2,0.08060361408861345,0.9860919779343276
2,0.08441534596012985,0.9859409805200919
2,0.08840733401525062,0.9857754173064778
2,0.09258810253973955,0.9855938888518688
2,0.0969665789314552,0.9853948624005296
2,0.10155211276345681,0.9851766594137706
2,0.10635449574860112,0.9849374419818279
2,0.11138398264826195,0.984675198025607
2,0.11665131316981961,0.9843877251920968
2,0.12216773489967918,0.9840726133420624
2,0.12794502732078733,0.9837272255237257
2,0.13399552696593384,0.9833486773217031
2,0.14033215376054847,0.982933814466717
2,0.1469684386112446,0.9824791885888018
2,0.15391855229902054,0.9819810309952058
2,0.1611973357388157,0.9814352243543688
2,0.16882033167003627,0.9808372721696896
2,0.17680381784572086,0.9801822659318935
2,0.1851648417912156,0.979464849847341
2,0.1939212572065831,0.9786791830524153
2,0.2030917620904737,0.9778188992421551
2,0.2126959386668692,0.9768770636656758
2,0.22275429519995588,0.9758461274729726
2,0.23328830978641582,0.9747178794389213
2,0.2443204762186489,0.9734833951424029
2,0.25587435201685893,0.9721329837434256
2,0.26797460873256923,0.9706561325810681
2,0.28064708463098387,0.9690414499123946
2,0.29391883986468875,0.9672766062297933
2,0.307818214256508,0.9653482747341773
2,0.32237488781490303,0.9632420717069905
2,0.337619944111134,0.960942497717757
2,0.35358593665351795,0.9584328808286207
2,0.3703069584005141,0.9556953232151583
2,0.38781871456107236,0.952710652915276
2,0.40615859883769795,0.9494583827457346
2,0.4253657732750387,0.9459166787878392
