lambda,G_mM,mean_UMP,UT_capacity,UR_capacity,E0,E1,E2
1.000000000000000000e+00,3.660388316933351621e-03,2.996111690373698622e+00,8.720949761473376638e-01,1.131792016198026815e-03,8.728970443149485225e-01,1.227850981480659853e-01,4.317857536985365494e-03
1.000000000000000000e+00,3.711017524130004637e-03,2.996102188239195829e+00,8.705141822845169353e-01,1.132504902861652734e-03,8.713124818334465616e-01,1.242574448778406837e-01,4.430073288712795508e-03
1.000000000000000000e+00,3.762347016760716600e-03,2.996092511644963263e+00,8.689159134965110942e-01,1.133235639519542372e-03,8.697104027664700476e-01,1.257444984189320658e-01,4.545098814597734772e-03
1.000000000000000000e+00,3.814386480927970096e-03,2.996082656980653791e+00,8.673000337805196747e-01,1.133984646616073176e-03,8.680906707869876504e-01,1.272463289160683242e-01,4.663000296944025402e-03
1.000000000000000000e+00,3.867145736709009553e-03,2.996072620552692189e+00,8.656664075792590562e-01,1.134752353474096070e-03,8.664531500145467025e-01,1.287630046698336472e-01,4.783845315619559245e-03
1.000000000000000000e+00,3.920634740008940508e-03,2.996062398582199471e+00,8.640148998299863603e-01,1.135539198443022077e-03,8.647977050644138908e-01,1.302945920642201438e-01,4.907702871366039117e-03
1.000000000000000000e+00,3.974863584439471131e-03,2.996051987202862588e+00,8.623453760146639890e-01,1.136345629047822272e-03,8.631242010978603663e-01,1.318411554928856921e-01,5.034643409253825377e-03
1.000000000000000000e+00,4.029842503223590028e-03,2.996041382458749514e+00,8.606577022112861242e-01,1.137172102138893359e-03,8.614325038736097007e-01,1.334027572841187392e-01,5.164738842271671126e-03
1.000000000000000000e+00,4.085581871126639161e-03,2.996030580302065260e+00,8.589517451463589692e-01,1.138019084042707135e-03,8.597224798004433621e-01,1.349794576245157696e-01,5.298062575040929888e-03
1.000000000000000000e+00,4.142092206414086340e-03,2.996019576590849720e+00,8.572273722485532765e-01,1.138887050713182671e-03,8.579939959909816949e-01,1.365713144813754387e-01,5.434689527642916698e-03
1.000000000000000000e+00,4.199384172836347247e-03,2.996008367086615998e+00,8.554844517035286033e-01,1.139776487883700134e-03,8.562469203166385157e-01,1.381783835238139801e-01,5.574696159547519805e-03
1.000000000000000000e+00,4.257468581641089822e-03,2.995996947451925685e+00,8.537228525099369580e-01,1.140687891219680341e-03,8.544811214637578756e-01,1.398007180426112661e-01,5.718160493630825361e-03
1.000000000000000000e+00,4.316356393613381831e-03,2.995985313247899295e+00,8.519424445366072796e-01,1.141621766471647217e-03,8.526964689909355410e-01,1.414383688687957386e-01,5.865162140268634534e-03
1.000000000000000000e+00,4.376058721144012939e-03,2.995973459931667637e+00,8.501430985809186325e-01,1.142578629628682955e-03,8.508928333875310779e-01,1.430913842909768141e-01,6.015782321492062039e-03
1.000000000000000000e+00,4.436586830326462276e-03,2.995961382853742805e+00,8.483246864283611188e-01,1.143559007072189777e-03,8.490700861333707605e-01,1.447598099714381414e-01,6.170103895191059867e-03
1.000000000000000000e+00,4.497952143082876650e-03,2.995949077255336768e+00,8.464870809132880591e-01,1.144563435729858362e-03,8.472280997596444152e-01,1.464436888610048670e-01,6.328211379350755922e-03
1.000000000000000000e+00,4.560166239319408954e-03,2.995936538265596027e+00,8.446301559808606640e-01,1.145592463229745325e-03,8.453667479109979732e-01,1.481430611126972885e-01,6.490190976304796404e-03
1.000000000000000000e+00,4.623240859111413768e-03,2.995923760898769661e+00,8.427537867501839752e-01,1.146646648054354400e-03,8.434859054088201802e-01,1.498579639941902131e-01,6.656130596989457554e-03
1.000000000000000000e+00,4.687187904918860976e-03,2.995910740051300536e+00,8.408578495786359630e-01,1.147726559694616346e-03,8.415854483157242383e-01,1.515884317990944807e-01,6.826119885181293999e-03
1.000000000000000000e+00,4.752019443832360308e-03,2.995897470498842807e+00,8.389422221273830083e-01,1.148832778803644209e-03,8.396652540012204957e-01,1.533344957570791367e-01,7.000250241700349367e-03
1.000000000000000000e+00,4.817747709850288620e-03,2.995883946893195038e+00,8.370067834280862096e-01,1.149965897350158995e-03,8.377252012085808497e-01,1.550961839428587064e-01,7.178614848560515953e-03
1.000000000000000000e+00,4.884385106187392848e-03,2.995870163759158711e+00,8.350514139507863032e-01,1.151126518771451290e-03,8.357651701228863139e-01,1.568735211840662225e-01,7.361308693047492226e-03
1.000000000000000000e+00,4.951944207615349182e-03,2.995856115491311034e+00,8.330759956729690829e-01,1.152315258125756990e-03,8.337850424402566407e-01,1.586665289680392332e-01,7.548428591704291722e-03
1.000000000000000000e+00,5.020437762835646203e-03,2.995841796350687591e+00,8.310804121498016617e-01,1.153532742243912248e-03,8.317847014382537818e-01,1.604752253475431045e-01,7.740073214203142295e-03
1.000000000000000000e+00,5.089878696885358385e-03,2.995827200461387729e+00,8.290645485855322461e-01,1.154779609880148428e-03,8.297640320474525266e-01,1.622996248454650903e-01,7.936343107082372700e-03
