model,G_mM,GS_fraction,AT_capacity,AR_capacity,E,EG,EP,EU,EGP,EPU
reference,2.943699729091377,0.9908770448712394,6.02394667863679,0.05546217417357941,0.021724044971166527,0.004099299057461013,0.33429069142233575,0.05546217417357941,0.37106011228420016,0.21336367809125717
reference,2.984415951143403,0.9910567660130392,6.077659398002931,0.05484441653938215,0.0215795040683751,0.004128347189706578,0.33304615917941416,0.05484441653938215,0.3747919569841962,0.21160961603892572
reference,3.025695345696277,0.9912316704870222,6.131359329817012,0.05423734992233599,0.021435496735335166,0.00415751812210201,0.33177493868327124,0.05423734992233599,0.378525598715174,0.20986909782178162
reference,3.067545702354487,0.9914019264452388,6.1850436003279,0.05364066620861257,0.021292009794945988,0.004186808534677963,0.3304777401926038,0.05364066620861257,0.3822607736243003,0.20814200164485944
reference,3.1099749184655865,0.991567695181171,6.238709344148266,0.05305406693016808,0.021149030874233442,0.004216215100558995,0.3291552671335231,0.05305406693016808,0.38599721910486307,0.20642820085665325
reference,3.1529910006104696,0.9917291314355906,6.292353702697362,0.052477262980516214,0.021006548375629666,0.004245734486041591,0.327808215907068,0.052477262980516214,0.38973467371084425,0.20472756453990032
reference,3.1966020661142602,0.9918863836878441,6.3459738227298,0.051909974339176726,0.020864551449171168,0.004275363350703066,0.32643727571407305,0.051909974339176726,0.393472877075534,0.20303995807134204
reference,3.2408163445780644,0.9920395944333024,6.399566854951904,0.05135192980448851,0.020723029965586275,0.004305098347541859,0.32504312839667604,0.05135192980448851,0.3972115698343643,0.20136524365134306
reference,3.2856421794319455,0.992188900447669,6.45312995272702,0.05080286673448619,0.020581974490242506,0.0043349361231495576,0.32362644829574105,0.05080286673448619,0.40095049355212614,0.19970328080425465
reference,3.3310880295093734,0.9923344330388056,6.506660270870622,0.05026253079555431,0.02044137625792541,0.0043648733179149,0.32218790212348153,0.05026253079555431,0.40468939065470094,0.19805392685042297
reference,3.3771624706434262,0.9924763182867006,6.560154964535882,0.04973067571858251,0.020301227148420427,0.0043949065662598034,0.3207281488505724,0.04973067571858251,0.4084280043654191,0.19641703735074575
reference,3.4238741972850963,0.9926146772721727,6.613611188190057,0.049207063062357344,0.02016151966286995,0.004425032496907471,0.3192478396070434,0.049207063062357344,0.41216607864614135,0.19479246652468046
reference,3.471232024143983,0.9927496262948687,6.667026094681698,0.04869146198393672,0.02002224690087818,0.004455247733182433,0.3177476175962592,0.04869146198393672,0.4159033581431338,0.19318006764260967
reference,3.519244887851646,0.9928812770810904,6.720396834398456,0.04818364901576433,0.01988340253833733,0.004485548893342314,0.316228118021302,0.04818364901576433,0.4196395881377881,0.19157969339346595
reference,3.5679218486479978,0.9930097369819508,6.773720554515047,0.04768340784928947,0.01974498080594868,0.004515932590941003,0.31468996802308485,0.04768340784928947,0.4233745145022263,0.18999119622850977
reference,3.6172720920910226,0.99313510916234,6.826994398330671,0.04719052912486964,0.019606976468413403,0.004546395435222898,0.3131337866295369,0.04719052912486964,0.4271078836598072,0.18841442868214991
reference,3.667304930790109,0.9932574927811534,6.880215504694904,0.04670481022774098,0.019469384804268325,0.004576934031547644,0.3115601847152229,0.04670481022774098,0.43083944255053325,0.186849243670687
reference,3.718029806163392,0.9933769831632099,6.933381007521003,0.04622605508985061,0.019332201586342485,0.004607544981844908,0.3099697649707685,0.04622605508985061,0.4345689386013494,0.1852954947698442
reference,3.7694562902194018,0.9934936719632694,6.986488035385307,0.045754073997353824,0.019195423062811343,0.004638224885098512,0.3083631218814871,0.045754073997353824,0.43829611970130605,0.18375303647194308
reference,3.8215940873633216,0.9936076473225339,7.0395337112111855,0.045288683403587604,0.019059045938826236,0.004668970337859248,0.30674084171462124,0.045288683403587604,0.44202073418154036,0.18222172442356527
reference,3.8744530362282665,0.9937189940179993,7.092515152035969,0.044829705747338466,0.01892306735869704,0.004699777934785625,0.30510350251462637,0.044829705747338466,0.44574253080002746,0.18070141564452516
reference,3.9280431115318692,0.9938277936050056,7.145429468859027,0.04437696927623093,0.018787484888607275,0.004730644269211725,0.303451674105953,0.04437696927623093,0.4494612587310341,0.17919196872896295
reference,3.9823744259585716,0.9939341245533125,7.198273766569093,0.04393030787507035,0.018652296499841382,0.00476156593374134,0.3017859181027951,0.04393030787507035,0.4531766675592002,0.17769324402935177
reference,4.037457232067904,0.994038062377018,7.251045143948735,0.043489560898979866,0.018517500552504722,0.004792539520867411,0.30010678792529955,0.043489560898979866,0.45688850727815583,0.17620510382419258
reference,4.093301924229208,0.9941396797586092,7.3037406937539275,0.043054573011177946,0.018383095779717584,0.004823561623615887,0.2984148288217487,0.043054573011177946,0.4605965282935873,0.17472741247015264
reference,4.149919040583105,0.9942390466674349,7.356357502866377,0.04262519402524947,0.018249081272265297,0.004854628836212968,0.29671057789624833,0.04262519402524947,0.46430048143064007,0.17326003653938382
reference,4.207319265030068,0.9943362304728606,7.408892652516302,0.04220127875176969,0.0181154564636874,0.00488573775477471,0.29499456414147945,0.04220127875176969,0.4680001179455486,0.17180284494274004
reference,4.265513429246536,0.9944312960523629,7.461343218573271,0.04178268684914429,0.017982221115789176,0.004916884978017909,0.2932673084760852,0.04178268684914429,0.47169518954137546,0.170355709039588
reference,4.324512514728909,0.9945243058948032,7.513706271902612,0.04136928267853633,0.017849375304560003,0.004948067107991209,0.29152932378628993,0.04136928267853633,0.4753854483877326,0.1689185027348898
reference,4.384327654865778,0.9946153201991093,7.565978878784843,0.04096093516275519,0.017716919406483674,0.0049792807508252926,0.28978111497137,0.04096093516275519,0.47907064714435027,0.16749110256421557
reference,4.4449701370388635,0.9947043969685813,7.618158101395553,0.04055751764898648,0.017584854085225966,0.00501052251750098,0.2880231789926063,0.04055751764898648,0.4827505389883614,0.166073387767319
