G_mM,PII_uM,GS_odds,large_pool_limit,odds_above_large_pool_limit
2.999999999999999889e-01,4.987369155143898780e+00,6.273463441053968304e-02,6.022933334391179783e-02,2.505301066627885209e-03
2.999999999999999889e-01,5.169866768448514449e+00,6.264619664497492191e-02,6.022933334391179783e-02,2.416863301063124081e-03
2.999999999999999889e-01,5.359042327143944462e+00,6.256088075505310264e-02,6.022933334391179783e-02,2.331547411141304815e-03
2.999999999999999889e-01,5.555140190341711026e+00,6.247857653776908021e-02,6.022933334391179783e-02,2.249243193857282386e-03
2.999999999999999889e-01,5.758413658732213669e+00,6.239917768031191109e-02,6.022933334391179783e-02,2.169844336400113260e-03
2.999999999999999889e-01,5.969125301774607983e+00,6.232258162273991015e-02,6.022933334391179783e-02,2.093248278828112319e-03
2.999999999999999889e-01,6.187547296859235324e+00,6.224868942550351725e-02,6.022933334391179783e-02,2.019356081591719421e-03
2.999999999999999889e-01,6.413961780880652164e+00,6.217740564164436073e-02,6.022933334391179783e-02,1.948072297732562908e-03
2.999999999999999889e-01,6.648661214675415820e+00,6.210863819350609383e-02,6.022933334391179783e-02,1.879304849594296001e-03
2.999999999999999889e-01,6.891948760795351347e+00,6.204229825379702773e-02,6.022933334391179783e-02,1.812964909885229903e-03
2.999999999999999889e-01,7.144138675104303893e+00,6.197830013085152412e-02,6.022933334391179783e-02,1.748966786939726292e-03
2.999999999999999889e-01,7.405556712704153277e+00,6.191656115794155063e-02,6.022933334391179783e-02,1.687227814029752804e-03
2.999999999999999889e-01,7.676540548714481993e+00,6.185700158649556912e-02,6.022933334391179783e-02,1.627668242583771296e-03
2.999999999999999889e-01,7.957440214449387206e+00,6.179954448308698500e-02,6.022933334391179783e-02,1.570211139175187176e-03
2.999999999999999889e-01,8.248618549554858959e+00,6.174411563005877818e-02,6.022933334391179783e-02,1.514782286146980350e-03
2.999999999999999889e-01,8.550451670690742745e+00,6.169064342965602937e-02,6.022933334391179783e-02,1.461310085744231546e-03
2.999999999999999889e-01,8.863329457362722152e+00,6.163905881154289890e-02,6.022933334391179783e-02,1.409725467631101070e-03
2.999999999999999889e-01,9.187656055531798316e+00,6.158929514358386231e-02,6.022933334391179783e-02,1.359961799672064486e-03
2.999999999999999889e-01,9.523850399651864862e+00,6.154128814577488477e-02,6.022933334391179783e-02,1.311954801863086939e-03
2.999999999999999889e-01,9.872346753809656761e+00,6.149497580721237366e-02,6.022933334391179783e-02,1.265642463300575837e-03
2.999999999999999889e-01,1.023359527266605795e+01,6.145029830599339077e-02,6.022933334391179783e-02,1.220964962081592942e-03
2.999999999999999889e-01,1.060806258292335080e+01,6.140719793194346354e-02,6.022933334391179783e-02,1.177864588031665716e-03
2.999999999999999889e-01,1.099623238606952569e+01,6.136561901207192998e-02,6.022933334391179783e-02,1.136285668160132156e-03
2.999999999999999889e-01,1.139860608317811774e+01,6.132550783865889366e-02,6.022933334391179783e-02,1.096174494747095829e-03
2.999999999999999889e-01,1.181570342257076689e+01,6.128681259988068980e-02,6.022933334391179783e-02,1.057479255968891974e-03
2.999999999999999889e-01,1.224806317117897336e+01,6.124948331288410791e-02,6.022933334391179783e-02,1.020149968972310084e-03
2.999999999999999889e-01,1.269624381047232475e+01,6.121347175922348116e-02,6.022933334391179783e-02,9.841384153116833344e-04
2.999999999999999889e-01,1.316082425785206311e+01,6.117873142257655716e-02,6.022933334391179783e-02,9.493980786647593373e-04
2.999999999999999889e-01,1.364240461444192931e+01,6.114521742865899195e-02,6.022933334391179783e-02,9.158840847471941271e-04
2.999999999999999889e-01,1.414160694024203124e+01,6.111288648726023037e-02,6.022933334391179783e-02,8.835531433484325459e-04
2.999999999999999889e-01,1.465907605764721744e+01,6.108169683632513197e-02,6.022933334391179783e-02,8.523634924133341451e-04
2.999999999999999889e-01,1.519548038436769843e+01,6.105160818800971223e-02,6.022933334391179783e-02,8.222748440979144036e-04
2.999999999999999889e-01,1.575151279682788896e+01,6.102258167664115912e-02,6.022933334391179783e-02,7.932483327293612940e-04
2.999999999999999889e-01,1.632789152515870157e+01,6.099457980851479694e-02,6.022933334391179783e-02,7.652464646029991102e-04
2.999999999999999889e-01,1.692536108093938907e+01,6.096756641346327138e-02,6.022933334391179783e-02,7.382330695514735530e-04
2.999999999999999889e-01,1.754469321888720756e+01,6.094150659813536014e-02,6.022933334391179783e-02,7.121732542235623131e-04
2.999999999999999889e-01,1.818668793373726800e+01,6.091636670092399897e-02,6.022933334391179783e-02,6.870333570122011402e-04
2.999999999999999889e-01,1.885217449360013831e+01,6.089211424848545856e-02,6.022933334391179783e-02,6.627809045736607341e-04
2.999999999999999889e-01,1.954201251113202176e+01,6.086871791379328683e-02,6.022933334391179783e-02,6.393845698814890066e-04
2.999999999999999889e-01,2.025709305390119397e+01,6.084614747567305276e-02,6.022933334391179783e-02,6.168141317612549357e-04
2.999999999999999889e-01,2.099833979538484385e+01,6.082437377976545462e-02,6.022933334391179783e-02,5.950404358536567906e-04
2.999999999999999889e-01,2.176671020808322154e+01,6.080336870086751333e-02,6.022933334391179783e-02,5.740353569557155033e-04
