G_mM,total_log_ratio_sensitivity,via_PII,direct_glutamine
1.054137344098096327e-02,1.001259607669169327e+00,1.522018820324873116e-03,9.997375888879314054e-01
1.068717802067863099e-02,1.001291541768978277e+00,1.556550842928008504e-03,9.997349909445386595e-01
1.083499931817685606e-02,1.001324330118791295e+00,1.592050361636180005e-03,9.997322798284227208e-01
1.098486522800883047e-02,1.001358000962682127e+00,1.628549168547319733e-03,9.997294517998958074e-01
1.113680403053514574e-02,1.001392583255267255e+00,1.666080351517957442e-03,9.997265029474342590e-01
1.129084439728040776e-02,1.001428107461066475e+00,1.704678254425991395e-03,9.997234291794281358e-01
1.144701539634368666e-02,1.001464604843960160e+00,1.744378592548420908e-03,9.997202262154946117e-01
1.160534649788383908e-02,1.001502108000096314e+00,1.785218457826894759e-03,9.997168895773296260e-01
1.176586757968058408e-02,1.001540651035526253e+00,1.827236383248717795e-03,9.997134145790731452e-01
1.192860893277261289e-02,1.001580268766844029e+00,1.870472490553768590e-03,9.997097963171603929e-01
1.209360126717366930e-02,1.001620998142271901e+00,1.914968464000137973e-03,9.997060296596297357e-01
1.226087571766760337e-02,1.001662876909392708e+00,1.960767672127590108e-03,9.997021092348572502e-01
1.243046384968367508e-02,1.001705944769781809e+00,2.007915285741192733e-03,9.996980294196836647e-01
1.260239766525310390e-02,1.001750242490828668e+00,2.056458236557526763e-03,9.996937843269030344e-01
1.277670960904798286e-02,1.001795813238004484e+00,2.106445464767485974e-03,9.996893677920719590e-01
1.295343257450370239e-02,1.001842701153776716e+00,2.157927836364094756e-03,9.996847733596047059e-01
1.313259991002613605e-02,1.001890952689876713e+00,2.210958424261118271e-03,9.996799942681119377e-01
1.331424542528461194e-02,1.001940615896756981e+00,2.265592475499566237e-03,9.996750234349377484e-01
1.349840339759191682e-02,1.001991740956498234e+00,2.321887521939756081e-03,9.996698534398537062e-01
1.368510857837263242e-02,1.002044380093991549e+00,2.379903619658401033e-03,9.996644765078571693e-01
1.387439619972084988e-02,1.002098587843391897e+00,2.439703315043074625e-03,9.996588844910224703e-01
1.406630198104860847e-02,1.002154420692846770e+00,2.501351846292925677e-03,9.996530688493555639e-01
1.426086213582634585e-02,1.002211937883856763e+00,2.564917277843650756e-03,9.996470206305864137e-01
1.445811337841651847e-02,1.002271201056004202e+00,2.630470641299199712e-03,9.996407304488436063e-01
1.465809293100174548e-02,1.002332274513406674e+00,2.698086025397898342e-03,9.996341884621453566e-01
1.486083853060883933e-02,1.002395225135899182e+00,2.767840823056649455e-03,9.996273843486338517e-01
1.506638843622993065e-02,1.002460123089576882e+00,2.839815845328937799e-03,9.996203072814868751e-01
1.527478143604208728e-02,1.002527041382705875e+00,2.914095451571722950e-03,9.996129459024232222e-01
1.548605685472685851e-02,1.002596056043358885e+00,2.990767822922827182e-03,9.996052882937199735e-01
1.570025456089099020e-02,1.002667247007593687e+00,3.069925120301781381e-03,9.995973219486622430e-01
1.591741497458980248e-02,1.002740697408910364e+00,3.151663677008069691e-03,9.995890337403194881e-01
1.613757907495462843e-02,1.002816494111158363e+00,3.236084194086122790e-03,9.995804098885656686e-01
1.636078840792582270e-02,1.002894727886172177e+00,3.323292040768419282e-03,9.995714359252266812e-01
1.658708509409256501e-02,1.002975494035496240e+00,3.413397439623050943e-03,9.995620966572511534e-01
1.681651183664124513e-02,1.003058891768660033e+00,3.506515724720316290e-03,9.995523761277883557e-01
1.704911192941380160e-02,1.003145025268992185e+00,3.602767630293575787e-03,9.995422575750451122e-01
1.728492926507735339e-02,1.003234002983077744e+00,3.702279604148599364e-03,9.995317233887943686e-01
1.752400834340700833e-02,1.003325939130661482e+00,3.805184032158117832e-03,9.995207550643925298e-01
1.776639427968316337e-02,1.003420952727651638e+00,3.911619635889930849e-03,9.995093331541612391e-01
1.801213281320495838e-02,1.003519169007205392e+00,4.021731819485921573e-03,9.994974372159707299e-01
1.826127031592143790e-02,1.003620718709186121e+00,4.135672947307595174e-03,9.994850457588665416e-01
1.851385380118220764e-02,1.003725738879523988e+00,4.253602746124751817e-03,9.994721361855548603e-01
1.876993093260904272e-02,1.003834373669576507e+00,4.375688863957354416e-03,9.994586847315646283e-01
1.902955003309017915e-02,1.003946773447950136e+00,4.502107051631717982e-03,9.994446664008829195e-01
1.929276009389912019e-02,1.004063096665674948e+00,4.633041759109447245e-03,9.994300548978568566e-01
1.955961078393947741e-02,1.004183509234479743e+00,4.768686662147544539e-03,9.994148225551360287e-01
1.983015245911769545e-02,1.004308185326152625e+00,4.909245035559112527e-03,9.993989402574180447e-01
2.010443617184547171e-02,1.004437307816630209e+00,5.054930390156954501e-03,9.993823773607440897e-01
2.038251368067355365e-02,1.004571068641268994e+00,5.205967052101342918e-03,9.993651016070793647e-01
2.066443746005878351e-02,1.004709669771841618e+00,5.362590682636786052e-03,9.993470790338945253e-01
2.095026071026631284e-02,1.004853322861265497e+00,5.525048998878210466e-03,9.993282738784439179e-01
2.124003736740869355e-02,1.005002250931141816e+00,5.693602469087680890e-03,9.993086484764266419e-01
2.153382211362383711e-02,1.005156688105302010e+00,5.868524963375237186e-03,9.992881631546856047e-01
2.183167038739385404e-02,1.005316880675621860e+00,6.050104616498502147e-03,9.992667761175916263e-01
2.213363839400643573e-02,1.005483087901382078e+00,6.238644547224871974e-03,9.992444433267271275e-01
2.243978311616114454e-02,1.005655582098086143e+00,6.434463768134656217e-03,9.992211183734653890e-01
2.275016232472224648e-02,1.005834650502634986e+00,6.637898167834440505e-03,9.991967523440202781e-01
2.306483458962030331e-02,1.006020595006873464e+00,6.849301394312015678e-03,9.991712936765070330e-01
2.338385929090465096e-02,1.006213733933947196e+00,7.069045891520190500e-03,9.991446880095351535e-01
2.370729662994862721e-02,1.006414402215938253e+00,7.297524138052898651e-03,9.991168780218216972e-01
2.403520764080982475e-02,1.006622952903768464e+00,7.535149617064111280e-03,9.990878032622815264e-01
2.436765420174754476e-02,1.006839758144195685e+00,7.782358201994132862e-03,9.990573999700211871e-01
2.470469904689945317e-02,1.007065210334445737e+00,8.039609430905130666e-03,9.990256008836270185e-01
