PII_uM,bound_fraction_reference,bound_fraction_tradeoff
9.697653591082495694e-01,9.148992269367480779e-01,8.230637431188391195e-01
1.000000000000000000e+00,9.172593272176103874e-01,8.274904897077228760e-01
1.031177274593055859e+00,9.195597295883667366e-01,8.318291132974566793e-01
1.063326571637161599e+00,9.218016273691040929e-01,8.360802354651724055e-01
1.096478196143185091e+00,9.239862076964532323e-01,8.402445337692825422e-01
1.130663397949639881e+00,9.261146504261090762e-01,8.443227385287848108e-01
1.165914401179832360e+00,9.281881271093946895e-01,8.483156296379772421e-01
1.202264434617413169e+00,9.302078000415394676e-01,8.522240334244005622e-01
1.239747763028945293e+00,9.321748213792920845e-01,8.560488195571603898e-01
1.278399719463024331e+00,9.340903323254354795e-01,8.597908980121219402e-01
1.318256738556407459e+00,9.359554623777555094e-01,8.634512160998429886e-01
1.359356390878526888e+00,9.377713286399879111e-01,8.670307555614695794e-01
1.401737418346770792e+00,9.395390351922709993e-01,8.705305297372226692e-01
1.445439770745927888e+00,9.412596725186287427e-01,8.739515808115241313e-01
1.490504643386196149e+00,9.429343169890291865e-01,8.772949771382332340e-01
1.536974515935272567e+00,9.445640303935802784e-01,8.805618106489442320e-01
1.584893192461114042e+00,9.461498595264545841e-01,8.837531943467754614e-01
1.634305842723137614e+00,9.476928358171767819e-01,8.868702598875981558e-01
1.685259044750752722e+00,9.491939750069374737e-01,8.899141552501972363e-01
1.737800828749376247e+00,9.506542768676530253e-01,8.928860424964251141e-01
1.791980722375333901e+00,9.520747249615402197e-01,8.957870956220126413e-01
1.847849797422292495e+00,9.534562864390248027e-01,8.986184984983194290e-01
1.905460717963248340e+00,9.547999118728630608e-01,9.013814429049740173e-01
1.964867789993468117e+00,9.561065351264216305e-01,9.040771266530215344e-01
2.026127012621145251e+00,9.573770732541095896e-01,9.067067517979124913e-01
2.089296130854040978e+00,9.586124264320378119e-01,9.092715229414027878e-01
2.154434690031884259e+00,9.598134779170282016e-01,9.117726456211878716e-01
2.221604091955811544e+00,9.609810940321796835e-01,9.142113247868816073e-01
2.290867652767774931e+00,9.621161241772459016e-01,9.165887633607594509e-01
2.362290662634462635e+00,9.632194008621624004e-01,9.189061608815100035e-01
2.435940447292026967e+00,9.642917397621160180e-01,9.211647122290961276e-01
2.511886431509582351e+00,9.653339397926212762e-01,9.233656064286868137e-01
2.590200204531325046e+00,9.663467832031349403e-01,9.255100255315287239e-01
2.670955587558985211e+00,9.673310356877953264e-01,9.275991435705137622e-01
2.754228703338168938e+00,9.682874465119521989e-01,9.296341255881352961e-01
2.840098047914216384e+00,9.692167486532011766e-01,9.316161267344679198e-01
2.928644564625237479e+00,9.701196589557025129e-01,9.335462914327491424e-01
3.019951720402019202e+00,9.709968782966316159e-01,9.354257526101189546e-01
3.114105584446761554e+00,9.718490917636515292e-01,9.372556309910482497e-01
3.211194909364823769e+00,9.726769688423694271e-01,9.390370344509842981e-01
3.311311214825911176e+00,9.734811636127858048e-01,9.407710574277300397e-01
3.414548873833604059e+00,9.742623149537991134e-01,9.424587803881077086e-01
3.521005201684520802e+00,9.750210467548833249e-01,9.441012693474494233e-01
3.630780547701013994e+00,9.757579681341029820e-01,9.456995754395097764e-01
3.743978389823814368e+00,9.764736736616813628e-01,9.472547345344115577e-01
3.860705432153815231e+00,9.771687435883772421e-01,9.487677669022849258e-01
3.981071705534973137e+00,9.778437440779820244e-01,9.502396769203013127e-01
4.105190671273082792e+00,9.784992274432766646e-01,9.516714528208560786e-01
4.233179328088211513e+00,9.791357323848427496e-01,9.530640664787045635e-01
4.365158322401661017e+00,9.797537842321535351e-01,9.544184732349139111e-01
4.501252062061340986e+00,9.803538951864082529e-01,9.557356117555562136e-01
4.641588833612781961e+00,9.809365645646136445e-01,9.570164039231207065e-01
4.786300923226384896e+00,9.815022790444484224e-01,9.582617547586999018e-01
4.935524741394806014e+00,9.820515129094733453e-01,9.594725523730596173e-01
5.089400951518094018e+00,9.825847282942951066e-01,9.606496679447672493e-01
5.248074602497728058e+00,9.831023754293042316e-01,9.617939557236310222e-01
5.411695265464637750e+00,9.836048928846490291e-01,9.629062530577555679e-01
5.580417174769969790e+00,9.840927078131266326e-01,9.639873804425940218e-01
5.754399373371572146e+00,9.845662361917012495e-01,9.650381415904425442e-01
5.933805862753280813e+00,9.850258830613823902e-01,9.660593235188839056e-01
6.118805757518225086e+00,9.854720427652160497e-01,9.670516966567583861e-01
6.309573444801936049e+00,9.859050991841693534e-01,9.680160149662980773e-01
6.506288748655573606e+00,9.863254259707020521e-01,9.689530160801316239e-01
6.709137099554118855e+00,9.867333867798434577e-01,9.698634214519136210e-01
6.918309709189369272e+00,9.871293354976070633e-01,9.707479365194117138e-01
7.134003750712564873e+00,9.875136164665950789e-01,9.716072508789284079e-01
7.356422544596413537e+00,9.878865647086569890e-01,9.724420384699984377e-01
7.585775750291843700e+00,9.882485061444882257e-01,9.732529577693574963e-01
7.822279563860029761e+00,9.885997578100584882e-01,9.740406519932288676e-01
8.066156921766134857e+00,9.889406280697857765e-01,9.748057493070331203e-01
8.317637711026717895e+00,9.892714168263674335e-01,9.755488630416672136e-01
8.576958985908945010e+00,9.895924157272130151e-01,9.762705919155589829e-01
8.844365191385998415e+00,9.899039083674081585e-01,9.769715202617377248e-01
9.120108393559105409e+00,9.902061704891738092e-01,9.776522182592184418e-01
9.404448517263523044e+00,9.904994701777783961e-01,9.783132421680307278e-01
9.697653591082495694e+00,9.907840680538725353e-01,9.789551345672728999e-01
1.000000000000000000e+01,9.910602174622277216e-01,9.795784245956040692e-01
