# Fig 7b-d: n=3, A=1, Bhat=Ghat=0.4, Khat=1; (enzyme x, target x)
l,b_theta_1x1x,c_theta_bridge_1x1x,d_theta_1x1x,d_TL_1x1x,b_theta_2x1x,c_theta_bridge_2x1x,d_theta_2x1x,d_TL_2x1x,b_theta_1x4x,c_theta_bridge_1x4x,d_theta_1x4x,d_TL_1x4x,b_theta_2x4x,c_theta_bridge_2x4x,d_theta_2x4x,d_TL_2x4x
0.13314483516026404,0.882497179530272,0.9082411070120545,0.8686141901810919,0.24530159314992128,0.8824946389195674,0.9082411070120545,0.8570796480032633,0.3504053875501737,0.8824981301075553,0.9458163428148718,0.873316189686023,0.3138473694594176,0.8824965400129319,0.9458163428148718,0.8648409278356404,0.4860506795307784
0.13601623011767416,0.8802665547165544,0.906406021141394,0.866296686507937,0.24977204340097603,0.8802639958459397,0.906406021141394,0.8547122993315325,0.35636373672841154,0.8802675199347477,0.9446765412732175,0.8710648741589829,0.3183056360436663,0.8802659262197862,0.9446765412732175,0.8625716742504075,0.49206256674479393
0.13894954943731377,0.8779994388347223,0.9045373001644048,0.8639456141179668,0.25431754437027587,0.8779968622170862,0.9045373001644048,0.8523140117036317,0.3624111422915655,0.8780004185631444,0.9435134200818243,0.8687792307341821,0.32282175773972677,0.8779988216100545,0.9435134200818243,0.8602700139086802,0.49813115032403377
0.14194612857692873,0.8756954578374964,0.9026344564531652,0.8615607111248494,0.2589393194060135,0.8756928640086761,0.9026344564531652,0.8498845950616233,0.3685488365447845,0.8756964519292626,0.9423265318536715,0.8664589246116107,0.3273968232048571,0.8756948521269994,0.9423265318536715,0.8579356477909221,0.5042573140022133
0.14500733179468092,0.8733542424689614,0.9006970008708386,0.8591417208506225,0.263638616530577,0.8733516319879017,0.9006970008708386,0.8474238641682975,0.3747780747556106,0.8733552507606878,0.9411154220034542,0.8641036251028454,0.3320319551774127,0.8733536485048181,0.9411154220034542,0.8555682805249704,0.5104419782899708
0.14813455277025664,0.8709754286657357,0.8987244430466046,0.8566883921188841,0.26841670914494814,0.8709728021146272,0.8987244430466046,0.8449316388307571,0.38110013582649344,0.8709764509772607,0.9398796287005466,0.8617130059960432,0.3367283112916204,0.8709748466698208,0.9398796287005466,0.8531676207184767,0.5166861014395818
0.1513292152393696,0.8685586579679003,0.8967162916647394,0.8542004795541386,0.27327489675145833,0.8685560159522923,0.8967162916647394,0.8424077441291097,0.3875163229829187,0.868559694102025,0.9386186828257098,0.859286745930811,0.3414870848985355,0.8685580881513725,0.9386186828257098,0.8507333813008814,0.522990680414061
0.15459277364194776,0.8661035779395263,0.8946720547682069,0.851677743887199,0.27821450569508743,0.8661009210884161,0.8946720547682069,0.8398520106502412,0.3940279644772766,0.8661046276817701,0.9373321079318291,0.856824528782807,0.34630950589325993,0.8661030205024324,0.9373321079318291,0.848265279874807,0.5293567518605788
0.15792671378429898,0.8636098425986033,0.8925912400771174,0.8491199522665319,0.2832368899234865,0.8636071715645003,0.8925912400771174,0.8372642747265965,0.40063641430859676,0.863610905716982,0.9360194202089824,0.8543260440579162,0.3511968415485248,0.8636092977294957,0.9360194202089824,0.845763039076723,0.5357853930881461
0.16133255351555675,0.8610771128561553,0.8904733553224103,0.8465268785754122,0.2883434317658984,0.8610744283151178,0.8904733553224103,0.834644378679902,0.40734305295828377,0.861078189100978,0.9346801284541545,0.851790987295795,0.3561503973547646,0.8610765807317242,0.9346801284541545,0.8432263869467178,0.5422777230495448
0.16481184341871427,0.8585050569642919,0.8883179085950995,0.8438983037547337,0.29353554273115146,0.8585023596159379,0.8883179085950995,0.8319921710697328,0.4141492881419949,0.8585061460679801,0.9333137340459295,0.8492190604825759,0.3611715178668342,0.8585045377490137,0.9333137340459295,0.8406550573071736,0.5488349033275042
0.16836616751656108,0.8558933509729235,0.8861244087114194,0.841234016131304,0.2988146643248924,0.8558906415404129,0.8861244087114194,0.8293075069468134,0.4210565555778041,0.8558944526498521,0.9319197309245116,0.8466099724724727,0.36626158755754623,0.8558928448187251,0.9319197309245116,0.8380487901501256,0.5554581391251496
0.1719971439928443,0.8532416791948297,0.8838923655941929,0.8385338117514295,0.30418226888622535,0.8532389584248179,0.8838923655941929,0.8265902481109285,0.42806631977081144,0.8532427931411909,0.9304976055774347,0.8439634394180038,0.37142203167823007,0.8532411862407704,0.9304976055774347,0.8354073320330483,0.562148680260778
0.17570642592898206,0.8505497346787397,0.8816212906707314,0.8357974947195732,0.3096398604439179,0.8505470033413026,0.8816212906707314,0.8238402633732883,0.43518007481435966,0.8505508605724317,0.9290468370313492,0.8412791852085256,0.37665431712653896,0.8505492550507121,0.9290468370313492,0.8327304364827831,0.5689078221670368
