# Fig 8c
Khat2,factor_linear,factor_complementary
6.957962763625874e-07,1.1856081720788518,1.1462451902054351
7.938918371383827e-07,1.1856082170533615,1.1462452051248686
9.058172204798057e-07,1.185608268368508,1.1462452221476893
1.033522198534382e-06,1.1856083269182105,1.1462452415704387
1.179231428496732e-06,1.185608393722412,1.1462452637314675
1.3454832067723464e-06,1.185608469944855,1.1462452890168233
1.5351736868259814e-06,1.185608556913343,1.1462453178669862
1.75160733100226e-06,1.1856086561428771,1.1462453507845298
1.998554475203595e-06,1.1856087693620436,1.1462453883428867
2.2803170092185245e-06,1.1856088985431272,1.1462454311963286
2.6018033168706063e-06,1.185609045936465,1.1462454800913766
2.9686137814666395e-06,1.1856092141096495,1.1462455358797814
3.3871383460735035e-06,1.1856094059922457,1.1462455995333969
3.864667828151579e-06,1.185609624926829,1.146245672161069
4.4095209276774435e-06,1.1856098747272084,1.1462457550279876
5.031189141273519e-06,1.1856101597448485,1.1462458495777008
5.740502106790353e-06,1.1856104849446738,1.1462459574572714
6.549816258691328e-06,1.185610855991547,1.1462460805459704
7.473230080670364e-06,1.1856112793489293,1.146246220988004
8.526829705264904e-06,1.1856117623914693,1.1462463812298673
9.728969138879525e-06,1.1856123135334296,1.146246564062967
1.110058999381994e-05,1.185612942375249,1.1462467726722345
1.2665586297161036e-05,1.1856136598707345,1.1462470106916103
1.4451220731523563e-05,1.1856144785178173,1.1462472822673366
1.6488599558792393e-05,1.1856154125762142,1.1462475921301787
1.881321450008362e-05,1.1856164783157215,1.1462479456778318
2.1465561011664186e-05,1.1856176942995336,1.1462483490689261
2.449184372736672e-05,1.1856190817074448,1.1462488093302972
2.7944781356508604e-05,1.1856206647046124,1.1462493344793707
3.188452505886674e-05,1.1856224708622312,1.1462499336638035
3.637970629506178e-05,1.1856245316374905,1.1462506173207774
4.150863240620575e-05,1.1856268829211052,1.1462513973587916
4.736065075015173e-05,1.1856295656619316,1.1462522873650074
5.403770515798789e-05,1.1856326265795414,1.1462533028418855
6.165611182469384e-05,1.1856361189770592,1.1462544614770918
7.034858557048147e-05,1.185640103668404,1.1462557834514828
8.026655177087025e-05,1.1856446500359528,1.1462572917904583
9.15827842299813e-05,1.185649837236963,1.1462590127648042
0.00010449441494955573,1.185655755579595,1.146260976347987
0.00011922636822473231,1.1856625080922953,1.1462632167378617
0.0001360352788895144,1.1856702123136516,1.1462657729518222
0.00015521396296888263,1.185679002333481,1.1462686895057395
0.00017709651861758804,1.1856890311203587,1.1462720171884497
0.0002020641462054378,1.1857004731754495,1.1462758139452272
0.0002305517889366201,1.1857135275581772,1.146280145885536
0.00026305570968455954,1.1857284213354191,1.1462850884325015
0.00030014213603291647,1.1857454135130387,1.1462907276339647
0.00034245712412183174,1.1857647995165708,1.1462971616577784
0.0003907378131304228,1.185786916296904,1.14630450249711
0.00044582526645183635,1.1858121481471309,1.1463128779151592
0.000508679123257791,1.185840933328168,1.1463224336626843
0.0005803943156870628,1.1858737716137955,1.1463333360064587
0.0006622201428760808,1.18591123288036,1.1463457746119006
0.0007555820341067342,1.185953966882677,1.1463599658291788
0.0008621063801916118,1.186002714375963,1.146376156438798
0.0009836488656665109,1.1860583197639623,1.1463946279202144
0.0011223267953450922,1.186121745475908,1.146415701315833
0.0012805559783735279,1.1861940882999322,1.1464397427723105
0.0014610928123158385,1.1862765979277468,1.1464671698521192
0.0016670823003867969,1.1863706979952569,1.146498458720728
0.0019021128383062457,1.1864780099358663,1.146534152328549
0.002170278725177506,1.1866003799976934,1.1465748697223497
0.0024762514873472195,1.1867399098121973,1.1466213166382075
0.0028253612577286923,1.1868989909394123,1.146674297547338
0.003223689628239658,1.1870803438532327,1.1467347293475096
0.0036781755928706307,1.1872870618677256,1.1468036569164226
0.004196736426942227,1.1875226605406783,1.1468822707691926
0.004788405608302692,1.187791133121166,1.1469719270903573
0.0054634901830922684,1.188097012630716,1.1470741704411322
0.006233750317431088,1.1884454411788,1.1471907594752262
0.0071126041628719675,1.1888422471075335,1.1473236960306425
0.008115361604433219,1.189294030531349,1.1474752580004242
0.009259490963168679,1.1898082577766966,1.1476480364210122
0.010564923299310015,1.1903933651251082,1.1478449772520196
0.012054399617028907,1.1910588721082815,1.148069428353644
0.01375386701922552,1.1918155043831888,1.148325192196825
0.01569293071347212,1.1926753259135874,1.148616584858868
0.017905369743185424,1.1936518797857922,1.1489485018706938
0.02042972542821134,1.1947603364758874,1.1493264914698798
0.023309972765625388,1.1960176477480915,1.1497568357859809
0.026596286486742407,1.1974427035906663,1.1502466404235911
0.03034591511526812,1.1990564886835875,1.1508039328087467
0.034624178252933596,1.2008822338507292,1.1514377695138949
0.039505604465615324,1.2029455568040606,1.1521583525637065
0.045075229592240584,1.2052745852876934,1.152977154434268
0.05143007809339072,1.2079000545453271,1.1539070510776432
0.05868085324511773,1.210855369980589,1.1549624618183307
0.06695386562163465,1.214176625078938,1.1561594943657676
0.07639323346159561,1.2179025642840402,1.1575160924605044
0.08716339324897922,1.2220744807345003,1.1590521828207896
0.0994519642436079,1.2267360397455243,1.1607898170935702
0.11347301686224445,1.2319330207584105,1.1627533034658333
0.12947080184639745,1.237712973274689,1.1649693215133
0.14772400518000664,1.2441247859177613,1.1674670128176698
0.16855060287888252,1.251218172053092,1.1702780389919034
0.19231340022372853,1.2590430799910626,1.1734365981261061
0.21942635193175997,1.2676490401674159,1.1769793904711028
0.25036177336611753,1.277084465352665,1.1809455245627005
0.2856585684044015,1.2873959222946691,1.1853763561029698
0.3259316172981536,1.2986273938752242,1.1903152538530075
0.3718824880624628,1.3108195496767183,1.1958072895728011
0.4243116579911845,1.324009039943363,1.2018988525724215
0.4841324582000421,1.3382278237078937,1.2086371934838542
0.5523869841155414,1.3535025371051208,1.216069906043074
0.6302642490749564,1.3698539033554982,1.2242443595353425
0.7191208972782963,1.3872961825781978,1.2332070975011604
0.8205048369177609,1.405836658069907,1.243003219912502
0.9361822051805919,1.425475156465978,1.2536757658669613
1.0681681348633427,1.4462036023234273,1.265265111829343
1.2187618585607851,1.468005612814012,1.2778083967055827
1.3905867619544434,1.490856144712174,1.2913389800299704
1.586636083940518,1.5147212127197711,1.3058859339579711
1.810325059706397,1.5395577042664361,1.3214735644226063
2.0655504151031474,1.565313320079736,1.338120952567865
2.3567582487228766,1.5919266709236868,1.355841505132373
2.689021484206162,1.6193275583470441,1.3746425023389435
3.068128242020861,1.647437460599326,1.3945246342564728
3.500682670173991,1.6761702344855103,1.4154815215006653
3.994219990356316,1.7054330306203898,1.4374992231387127
4.557337763656559,1.7351274047084664,1.4605557431781397
5.199845662531318,1.7651505929100406,1.4846205561816324
5.93293635810123,1.795396906679883,1.5096541814285434
6.769380499678888,1.8257591934367372,1.5356078423504453
7.723749183127696,1.8561303049157771,1.5624232528326443
8.81266778351366,1.8864045155643334,1.5900325730502733
10.055105573887921,1.9164788385152207,1.618358574256775
11.472706175441548,1.9462541956530903,1.6473150438649686
13.090164595568845,1.9756364097236432,1.676807449613408
14.935657421949845,2.0045369990304187,1.706733865258926
17.04133366675612,2.0328737674925854,1.736986141981199
19.44387481162534,2.0605711939039772,1.7674512910720834
22.185133809549086,2.0875606330172722,1.7980130270404773
25.31286417526857,2.1137803477582873,1.8285534077967474
28.881551865141443,2.139175395936721,1.8589545016192102
32.95336443806449,2.1636973966849875,1.8891000098451043
37.599234032107276,2.187304202176516,1.9188767794828774
42.90009302261726,2.2099594986901963,1.9481761502877717
48.948283887315846,2.2316323590600415,1.9768950946430512
55.84916783863636,2.252296765620543,2.004937124227938
63.722960246139415,2.271931120044931,2.0322129529592563
72.70682482258796,2.290517753100685,2.0586409198054865
82.95726305500345,2.3080424449392924,2.084147186619994
94.65284050527022,2.3244939637005064,2.108665734760307
107.99729747322907,2.339863628307808,2.132138189638457
123.22309821089539,2.3541448992561547,2.1545135049950916
140.59548051612904,2.36733299989497,2.1757475388591887
