G_mM,U,p0,p1,p2,p3,variance
7.188789761816253426e-03,2.967324247476492705e+00,1.292150292972334942e-06,3.520251501135831899e-04,3.196782577240132178e-02,9.676788569271921325e-01,3.231985092251399294e-02
7.293957254874025749e-03,2.967312833993402954e+00,1.293504791616873870e-06,3.522697594727605577e-04,3.197874597327667739e-02,9.676676907624589541e-01,3.233101573274765883e-02
7.400663282506108817e-03,2.967301081177797339e+00,1.294900549513072487e-06,3.525217290651369378e-04,3.198999066242429190e-02,9.676561927079611047e-01,3.234251239148733248e-02
7.508930352509999955e-03,2.967288978944346400e+00,1.296338852989763602e-06,3.527812829421659896e-04,3.200156947321018686e-02,9.676443529049946202e-01,3.235435075615278322e-02
7.618781301958174428e-03,2.967276516908177619e+00,1.297821030241074406e-06,3.530486521295409723e-04,3.201349232447268933e-02,9.676321612023675023e-01,3.236654097660185414e-02
7.730239302015187892e-03,2.967263684375987420e+00,1.299348452791986176e-06,3.533240748532832064e-04,3.202576942894775486e-02,9.676196071477461969e-01,3.237909350380085982e-02
7.843327862825199073e-03,2.967250470336890711e+00,1.300922537022198004e-06,3.536077967738845322e-04,3.203841130195012044e-02,9.676066799787389483e-01,3.239201909872591045e-02
7.958070838471080141e-03,2.967236863453007967e+00,1.302544745748414830e-06,3.539000712283673169e-04,3.205142877029794335e-02,9.675933686137279111e-01,3.240532884152713677e-02
8.074492432005990830e-03,2.967222852049763215e+00,1.304216589869882590e-06,3.542011594809632720e-04,3.206483298150535760e-02,9.675796616424238161e-01,3.241903414098601388e-02
8.192617200558615850e-03,2.967208424105904463e+00,1.305939630078686648e-06,3.545113309825064386e-04,3.207863541324029039e-02,9.675655473161470788e-01,3.243314674422137500e-02
8.312470060513027503e-03,2.967193567243225250e+00,1.307715478638476727e-06,3.548308636390099056e-04,3.209284788306070169e-02,9.675510135378216914e-01,3.244767874669918228e-02
8.434076292764424235e-03,2.967178268715980671e+00,1.309545801234563684e-06,3.551600440897540183e-04,3.210748255843611648e-02,9.675360478516729090e-01,3.246264260252473832e-02
8.557461548051658456e-03,2.967162515399992539e+00,1.311432318898350626e-06,3.554991679952042879e-04,3.212255196705991050e-02,9.675206374326259517e-01,3.247805113505641827e-02
8.682651852367847742e-03,2.967146293781435240e+00,1.313376810009991119e-06,3.558485403352309030e-04,3.213806900746460360e-02,9.675047690753901808e-01,3.249391754779829000e-02
8.809673612450058186e-03,2.967129589945281865e+00,1.315381112382442603e-06,3.562084757179552648e-04,3.215404695994496242e-02,9.674884291832246408e-01,3.251025543566221643e-02
8.938553621349419956e-03,2.967112389563424824e+00,1.317447125430875319e-06,3.565792986996762560e-04,3.217049949779919593e-02,9.674716037563756421e-01,3.252707879649996414e-02
9.069319064082610043e-03,2.967094677882428311e+00,1.319576812432047145e-06,3.569613441164286977e-04,3.218744069890187159e-02,9.674542783801692858e-01,3.254440204301722872e-02
9.201997523366088269e-03,2.967076439710925495e+00,1.321772202876955607e-06,3.573549574274745896e-04,3.220488505761080755e-02,9.674364382127588202e-01,3.256224001503937870e-02
9.336616985434162061e-03,2.967057659406653780e+00,1.324035394921379792e-06,3.577604950712421294e-04,3.222284749701885553e-02,9.674180679725149501e-01,3.258060799208983838e-02
9.473205845942243505e-03,2.967038320863090828e+00,1.326368557939819786e-06,3.581783248343674785e-04,3.224134338156672830e-02,9.673991519250410009e-01,3.259952170640012525e-02
9.611792915956403685e-03,2.967018407495709553e+00,1.328773935186419974e-06,3.586088262341275627e-04,3.226038853001651774e-02,9.673796738698141606e-01,3.261899735625206631e-02
9.752407428030575656e-03,2.966997902227819672e+00,1.331253846569871420e-06,3.590523909151403228e-04,3.227999922881033545e-02,9.673596171264279286e-01,3.263905161972502356e-02
9.895079042372622105e-03,2.966976787475998023e+00,1.333810691545508669e-06,3.595094230605044784e-04,3.230019224580666509e-02,9.673389645204413245e-01,3.265970166886766890e-02
1.003983785310070750e-02,2.966955045135081903e+00,1.336446952132823753e-06,3.599803398184237588e-04,3.232098484442473552e-02,9.673176983688046571e-01,3.268096518424457031e-02
1.018671439459109714e-02,2.966932656562731641e+00,1.339165196062344997e-06,3.604655717445645873e-04,3.234239479819104451e-02,9.672958004648682939e-01,3.270286036993574896e-02
1.033573964791884535e-02,2.966909602563523762e+00,1.341968080060158466e-06,3.609655632611396994e-04,3.236444040571388736e-02,9.672732520629448993e-01,3.272540596897322018e-02
1.048694504739275911e-02,2.966885863372589860e+00,1.344858353275060021e-06,3.614807731330935852e-04,3.238714050608368367e-02,9.672500338624299143e-01,3.274862127921807087e-02
1.064036248718587714e-02,2.966861418638762515e+00,1.347838860857880658e-06,3.620116749625378202e-04,3.241051449472950874e-02,9.672261259914470832e-01,3.277252616969406063e-02
1.079602432806304677e-02,2.966836247407234506e+00,1.350912547697357295e-06,3.625587577016304089e-04,3.243458233971925619e-02,9.672015079900314616e-01,3.279714109741860284e-02
1.095396340420681444e-02,2.966810328101698868e+00,1.354082462324045156e-06,3.631225261853211826e-04,3.245936459854351780e-02,9.671761587928088266e-01,3.282248712472934926e-02
1.111421303014328149e-02,2.966783638505972487e+00,1.357351760988198658e-06,3.637035016843497676e-04,3.248488243537629022e-02,9.671500567111783742e-01,3.284858593705841656e-02
1.127680700776919134e-02,2.966756155745069901e+00,1.360723711921795979e-06,3.643022224795965905e-04,3.251115763883569848e-02,9.671231794149728334e-01,3.287545986131235054e-02
1.144177963348188588e-02,2.966727856265730878e+00,1.364201699793431560e-06,3.649192444585768152e-04,3.253821264025270193e-02,9.670955039135888942e-01,3.290313188471039041e-02
