draw,model,p0,p1,p2,p3
3.500000000000000000e+01,1.000000000000000000e+00,3.258654845944433665e-01,2.209163577906462783e-01,2.024456298138219978e-01,2.507725278010883851e-01
3.500000000000000000e+01,2.000000000000000000e+00,5.879520306482542008e-02,5.279233486440622070e-01,3.896424955246483579e-01,2.363895276646383464e-02
3.500000000000000000e+01,3.000000000000000000e+00,2.469271650422300013e-01,3.553274596560305199e-01,1.704383875896024747e-01,2.273069877121370042e-01
3.600000000000000000e+01,0.000000000000000000e+00,1.400467976891097976e-01,3.888996981190817048e-01,3.599819910028873582e-01,1.110715131889209173e-01
3.600000000000000000e+01,1.000000000000000000e+00,3.054417834656089625e-01,2.167969148618091590e-01,2.080026022854541412e-01,2.697586993871277650e-01
3.600000000000000000e+01,2.000000000000000000e+00,4.694971757604541468e-02,4.944871563895054667e-01,4.280983148172678998e-01,3.046481121718121535e-02
3.600000000000000000e+01,3.000000000000000000e+00,1.987746600120229579e-01,3.675360287921694002e-01,2.265257426879727920e-01,2.071635685078348499e-01
3.700000000000000000e+01,0.000000000000000000e+00,1.424314657746218460e-01,3.909038606411942007e-01,3.576125248100826548e-01,1.090521487741011042e-01
3.700000000000000000e+01,1.000000000000000000e+00,3.082189520436472985e-01,2.173951251266539042e-01,2.072675352259797932e-01,2.671183876037189209e-01
3.700000000000000000e+01,2.000000000000000000e+00,4.845182084091059077e-02,4.992508564244071967e-01,4.228574680409921682e-01,2.943985469368998534e-02
3.700000000000000000e+01,3.000000000000000000e+00,2.010515387136524168e-01,3.689416596219927680e-01,2.256767080313940854e-01,2.043300936329607298e-01
3.800000000000000000e+01,0.000000000000000000e+00,1.481119750407384472e-01,3.954747101313452751e-01,3.519864983018273774e-01,1.044268165260887199e-01
3.800000000000000000e+01,1.000000000000000000e+00,3.147500873436483992e-01,2.187544096635145319e-01,2.055127607054033911e-01,2.609827422874337333e-01
3.800000000000000000e+01,2.000000000000000000e+00,5.211719457571874908e-02,5.101916836332428540e-01,4.105368927242626920e-01,2.715422906677567721e-02
3.800000000000000000e+01,3.000000000000000000e+00,2.155504421993889030e-01,3.664683323720581143e-01,2.076838523444513307e-01,2.102973730841018740e-01
3.900000000000000000e+01,0.000000000000000000e+00,1.457540099869032990e-01,3.936115113438926616e-01,3.543184892508150496e-01,1.063159894183887955e-01
3.900000000000000000e+01,1.000000000000000000e+00,3.120531557424264246e-01,2.182011658866979953e-01,2.062417450137752906e-01,2.635039333571002618e-01
3.900000000000000000e+01,2.000000000000000000e+00,5.058084309783258958e-02,5.057191676763400645e-01,4.156226772713724205e-01,2.807731195445521341e-02
3.900000000000000000e+01,3.000000000000000000e+00,1.918230307165457726e-01,3.777111851009090082e-01,2.479120795478555739e-01,1.825537046346897840e-01
4.000000000000000000e+01,0.000000000000000000e+00,1.328988845052248013e-01,3.825751400756046694e-01,3.671055086950067436e-01,1.174204667241639383e-01
4.000000000000000000e+01,1.000000000000000000e+00,2.969845657149619567e-01,2.149000179725518711e-01,2.101987088058246411e-01,2.779167075066613646e-01
4.000000000000000000e+01,2.000000000000000000e+00,4.257811740715556487e-02,4.795899927458622258e-01,4.440381046902804885e-01,3.379378515670191513e-02
4.000000000000000000e+01,3.000000000000000000e+00,1.784751667503387818e-01,3.699534134155931797e-01,2.556201152796869214e-01,1.959513045543808396e-01
4.100000000000000000e+01,0.000000000000000000e+00,1.371422939830601317e-01,3.863881127421502359e-01,3.628731622035373805e-01,1.135964310712522796e-01
4.100000000000000000e+01,1.000000000000000000e+00,3.020297596370127846e-01,2.160453012976281395e-01,2.088963894564713486e-01,2.730285496088876718e-01
4.100000000000000000e+01,2.000000000000000000e+00,4.514960466043045628e-02,4.885464702109719171e-01,4.345345152719249371e-01,3.176940985667265488e-02
4.100000000000000000e+01,3.000000000000000000e+00,1.888191811678961995e-01,3.696797452053104394e-01,2.412592357227092421e-01,2.002418379040843688e-01
4.200000000000000000e+01,0.000000000000000000e+00,1.459186300085135723e-01,3.937431466423059190e-01,3.541555215139173263e-01,1.061827018352631408e-01
4.200000000000000000e+01,1.000000000000000000e+00,3.122420836437668212e-01,2.182402902281463941e-01,2.061908764107772962e-01,2.633267497173094052e-01
4.200000000000000000e+01,2.000000000000000000e+00,5.068741901769540509e-02,5.060345778209555112e-01,4.152662921453367240e-01,2.801171101601253322e-02
4.200000000000000000e+01,3.000000000000000000e+00,1.996596996385423817e-01,3.736596901859237096e-01,2.330992255365954557e-01,1.935813846389385084e-01
4.300000000000000000e+01,0.000000000000000000e+00,1.718883172425330064e-01,4.117743474418948391e-01,3.288144998862899127e-01,8.752283542928210314e-02
4.300000000000000000e+01,1.000000000000000000e+00,3.409317930592664081e-01,2.235479980884999551e-01,1.981367739016607621e-01,2.373834349505728469e-01
4.300000000000000000e+01,2.000000000000000000e+00,6.876582507614253936e-02,5.500417373697074064e-01,3.616471965001881728e-01,1.954524105396207925e-02
4.300000000000000000e+01,3.000000000000000000e+00,2.512941557105626278e-01,3.674993475624717121e-01,1.791469842410474134e-01,2.020595124859181912e-01
4.400000000000000000e+01,0.000000000000000000e+00,1.609531218964674326e-01,4.048160480973448383e-01,3.393866712374478678e-01,9.484415876874011109e-02
4.400000000000000000e+01,1.000000000000000000e+00,3.291075067221252426e-01,2.215114446244914048e-01,2.015327218583476965e-01,2.478483267950358226e-01
4.400000000000000000e+01,2.000000000000000000e+00,6.085000158480510790e-02,5.328742984138415961e-01,3.835795315743901202e-01,2.269616842696341522e-02
4.400000000000000000e+01,3.000000000000000000e+00,2.248527514918208237e-01,3.746304154000474895e-01,2.080590478459816983e-01,1.924577852621499330e-01
4.500000000000000000e+01,0.000000000000000000e+00,1.350917912078833383e-01,3.845672406452864678e-01,3.649172197540584972e-01,1.154237483927714886e-01
4.500000000000000000e+01,1.000000000000000000e+00,2.996009302680158748e-01,2.154990160504878516e-01,2.095262525358103090e-01,2.753738011456861035e-01
4.500000000000000000e+01,2.000000000000000000e+00,4.389832213752063728e-02,4.842599119319709877e-01,4.391122843992211200e-01,3.272948153128726889e-02
4.500000000000000000e+01,3.000000000000000000e+00,1.848133237990308431e-01,3.693914305642460594e-01,2.461042421426972437e-01,1.996910034940259648e-01
4.600000000000000000e+01,0.000000000000000000e+00,1.407151177076324533e-01,3.894665857676236631e-01,3.593175201559796195e-01,1.105007763687640837e-01
4.600000000000000000e+01,1.000000000000000000e+00,3.062222732489164323e-01,2.169662601483358100e-01,2.077967017757759438e-01,2.690147648269717862e-01
