G_mM,U,p0,p1,p2,p3,variance
8.682651852367847742e-03,2.967146293781434796e+00,1.822826472182518486e-06,4.183944892579096776e-04,3.201144876063277689e-02,9.675683339236371694e-01,3.262206614361851109e-02
8.809673612450058186e-03,2.967129589945282309e+00,1.825608229401684022e-06,4.188172635325745452e-04,3.202729870296456421e-02,9.675520584252734757e-01,3.263853437399255597e-02
8.938553621349419956e-03,2.967112389563425268e+00,1.828475634435704712e-06,4.192528255231393257e-04,3.204361935862529848e-02,9.675352993402172030e-01,3.265549202119899519e-02
9.069319064082610043e-03,2.967094677882427867e+00,1.831431412102577353e-06,4.197015684604333738e-04,3.206042468641496362e-02,9.675180423137125230e-01,3.267295361930422359e-02
9.201997523366088269e-03,2.967076439710925495e+00,1.834478379118602396e-06,4.201638980487179455e-04,3.207772905783953105e-02,9.675002725657326774e-01,3.269093413334012155e-02
9.336616985434162061e-03,2.967057659406653336e+00,1.837619447499597521e-06,4.206402328834893596e-04,3.209554726923675994e-02,9.674819748784322382e-01,3.270944897203165169e-02
9.473205845942243505e-03,2.967038320863090384e+00,1.840857628105118754e-06,4.211310048845799811e-04,3.211389455425587430e-02,9.674631335832314383e-01,3.272851400092413598e-02
9.611792915956403685e-03,2.967018407495709997e+00,1.844196034331917348e-06,4.216366597450796664e-04,3.213278659669716042e-02,9.674437325475234717e-01,3.274814555586580411e-02
9.752407428030575656e-03,2.966997902227819672e+00,1.847637885965040939e-06,4.221576573969128840e-04,3.215223954372866538e-02,9.674237551609884411e-01,3.276836045692554933e-02
9.895079042372622105e-03,2.966976787475997579e+00,1.851186513191705630e-06,4.226944724933697222e-04,3.217227001947611797e-02,9.674031843215172843e-01,3.278917602266240294e-02
1.003983785310070750e-02,2.966955045135081903e+00,1.854845360789330541e-06,4.232475949098152257e-04,3.219289513901589517e-02,9.673820024207134827e-01,3.281061008487995423e-02
1.018671439459109714e-02,2.966932656562731641e+00,1.858617992493211957e-06,4.238175302628665458e-04,3.221413252276508071e-02,9.673601913289795462e-01,3.283268100375025256e-02
1.033573964791884535e-02,2.966909602563523762e+00,1.862508095554847441e-06,4.244048004491312643e-04,3.223600031129148641e-02,9.673377323801638505e-01,3.285540768344219487e-02
1.048694504739275911e-02,2.966885863372590304e+00,1.866519485498546121e-06,4.250099442040520311e-04,3.225851718054514872e-02,9.673146063557652719e-01,3.287880958815136978e-02
1.064036248718587714e-02,2.966861418638762959e+00,1.870656111089247704e-06,4.256335176821573639e-04,3.228170235753969469e-02,9.672907934686670872e-01,3.290290675863261072e-02
1.079602432806304677e-02,2.966836247407234506e+00,1.874922059517367421e-06,4.262760950589060687e-04,3.230557563646933861e-02,9.672662733464122420e-01,3.292771982920328355e-02
1.095396340420681444e-02,2.966810328101698868e+00,1.879321561817095541e-06,4.269382691558641792e-04,3.233015739530389204e-02,9.672410250139784615e-01,3.295327004526704684e-02
1.111421303014328149e-02,2.966783638505972043e+00,1.883858998526100423e-06,4.276206520896252191e-04,3.235546861285308606e-02,9.672150268760587588e-01,3.297957928129591210e-02
1.127680700776919134e-02,2.966756155745069456e+00,1.888538905600593364e-06,4.283238759457385627e-04,3.238153088632223647e-02,9.671882566988263541e-01,3.300667005940738363e-02
1.144177963348188588e-02,2.966727856265730434e+00,1.893365980598471759e-06,4.290485934786632022e-04,3.240836644937018091e-02,9.671606915911705737e-01,3.303456556843720193e-02
1.160916570541350654e-02,2.966698715816369347e+00,1.898345089144757588e-06,4.297954788389324408e-04,3.243599819068532925e-02,9.671323079853865190e-01,3.306328968356453402e-02
