G_mM,Y_0p5,Y_5,Y_36
8.669618757582153499e-08,2.257995457998538680e-11,3.345112282198202766e-11,7.777675023319807821e-10
8.763279563922865902e-08,2.282389327246150980e-11,3.381250632996466289e-11,7.861699811459185308e-10
8.857952219445150371e-08,2.307046826116287481e-11,3.417779538239929516e-11,7.946632671706942814e-10
8.953647655495917348e-08,2.331970676699559572e-11,3.454703030754517424e-11,8.032482981017586005e-10
9.050376921517098231e-08,2.357163812566133458e-11,3.492025457003791454e-11,8.119260846038042064e-10
9.148151186321455664e-08,2.382629089291278877e-11,3.529751046478496101e-11,8.206976100526549804e-10
9.246981739382196489e-08,2.408369507788773320e-11,3.567884245513719436e-11,8.295639081701988571e-10
9.346879992136498546e-08,2.434387942531327803e-11,3.606429311988345351e-11,8.385259691137878871e-10
9.447857479303168357e-08,2.460687527401992947e-11,3.645390889244309632e-11,8.475848723941878061e-10
9.549925860214355592e-08,2.487271198376064369e-11,3.684773326481377969e-11,8.567416292728657485e-10
9.653096920161996645e-08,2.514142095693004593e-11,3.724581275592129686e-11,8.659973213221720688e-10
9.757382571758464530e-08,2.541303320251238243e-11,3.764819331008813444e-11,8.753530168226621543e-10
9.862794856312092163e-08,2.568757906636348453e-11,3.805491987634176239e-11,8.848097607806867900e-10
9.969345945217510761e-08,2.596509125308352283e-11,3.846604090605360788e-11,8.943686799064473172e-10
1.007704814136102309e-07,2.624560185568272982e-11,3.888160395106729170e-11,9.040308796432729025e-10
1.018591388054114787e-07,2.652914221642751641e-11,3.930165543454139685e-11,9.137974395019292817e-10
1.029595573290451531e-07,2.681574637304667624e-11,3.972624578475632054e-11,9.236695319272429923e-10
1.040718640439727924e-07,2.710544616257600852e-11,4.015542217048683614e-11,9.336482536279352095e-10
1.051961873823219803e-07,2.739827632194966139e-11,4.058923604609066260e-11,9.437348009198112826e-10
1.063326571637157753e-07,2.769426968976785289e-11,4.102773606473443534e-11,9.539303052330157933e-10
1.074814046102622819e-07,2.799346074870824537e-11,4.147097330796780072e-11,9.642359539859897321e-10
1.086425623617065222e-07,2.829588464801281434e-11,4.191899985263539594e-11,9.746529581968911168e-10
1.098162644907441289e-07,2.860157544774370331e-11,4.237186615437969301e-11,9.851824907988166218e-10
1.110026465185043144e-07,2.891056808755307585e-11,4.282962396854111133e-11,9.958257554858741815e-10
1.122018454301962231e-07,2.922289947242706552e-11,4.329232798162096407e-11,1.006584023387687150e-09
1.134139996909262527e-07,2.953860506599235762e-11,4.376003071851766675e-11,1.017458516047345302e-09
1.146392492616859073e-07,2.985772194159411230e-11,4.423278710857083366e-11,1.028450510562216565e-09
1.158777356155123783e-07,3.018028572091035644e-11,4.471064991951718143e-11,1.039561233737856695e-09
1.171296017538235880e-07,3.050633453897888334e-11,4.519367565059464760e-11,1.050791999183380689e-09
1.183949922229298931e-07,3.083590510665755510e-11,4.568191868390159524e-11,1.062144071518144792e-09
