J,SSE,loss_vs_reference,top,bottom,logmid,h,success
-7.500000000000000000e-01,1.869044085830999860e-02,2.737268687295466574e+00,2.937275632704787753e+00,4.787570646877443714e-01,-5.797882285507789391e-01,3.203222677296888588e+00,1.000000000000000000e+00
-6.999999999999999556e-01,1.842392917293268415e-02,2.564925996667076546e+00,2.938969586198572959e+00,4.774043873938857430e-01,-5.802215678720276104e-01,3.114657367267053445e+00,1.000000000000000000e+00
-6.499999999999999112e-01,1.813221183010828991e-02,2.373402366051271972e+00,2.940736781032787572e+00,4.759931927078081548e-01,-5.805590940317232329e-01,3.027001776405068956e+00,1.000000000000000000e+00
-5.999999999999999778e-01,1.782032275816364947e-02,2.165196586037827942e+00,2.942576638819614399e+00,4.745261502456135094e-01,-5.808085385662954403e-01,2.940336976134144020e+00,1.000000000000000000e+00
-5.499999999999999334e-01,1.749430203878821546e-02,1.943624939459043022e+00,2.944487234167162182e+00,4.730064552907515263e-01,-5.809789851725684073e-01,2.854752467772959879e+00,1.000000000000000000e+00
-5.000000000000000000e-01,1.716099514658931888e-02,1.712791193175198678e+00,2.946465057137516830e+00,4.714376647998865799e-01,-5.810806536288067869e-01,2.770346328849791817e+00,1.000000000000000000e+00
-4.499999999999999556e-01,1.682779104963495059e-02,1.477503163819406273e+00,2.948504804081390596e+00,4.698233352214817860e-01,-5.811245540470167947e-01,2.687225003108666410e+00,1.000000000000000000e+00
-3.999999999999999112e-01,1.650230503753275305e-02,1.243123022656356991e+00,2.950599233776388441e+00,4.681667635795251359e-01,-5.811221736711377206e-01,2.605502716716504796e+00,1.000000000000000000e+00
-3.499999999999998668e-01,1.619201817830986240e-02,1.015343167250077672e+00,2.952738941816898777e+00,4.664708468594381818e-01,-5.810851486821422274e-01,2.525301799647087009e+00,1.000000000000000000e+00
-2.999999999999998224e-01,1.590389195026501584e-02,7.998884501630749710e-01,2.954912258862675500e+00,4.647376274455863876e-01,-5.810247533332579817e-01,2.446751380304645895e+00,1.000000000000000000e+00
-2.500000000000000000e-01,1.564398316303159536e-02,6.021587455546679735e-01,2.957105164447750845e+00,4.629678831070209721e-01,-5.809513512208519526e-01,2.369986162880854064e+00,1.000000000000000000e+00
-1.999999999999999556e-01,1.541708979510643049e-02,4.268416309224085103e-01,2.959301242764418305e+00,4.611612223452618009e-01,-5.808741061203106515e-01,2.295145895200267461e+00,1.000000000000000000e+00
-1.499999999999999112e-01,1.522646162676299063e-02,2.775399068804203506e-01,2.961481679579827997e+00,4.593155861840899634e-01,-5.808002775464690126e-01,2.222373241118714038e+00,1.000000000000000000e+00
-9.999999999999986677e-02,1.507360925693828485e-02,1.564679790658087266e-01,2.963625375644527438e+00,4.574274127915445853e-01,-5.807349139635094026e-01,2.151812102008008765e+00,1.000000000000000000e+00
-4.999999999999982236e-02,1.495824016270848669e-02,6.427013125817407357e-02,2.965709180286005608e+00,4.554916983430107869e-01,-5.806804770938842619e-01,2.083605507871070905e+00,1.000000000000000000e+00
0.000000000000000000e+00,1.487834031438785808e-02,2.664535259100375303e-15,2.967708082054786090e+00,4.535024489038460005e-01,-5.806366073846305209e-01,2.017893617186831801e+00,1.000000000000000000e+00
5.000000000000004441e-02,1.483040479942920702e-02,-3.872440094579310960e-02,2.969595658300816510e+00,4.514531145582150184e-01,-5.805999838204028984e-01,1.954811018119035904e+00,1.000000000000000000e+00
