G_mM,U,p0,p1,p2,p3,variance
1.874762412605298495e-02,2.965054828780094631e+00,2.499624674123059778e-08,1.027817841266641841e-04,3.473953266290735753e-02,9.651576605567178113e-01,3.392971977406133988e-02
1.902189012846117189e-02,2.964976005946315940e+00,2.516882803650299737e-08,1.032515372669733469e-04,3.481741547266657688e-02,9.650793078212386300e-01,3.400396798171456680e-02
1.930016847075688088e-02,2.964894844111207739e+00,2.534737344343447493e-08,1.037363757012269895e-04,3.489760709527300886e-02,9.649986311816534101e-01,3.408040875445195184e-02
1.958251785096037922e-02,2.964811273957014048e+00,2.553211280419539007e-08,1.042368157412119206e-04,3.498017581516135732e-02,9.649155618369834597e-01,3.415910642662467467e-02
1.986899782580723098e-02,2.964725224197656495e+00,2.572328598738127369e-08,1.047533926685879712e-04,3.506519184714422532e-02,9.648300290368998500e-01,3.424012711949941945e-02
2.015966882331076543e-02,2.964636621488494495e+00,2.592114347595695859e-08,1.052866617358237244e-04,3.515272742460762156e-02,9.647419599925144418e-01,3.432353882208083462e-02
2.045459215550831170e-02,2.964545390200841624e+00,2.612594728820052985e-08,1.058372000159318735e-04,3.524285702128817505e-02,9.646512796527497713e-01,3.440941159885646528e-02
2.075383003139389185e-02,2.964451452601143178e+00,2.633797102338833795e-08,1.064056058472775739e-04,3.533565717325300171e-02,9.645579108829299697e-01,3.449781741620050468e-02
2.105744557004016540e-02,2.964354728635997915e+00,2.655750081703803299e-08,1.069925006813628735e-04,3.543120669013357510e-02,9.644617742516831127e-01,3.458883033976078991e-02
2.136550281391231751e-02,2.964255135833350430e+00,2.678483607417775756e-08,1.075985302726106612e-04,3.552958675159312296e-02,9.643627879332972164e-01,3.468252662192483626e-02
2.167806674237670456e-02,2.964152589343303390e+00,2.702028991857720056e-08,1.082243650545050025e-04,3.563088086571576663e-02,9.642608677489391544e-01,3.477898465776085857e-02
2.199520328540710556e-02,2.964047001871032982e+00,2.726418992061897675e-08,1.088707012046521831e-04,3.573517493399239187e-02,9.641559271006144849e-01,3.487828504204415481e-02
2.231697933749153193e-02,2.963938283478262825e+00,2.751687917076569548e-08,1.095382625580592180e-04,3.584255744598169313e-02,9.640478767745805921e-01,3.498051074963903773e-02
2.264346277174249245e-02,2.963826341591156766e+00,2.777871692256110724e-08,1.102278013054978803e-04,3.595311947007627518e-02,9.639366249498996231e-01,3.508574712108725180e-02
2.297472245421363496e-02,2.963711080927159625e+00,2.805007946539533606e-08,1.109400992296597860e-04,3.606695472413796316e-02,9.638220771265513243e-01,3.519408192430972804e-02
2.331082825842583500e-02,2.963592403441361434e+00,2.833136099949903624e-08,1.116759688688463345e-04,3.618415962681358761e-02,9.637041360729552419e-01,3.530560539737592762e-02
2.365185108010581586e-02,2.963470208186289589e+00,2.862297476804562865e-08,1.124362552688000814e-04,3.630483343425124076e-02,9.635827016875060380e-01,3.542041037213827792e-02
2.399786285214042941e-02,2.963344391239719489e+00,2.892535408693179833e-08,1.132218373713295492e-04,3.642907830947125780e-02,9.634576709278018791e-01,3.553859233356959635e-02
2.434893655974960935e-02,2.963214845635530725e+00,2.923895342648764637e-08,1.140336294415501757e-04,3.655699938872929849e-02,9.633289377428768674e-01,3.566024947544832457e-02
2.470514625588134811e-02,2.963081461274123196e+00,2.956424960540410599e-08,1.148725826824238433e-04,3.668870486776090040e-02,9.631963929853063489e-01,3.578548277508808440e-02
2.506656707683188601e-02,2.962944124830759307e+00,2.990174305934066608e-08,1.157396869294972095e-04,3.682430609015243522e-02,9.630599243211750426e-01,3.591439606900159731e-02
2.543327525809447112e-02,2.962802719661440598e+00,3.025195918918832462e-08,1.166359724298203396e-04,3.696391763782343187e-02,9.629194161377878647e-01,3.604709613058609818e-02
2.580534815043986768e-02,2.962657125706593231e+00,3.061544979436972663e-08,1.175625117093930764e-04,3.710765742363316549e-02,9.627747494492058244e-01,3.618369274904154054e-02
2.618286423623217632e-02,2.962507219392391367e+00,3.099279459706429864e-08,1.185204215340004784e-04,3.725564678616088976e-02,9.626258017995118488e-01,3.632429880974719083e-02
2.656590314598332794e-02,2.962352873529688679e+00,3.138460286329183565e-08,1.195108649676056777e-04,3.740801058656241518e-02,9.624724471638654855e-01,3.646903037640214507e-02
2.695454567514982136e-02,2.962193957210828898e+00,3.179151512760881426e-08,1.205350535336816757e-04,3.756487730755472820e-02,9.623145558473952255e-01,3.661800677395810055e-02
2.734887380117508732e-02,2.962030335703976114e+00,3.221420502830304574e-08,1.215942494842461164e-04,3.772637915443723816e-02,9.621519943818724885e-01,3.677135067347592212e-02
2.774897070078120170e-02,2.961861870345265046e+00,3.265338126091546335e-08,1.226897681827292502e-04,3.789265215822563981e-02,9.619846254202103486e-01,3.692918817782597785e-02
2.815492076751360470e-02,2.961688418428690905e+00,3.310978965783913769e-08,1.238229806055066206e-04,3.806383628072652209e-02,9.618123076288773721e-01,3.709164890876692766e-02
2.856680962954248962e-02,2.961509833070987696e+00,3.358421546384695202e-08,1.249953161189072605e-04,3.824007554412851145e-02,9.616348955555372724e-01,3.725886611631779033e-02
2.898472416772457025e-02,2.961325963073828671e+00,3.407748576067339253e-08,1.262082653949626475e-04,3.842151816292786043e-02,9.614522394941926731e-01,3.743097678970208619e-02
2.940875253392906050e-02,2.961136652881527276e+00,3.459047178420268554e-08,1.274633828215758404e-04,3.860831658141796602e-02,9.612641854452900203e-01,3.760812167768889935e-02
2.983898416963182490e-02,2.960941742429043622e+00,3.512409169066775677e-08,1.287622897617556983e-04,3.880062761916010239e-02,9.610705749669872233e-01,3.779044541054510375e-02
3.027550982478155461e-02,2.960741066953715084e+00,3.567931359999224314e-08,1.301066782017469363e-04,3.899861265193976106e-02,9.608712449905446595e-01,3.797809665464058071e-02
3.071842157694186504e-02,2.960534456843307627e+00,3.625715873271279059e-08,1.314983143155040648e-04,3.920243775658522473e-02,9.606660276719405367e-01,3.817122823162222289e-02
3.116781285071343680e-02,2.960321737695821742e+00,3.685870414798846569e-08,1.329390407536459233e-04,3.941227364656367527e-02,9.604547504539802105e-01,3.836999703842103315e-02
3.162377843744036687e-02,2.960102729921555209e+00,3.748508697475457254e-08,1.344307821816378447e-04,3.962829605882305789e-02,9.602372356739091730e-01,3.857456439361328648e-02
3.208641451520480303e-02,2.959877248751195733e+00,3.813750774156170048e-08,1.359755482655967799e-04,3.985068573974447775e-02,9.600133005744804215e-01,3.878509600261992318e-02
3.255581866911400751e-02,2.959645104121258807e+00,3.881723428528923769e-08,1.375754376583061313e-04,4.007962855172347849e-02,9.597827571933845725e-01,3.900176203607763625e-02
3.303208991188421456e-02,2.959406100329745826e+00,3.952560660346054288e-08,1.392326437733980185e-04,4.031531580589060859e-02,9.595454120247303154e-01,3.922473742099441552e-02
3.351532870472573311e-02,2.959160036150895401e+00,4.026404064957493800e-08,1.409494576082412527e-04,4.055794414177023299e-02,9.593010661365822811e-01,3.945420170136060278e-02
3.400563697853348222e-02,2.958906704432439305e+00,4.103403395877579282e-08,1.427282743648453295e-04,4.080771591672933268e-02,9.590495147748718807e-01,3.969033937988974969e-02
3.450311815538756322e-02,2.958645892039815983e+00,4.183717058663549179e-08,1.445715979137889235e-04,4.106483925284273168e-02,9.587905473120723610e-01,3.993333993385839165e-02
3.500787717036831642e-02,2.958377379786285566e+00,4.267512642470517562e-08,1.464820455815554821e-04,4.132952809717662518e-02,9.585239471821168644e-01,4.018339784217062061e-02
3.552002049369060166e-02,2.958100942016513635e+00,4.354967597925741926e-08,1.484623556666718437e-04,4.160200262311975622e-02,9.582494914715358192e-01,4.044071293298401315e-02
3.603965615316189613e-02,2.957816346621898962e+00,4.446269823435368988e-08,1.505153921866916151e-04,4.188248920562965411e-02,9.579669509394843629e-01,4.070549032634751541e-02
3.656689375696885874e-02,2.957523354876085087e+00,4.541618350021467497e-08,1.526441511780557620e-04,4.217122057300854571e-02,9.576760898596300420e-01,4.097794054238868000e-02
3.710184451679725270e-02,2.957221721103636458e+00,4.641224129277649453e-08,1.548517685341972315e-04,4.246843612257158312e-02,9.573766656966531396e-01,4.125827976154461396e-02
3.764462127129016705e-02,2.956911192572098113e+00,4.745310802057299049e-08,1.571415265743671640e-04,4.277438201542760332e-02,9.570684290048895315e-01,4.154672987414187446e-02
3.819533850984943579e-02,2.956591509300027898e+00,4.854115549614357079e-08,1.595168615704117029e-04,4.308931135336742380e-02,9.567511232439074309e-01,4.184351860519086586e-02
3.875411239678514669e-02,2.956262403850437703e+00,4.967890010119041277e-08,1.619813717609744417e-04,4.341348436933772925e-02,9.564244845800004002e-01,4.214887964954705524e-02
3.932106079581847158e-02,2.955923601121056787e+00,5.086901261701612873e-08,1.645388257945320013e-04,4.374716862031360204e-02,9.560882416848783816e-01,4.246305280647710845e-02
3.989630329494302241e-02,2.955574818131136983e+00,5.211432877196887224e-08,1.671931716259831429e-04,4.409063918262167564e-02,9.557421155314225203e-01,4.278628411401008691e-02
4.047996123164993021e-02,2.955215763805368656e+00,5.341786055998032122e-08,1.699485458890407101e-04,4.444417884926710888e-02,9.553858191869818439e-01,4.311882598204697103e-02
4.107215771852183034e-02,2.954846138754959384e+00,5.478280838954907596e-08,1.728092837699510373e-04,4.480807832907919563e-02,9.550190576043436907e-01,4.346093732408817800e-02
4.167301766920133294e-02,2.954465635056043205e+00,5.621257412704647013e-08,1.757799294089495263e-04,4.518263644741752488e-02,9.546415274105997106e-01,4.381288368736768746e-02
4.228266782473941165e-02,2.954073936025840563e+00,5.771077510310362718e-08,1.788652468568277065e-04,4.556816034812283950e-02,9.542529166942460561e-01,4.417493738035993545e-02
4.290123678032931737e-02,2.953670715960553750e+00,5.928125929802144173e-08,1.820702319032638954e-04,4.596496573185775841e-02,9.538529047549781925e-01,4.454737763120597549e-02
4.352885501243143607e-02,2.953255639826196433e+00,6.092812184242705032e-08,1.854001249012903808e-04,4.637337713963973762e-02,9.534411618073385108e-01,4.493049078426913923e-02
4.416565490629506541e-02,2.952828363197972372e+00,6.265572173989447193e-08,1.888604222406948326e-04,4.679372799038501035e-02,9.530173489316539071e-01,4.532457026224889773e-02
4.481177078388276502e-02,2.952388531881605438e+00,6.446870113059619536e-08,1.924568910288303918e-04,4.722636093023196285e-02,9.525811177100376170e-01,4.572991681627414096e-02
4.546733893220339384e-02,2.951935781521655588e+00,6.637200607641628397e-08,1.961955846567136144e-04,4.767162819301339061e-02,9.521321098503240377e-01,4.614683878175895870e-02
4.613249763205937160e-02,2.951469737696010842e+00,6.837090683296040843e-08,2.000828551202805743e-04,4.812989148102300718e-02,9.516699572929481210e-01,4.657565188038503834e-02
4.680738718721467323e-02,2.950990015170355196e+00,7.047102329815205073e-08,2.041253730846366045e-04,4.860152267040322716e-02,9.511942814854880135e-01,4.701667978895507360e-02
4.749214995398945427e-02,2.950496218108947577e+00,7.267834818015547970e-08,2.083301408660541247e-04,4.908690357427730744e-02,9.507046936065089993e-01,4.747025382135205973e-02
4.818693037128776030e-02,2.949987939364021372e+00,7.499927607546403543e-08,2.127045140357137359e-04,4.958642661007377217e-02,9.502007938766128259e-01,4.793671345066030653e-02
4.889187499106437823e-02,2.949464760403708752e+00,7.744063187197994350e-08,2.172562186363193439e-04,5.010049483711779411e-02,9.496821715036123379e-01,4.841640623630993900e-02
4.960713250923735884e-02,2.948926251075663973e+00,8.000970207905787712e-08,2.219933707530600620e-04,5.062952215371930437e-02,9.491484044658240471e-01,4.890968789487715185e-02
5.033285379705294826e-02,2.948371969089464084e+00,8.271426995391473273e-08,2.269244996470439651e-04,5.117393376842703512e-02,9.485990590176544002e-01,4.941692261976093903e-02
5.106919193290933301e-02,2.947801459830681203e+00,8.556265174914800787e-08,2.320585691650197953e-04,5.173416634303800582e-02,9.480336895251467721e-01,4.993848308774140321e-02
5.181630223464570723e-02,2.947214256038805047e+00,8.856373645835425718e-08,2.374050015388662511e-04,5.231066826690517618e-02,9.474518381678186385e-01,5.047475058115935553e-02
5.257434229230411454e-02,2.946609877470117933e+00,9.172702876218514778e-08,2.429737026201522787e-04,5.290389994355963743e-02,9.468530346267928222e-01,5.102611511352961315e-02
5.334347200137012218e-02,2.945987830557734277e+00,9.506269537717986813e-08,2.487750885172066557e-04,5.351433407714749346e-02,9.462367957716406597e-01,5.159297554760833293e-02
5.412385359650025846e-02,2.945347608069683876e+00,9.858161508730589141e-08,2.548201137105937327e-04,5.414245595805015215e-02,9.456026253466243148e-01,5.217573970372058056e-02
