G_mM,J_minus_0p7,J_0,J_plus_0p7
2.015966882331076543e-02,2.938755571257482657e+00,2.964636623861379494e+00,2.965250081395264470e+00
2.045459215550831170e-02,2.938745669956576378e+00,2.964545392590570483e+00,2.965064944145879622e+00
2.075383003139389185e-02,2.938735310665129941e+00,2.964451454998441093e+00,2.964875879947450166e+00
2.105744557004016540e-02,2.938724472207405292e+00,2.964354731015432343e+00,2.964682803703754921e+00
2.136550281391231751e-02,2.938713132429426000e+00,2.964255138215820207e+00,2.964485628399225803e+00
2.167806674237670456e-02,2.938701268153844470e+00,2.964152591749110499e+00,2.964284265052531175e+00
2.199520328540710556e-02,2.938688855132773892e+00,2.964047004269579677e+00,2.964078622668963714e+00
2.231697933749153193e-02,2.938675867998450819e+00,2.963938285863715105e+00,2.963868608191541298e+00
2.264346277174249245e-02,2.938662280211577826e+00,2.963826343975685340e+00,2.963654126450737891e+00
2.297472245421363496e-02,2.938648064007373328e+00,2.963711083330631268e+00,2.963435080112901687e+00
2.331082825842583500e-02,2.938633190339090095e+00,2.963592405855818956e+00,2.963211369627272607e+00
2.365185108010581586e-02,2.938617628818964267e+00,2.963470210599608023e+00,2.962982893171518306e+00
2.399786285214042941e-02,2.938601347656443430e+00,2.963344393648055242e+00,2.962749546595800698e+00
2.434893655974960935e-02,2.938584313593620490e+00,2.963214848039238625e+00,2.962511223365315693e+00
2.470514625588134811e-02,2.938566491837654393e+00,2.963081463675166560e+00,2.962267814501213792e+00
2.506656707683188601e-02,2.938547845990140406e+00,2.962944127231182279e+00,2.962019208519937941e+00
2.543327525809447112e-02,2.938528337973244753e+00,2.962802722062886307e+00,2.961765291370805020e+00
2.580534815043986768e-02,2.938507927952422438e+00,2.962657128110441462e+00,2.961505946371918441e+00
2.618286423623217632e-02,2.938486574255663175e+00,2.962507221800190660e+00,2.961241054144258644e+00
2.656590314598332794e-02,2.938464233288980765e+00,2.962352875943571995e+00,2.960970492543888000e+00
2.695454567514982136e-02,2.938440859448105957e+00,2.962193959633213414e+00,2.960694136592318948e+00
2.734887380117508732e-02,2.938416405026121669e+00,2.962030338136181662e+00,2.960411858404836671e+00
2.774897070078120170e-02,2.938390820116864255e+00,2.961861872784215421e+00,2.960123527116851339e+00
2.815492076751360470e-02,2.938364052513958047e+00,2.961688420861038118e+00,2.959829008808100959e+00
2.856680962954248962e-02,2.938336047605259793e+00,2.961509835486476394e+00,2.959528166424733708e+00
2.898472416772457025e-02,2.938306748262441204e+00,2.961325965497457968e+00,2.959220859699111639e+00
2.940875253392906050e-02,2.938276094725623899e+00,2.961136655325761868e+00,2.958906945067329097e+00
2.983898416963182490e-02,2.938244024482720818e+00,2.960941744872404691e+00,2.958586275584362824e+00
3.027550982478155461e-02,2.938210472143344187e+00,2.960741069378640677e+00,2.958258700836736921e+00
3.071842157694186504e-02,2.938175369306944340e+00,2.960534459293448162e+00,2.957924066852636535e+00
3.116781285071343680e-02,2.938138644425019930e+00,2.960321740137457525e+00,2.957582216009457809e+00
3.162377843744036687e-02,2.938100222657074045e+00,2.960102732363202094e+00,2.957232986938573394e+00
3.208641451520480303e-02,2.938060025720054202e+00,2.959877251211598281e+00,2.956876214427361038e+00
3.255581866911400751e-02,2.938017971731004430e+00,2.959645106564638528e+00,2.956511729318305637e+00
3.303208991188421456e-02,2.937973975042624364e+00,2.959406102794123861e+00,2.956139358405136086e+00
3.351532870472573311e-02,2.937927946071369423e+00,2.959160038606356125e+00,2.955758924325879278e+00
3.400563697853348222e-02,2.937879791117915751e+00,2.958906706882784565e+00,2.955370245452726863e+00
3.450311815538756322e-02,2.937829412179449484e+00,2.958645894516407360e+00,2.954973135778597548e+00
3.500787717036831642e-02,2.937776706753596034e+00,2.958377382243885467e+00,2.954567404800330976e+00
3.552002049369060166e-02,2.937721567633559072e+00,2.958100944473260885e+00,2.954152857398368859e+00
3.603965615316189613e-02,2.937663882694086848e+00,2.957816349107234455e+00,2.953729293712764825e+00
3.656689375696885874e-02,2.937603534667856398e+00,2.957523357361832694e+00,2.953296509015507887e+00
3.710184451679725270e-02,2.937540400911925254e+00,2.957221723580381934e+00,2.952854293578949463e+00
3.764462127129016705e-02,2.937474353163768814e+00,2.956911195042740026e+00,2.952402432540219834e+00
3.819533850984943579e-02,2.937405257286460181e+00,2.956591511769677716e+00,2.951940705761531447e+00
3.875411239678514669e-02,2.937332973002605652e+00,2.956262406322235581e+00,2.951468887686197196e+00
3.932106079581847158e-02,2.937257353616439914e+00,2.955923603596072535e+00,2.950986747190261994e+00
3.989630329494302241e-02,2.937178245723699010e+00,2.955574820610612274e+00,2.950494047429550459e+00
4.047996123164993021e-02,2.937095488908694207e+00,2.955215766292945023e+00,2.949990545682029452e+00
4.107215771852183034e-02,2.937008915428070743e+00,2.954846141256386005e+00,2.949475993185287415e+00
4.167301766920133294e-02,2.936918349880715429e+00,2.954465637573546299e+00,2.948950134968999048e+00
4.228266782473941165e-02,2.936823608863202928e+00,2.954073938543859690e+00,2.948412709682215471e+00
4.290123678032931737e-02,2.936724500610277566e+00,2.953670718455490007e+00,2.947863449415244474e+00
4.352885501243143607e-02,2.936620824619629033e+00,2.953255642341457765e+00,2.947302079516065376e+00
4.416565490629506541e-02,2.936512371260460608e+00,2.952828365729942561e+00,2.946728318400935187e+00
4.481177078388276502e-02,2.936398921365142911e+00,2.952388534388678210e+00,2.946141877359172323e+00
4.546733893220339384e-02,2.936280245803248867e+00,2.951935784063290047e+00,2.945542460351791014e+00
4.613249763205937160e-02,2.936156105037362352e+00,2.951469740209541559e+00,2.944929763803831868e+00
4.680738718721467323e-02,2.936026248659872717e+00,2.950990017719429925e+00,2.944303476390222496e+00
4.749214995398945427e-02,2.935890414910047319e+00,2.950496220640927092e+00,2.943663278814882212e+00
4.818693037128776030e-02,2.935748330170675491e+00,2.949987941891440535e+00,2.943008843582954004e+00
4.889187499106437823e-02,2.935599708443414446e+00,2.949464762964797870e+00,2.942339834765798301e+00
