G_mM,U,p0,p1,p2,p3,variance
2.297472245421363496e-02,2.963711080943461695e+00,9.490076683223055672e-05,1.521228809549041421e-03,3.296175913694229104e-02,9.654221112866760990e-01,3.858389563034059222e-02
2.331082825842583500e-02,2.963592403425080235e+00,9.576829928569982869e-05,1.530428649179051137e-03,3.305943437870683538e-02,9.653143686728292705e-01,3.871755058062653632e-02
2.365185108010581586e-02,2.963470208182268362e+00,9.666662905183756908e-05,1.539925298786568985e-03,3.315994133300406710e-02,9.652034667391580225e-01,3.885521649936940491e-02
2.399786285214042941e-02,2.963344391258252664e+00,9.759698260039760531e-05,1.549728938914511460e-03,3.326335991611460707e-02,9.650893141623696492e-01,3.899701486295548136e-02
2.434893655974960935e-02,2.963214845663615815e+00,9.856064222538653730e-05,1.559850128517547294e-03,3.336977215267437902e-02,9.649718170765831937e-01,3.914307086721890983e-02
2.470514625588134811e-02,2.963081461287908169e+00,9.955894894427244255e-05,1.570299820491561672e-03,3.347926222427584364e-02,9.648508790062882978e-01,3.929351354610410851e-02
2.506656707683188601e-02,2.962944124809073099e+00,1.005933055612807903e-04,1.581089377867442780e-03,3.359191651850935295e-02,9.647264007980623779e-01,3.944847589386313302e-02
2.543327525809447112e-02,2.962802719622025016e+00,1.016651797408653086e-04,1.592230588998332780e-03,3.370782366075488617e-02,9.645982805705057839e-01,3.960809496690309572e-02
2.580534815043986768e-02,2.962657125665239199e+00,1.027761080223027929e-04,1.603735691328873501e-03,3.382707462803348497e-02,9.644664135726145338e-01,3.977251210197607634e-02
2.618286423623217632e-02,2.962507219355835275e+00,1.039276991989666112e-04,1.615617387223914356e-03,3.394976277211880777e-02,9.643306921414580568e-01,3.994187301337781548e-02
2.656590314598332794e-02,2.962352873500314399e+00,1.051216380658267493e-04,1.627888862283760098e-03,3.407598386092208775e-02,9.641910056387288375e-01,4.011632791896246886e-02
2.695454567514982136e-02,2.962193957188995697e+00,1.063596894919944532e-04,1.640563805567744719e-03,3.420583613139441259e-02,9.640472403735464990e-01,4.029603168606143981e-02
2.734887380117508732e-02,2.962030335688220273e+00,1.076437027256466067e-04,1.653656430652536945e-03,3.433942034229577056e-02,9.638992795243253031e-01,4.048114398149316173e-02
2.774897070078120170e-02,2.961861870330358748e+00,1.089756159448661759e-04,1.667181497554203135e-03,3.447683982669801084e-02,9.637470030598027648e-01,4.067182942572067361e-02
2.815492076751360470e-02,2.961688418401677847e+00,1.103574610683213947e-04,1.681154335539582689e-03,3.461820054403959984e-02,9.635902876593530619e-01,4.086825775124403037e-02
2.856680962954248962e-02,2.961509833028244554e+00,1.117913688403765769e-04,1.695590866851655418e-03,3.476361113152838522e-02,9.634290066327787505e-01,4.107060396499306876e-02
2.898472416772457025e-02,2.961325963059942890e+00,1.132795742061425788e-04,1.710507631374788172e-03,3.491318295468740646e-02,9.632630298397311108e-01,4.127904851480401760e-02
2.940875253392906050e-02,2.961136652920266954e+00,1.148244222582891496e-04,1.725921814908350487e-03,3.506703018314197284e-02,9.630922235796915976e-01,4.149377749686067318e-02
2.983898416963182490e-02,2.960941742465730275e+00,1.164283744282572700e-04,1.741851277573077143e-03,3.522526985584092940e-02,9.629164504921584600e-01,4.171498285436747722e-02
3.027550982478155461e-02,2.960741066940705490e+00,1.180940142211110759e-04,1.758314575308354529e-03,3.538802186601590349e-02,9.627355695444550499e-01,4.194286247028067294e-02
3.071842157694186504e-02,2.960534456820630211e+00,1.198240542067249479e-04,1.775330991370528515e-03,3.555540903400900010e-02,9.625494359204138650e-01,4.217762038890704446e-02
3.116781285071343680e-02,2.960321737687281463e+00,1.216213431245902709e-04,1.792920566206097780e-03,3.572755715093123979e-02,9.623579009397377204e-01,4.241946700372523082e-02
3.162377843744036687e-02,2.960102729949528833e+00,1.234888747067895785e-04,1.811104141190065294e-03,3.590459514397096458e-02,9.621608118401321352e-01,4.266861942361011018e-02
3.208641451520480303e-02,2.959877248747710965e+00,1.254297954062322338e-04,1.829903388390925669e-03,3.608665508929026489e-02,9.619580117269130870e-01,4.292530163345276151e-02
3.255581866911400751e-02,2.959645104093236334e+00,1.274474105042815424e-04,1.849340821638463311e-03,3.627387203197634385e-02,9.617493397358817253e-01,4.318974438941580729e-02
3.303208991188421456e-02,2.959406100369442072e+00,1.295451961874154688e-04,1.869439861971417286e-03,3.646638431805133279e-02,9.615346306237894103e-01,4.346218584441174926e-02
3.351532870472573311e-02,2.959160036116135650e+00,1.317268097887016221e-04,1.890224881056948563e-03,3.666433369238301238e-02,9.613137146167708424e-01,4.374287185467728989e-02
3.400563697853348222e-02,2.958906704457453518e+00,1.339960948216554603e-04,1.911721191329342033e-03,3.686786487542208918e-02,9.610864178384267431e-01,4.403205555558997730e-02
3.450311815538756322e-02,2.958645892029050373e+00,1.363570999222220358e-04,1.933955164312753947e-03,3.707712634255751899e-02,9.608525613932075160e-01,4.432999865303344222e-02
3.500787717036831642e-02,2.958377379812291430e+00,1.388140813882576406e-04,1.956954188769417097e-03,3.729226956600772275e-02,9.606119621638354866e-01,4.463697054228177308e-02
3.552002049369060166e-02,2.958100941973017317e+00,1.413715243468189199e-04,1.980746800001606869e-03,3.751344985393864628e-02,9.603644318217128273e-01,4.495324970951841692e-02
3.603965615316189613e-02,2.957816346670810503e+00,1.440341466863522706e-04,2.005362642271193378e-03,3.774082560458724006e-02,9.601097776064548839e-01,4.527912288565261179e-02
3.656689375696885874e-02,2.957523354856086417e+00,1.468069222625306984e-04,2.030832605598493438e-03,3.797455916592684666e-02,9.598478013062113900e-01,4.561488650600864503e-02
3.710184451679725270e-02,2.957221721096922273e+00,1.496950860139096542e-04,2.057188789060174997e-03,3.821481606691772698e-02,9.595783000580089261e-01,4.596084585136850365e-02
3.764462127129016705e-02,2.956911192600432337e+00,1.527041568376225132e-04,2.084464622026796238e-03,3.846176568500392356e-02,9.593010655361325911e-01,4.631731626152379988e-02
3.819533850984943579e-02,2.956591509263181372e+00,1.558399517476296106e-04,2.112694898188793770e-03,3.871558108519798647e-02,9.590158840648655980e-01,4.668462317563459862e-02
3.875411239678514669e-02,2.956262403802311756e+00,1.591086000099491235e-04,2.141915803520179958e-03,3.897643879061586658e-02,9.587225368058531760e-01,4.706310208363895242e-02
