top,bottom,logmid,h
2.901847826644411654e+00,3.653922220476548133e-01,-5.072671480432251467e-01,2.098012286271977889e+00
2.999998999999999416e+00,3.980102501671300974e-01,-5.909819386469408187e-01,1.684555489804422157e+00
2.909170824031561242e+00,4.488390854810032082e-01,-5.589130922565451742e-01,2.120718365268082550e+00
2.983697812223585100e+00,3.659851455416107124e-01,-4.857834748317104157e-01,1.712413398661166042e+00
2.956326590379324770e+00,4.267151075239638547e-01,-5.568056445650921837e-01,2.208807655582828211e+00
2.979972462732392025e+00,4.512481774315213467e-01,-5.556984403256205463e-01,2.111055697385008756e+00
2.986042839300168783e+00,5.117877380664554998e-01,-6.140506271968669827e-01,2.074279253493131137e+00
2.925361591475135636e+00,4.414103505560954543e-01,-5.217748076315344985e-01,1.999109933801162198e+00
2.999998999999999416e+00,3.669526088987012935e-01,-5.728805197818710448e-01,1.849980384926617427e+00
2.953910866592671880e+00,4.175404786974483695e-01,-5.352363668920983031e-01,2.109852591102071795e+00
2.994977222577043907e+00,4.087532466152716260e-01,-5.946187591747872370e-01,1.924204602360400695e+00
2.999998999999999416e+00,3.707904917051003113e-01,-5.479546719519917675e-01,1.904008018098483523e+00
2.996446213745611153e+00,3.114080386724525917e-01,-5.399506278136435578e-01,1.766274140821842531e+00
2.945040990014130777e+00,5.499577804842568085e-01,-6.232600533270434839e-01,2.091610111793726023e+00
2.991129137168331287e+00,4.253677690424088609e-01,-5.847121300519808607e-01,1.965725103821087005e+00
2.999998999999999416e+00,5.482608583199205521e-01,-6.791331259614187266e-01,2.291245881609090151e+00
2.999998999999999416e+00,3.823247848898553847e-01,-5.654936468382918413e-01,1.936790449049616170e+00
2.999998999999999416e+00,3.558966305598465496e-01,-5.384242148527987881e-01,1.802820044750639950e+00
2.961677844257739611e+00,5.573193915283474187e-01,-5.930755470455822964e-01,2.144751626215704920e+00
2.911149092967433738e+00,4.467736266420075375e-01,-5.258539890258014937e-01,1.885869602243495757e+00
2.912580202985681765e+00,4.744788116824189550e-01,-5.650432248782325528e-01,2.357442433251654368e+00
2.951125931874498232e+00,4.544798543157296811e-01,-5.822898304635037992e-01,2.034756095033064760e+00
2.970673094250341428e+00,4.735894261902231506e-01,-6.308799361515189386e-01,1.991676583802763467e+00
2.943511066717266811e+00,4.938765364776487865e-01,-6.063861799850462919e-01,2.027085058929334327e+00
2.980535358312362604e+00,4.091966987856892057e-01,-5.665242729213378903e-01,1.938213374940286338e+00
2.999998999999999416e+00,4.678010215326075527e-01,-5.977520366892996595e-01,2.026365654923300230e+00
2.999998999999999416e+00,3.965113998903332937e-01,-5.844273426592359044e-01,1.954778776088618830e+00
2.999998999999999416e+00,4.538359474415411543e-01,-6.659493907905349452e-01,2.042935966921848756e+00
