G_mM,Y_0p5,Y_5,Y_36
2.167704104819693172e-08,2.424020080586601503e-13,4.236494148872361103e-13,4.123160432973279526e-11
2.191122541090368226e-08,2.450207561866230233e-13,4.282262377865616709e-13,4.167704257695132691e-11
2.214793974601830724e-08,2.476677952844222401e-13,4.328525055044782306e-13,4.212729326223832515e-11
2.238721138568336155e-08,2.503434312405963572e-13,4.375287522044480354e-13,4.258240813748666922e-11
2.262906795731971925e-08,2.530479743013732808e-13,4.422555203266018186e-13,4.304244001185683973e-11
2.287353738681657571e-08,2.557817850921218357e-13,4.470334403833138512e-13,4.350745045085366354e-11
2.312064790175589034e-08,2.585450785213287474e-13,4.518628871591190472e-13,4.397747553712221109e-11
2.337042803467168990e-08,2.613382254177330861e-13,4.567445094175071159e-13,4.445257830007627937e-11
2.362290662634455026e-08,2.641615475063543788e-13,4.616788693352803272e-13,4.493281401583405542e-11
2.387811282913169978e-08,2.670153710824716729e-13,4.666665371536873769e-13,4.541823787918541892e-11
2.413607611033308526e-08,2.699000249922067160e-13,4.717080875706445999e-13,4.590890611507843455e-11
2.439682625559389332e-08,2.728158426519408767e-13,4.768041033485146561e-13,4.640487494846115405e-11
2.466039337234337848e-08,2.757631617294596371e-13,4.819551746774399909e-13,4.690620204108117644e-11
2.492680789327174808e-08,2.787423709094001608e-13,4.871619804564732275e-13,4.741295351282678910e-11
2.519610057984369800e-08,2.817537148600791277e-13,4.924249487379398493e-13,4.792517070557156251e-11
2.546830252585037580e-08,2.847975922569337765e-13,4.977447762475632383e-13,4.844292223327091332e-11
2.574344516099960600e-08,2.878743538408178409e-13,5.031220760954915350e-13,4.896626673361174106e-11
2.602156025454491670e-08,2.909843533285680953e-13,5.085574662729846930e-13,4.949526533834809391e-11
2.630267991895376134e-08,2.941279515581235347e-13,5.140515772924169832e-13,5.002997874548318968e-11
2.658683661361537565e-08,2.973055356198445909e-13,5.196050859306183914e-13,5.057047296646762430e-11
2.687406314858869330e-08,3.005174242627678006e-13,5.252185490588342915e-13,5.111680230148025199e-11
2.716439268839074380e-08,3.037640118046408509e-13,5.308926559750086837e-13,5.166903373791096917e-11
2.745785875582598582e-08,3.070456721564709882e-13,5.366280601115214327e-13,5.222723092869036323e-11
2.775449523585700298e-08,3.103627865629376478e-13,5.424254280585331583e-13,5.279145847557890570e-11
2.805433637951712766e-08,3.137157361624353314e-13,5.482854253450934142e-13,5.336178192916695863e-11
2.835741680786481433e-08,3.171049354668821475e-13,5.542087769224880220e-13,5.393827082513039345e-11
2.866377151598176411e-08,3.205307237383403098e-13,5.601960755275266931e-13,5.452098382826553900e-11
2.897343587701319581e-08,3.239935212281237374e-13,5.662480554492753581e-13,5.510999147729700944e-11
2.928644564625232153e-08,3.274937280996610126e-13,5.723654163845693944e-13,5.570536279282159663e-11
2.960283696526880509e-08,3.310317484489297273e-13,5.785488646091347086e-13,5.630716579238736259e-11
2.992264636608183199e-08,3.346080682114400615e-13,5.847992492242872108e-13,5.691548334950742773e-11
3.024591077537828384e-08,3.382229465102834072e-13,5.911170231123583009e-13,5.753035932723190823e-11
3.057266751877644744e-08,3.418768777837784740e-13,5.975030502302229561e-13,5.815187852384312203e-11
3.090295432513581438e-08,3.455702835586604045e-13,6.039580680502814163e-13,5.878011199314475641e-11
3.123680933091344429e-08,3.493035917387708650e-13,6.104828233827136268e-13,5.941513265949085690e-11
3.157427108456735162e-08,3.530772573306537913e-13,6.170781122732672424e-13,6.005701794740004504e-11
3.191537855100761085e-08,3.568916644486866752e-13,6.237446051321038321e-13,6.070583294660246198e-11
3.226017111609499478e-08,3.607472796844900576e-13,6.304831183783091770e-13,6.136165754857443568e-11
3.260868859118930989e-08,3.646445494355142598e-13,6.372944319287381817e-13,6.202456768681622053e-11
3.296097121774574116e-08,3.685839724977674420e-13,6.441794171680453061e-13,6.269464764453103550e-11
3.331705967196146971e-08,3.725659037572225176e-13,6.511386948463802860e-13,6.337195811972210487e-11
3.367699506947228523e-08,3.765908535949643024e-13,6.581731565095136960e-13,6.405658586255038635e-11
3.404081897010002690e-08,3.806592857329155329e-13,6.652836128465299438e-13,6.474860976144347161e-11
3.440857338265126335e-08,3.847716943968247485e-13,6.724709276020816924e-13,6.544811363874436518e-11
3.478030076976782017e-08,3.889285072779633943e-13,6.797358482230159306e-13,6.615517098810501848e-11
3.515604405282971763e-08,3.931302257231820281e-13,6.870792509750996385e-13,6.686986611983811215e-11
3.553584661691108768e-08,3.973774150629660053e-13,6.945021237530153656e-13,6.759229613990504103e-11
3.591975231578959294e-08,4.016704102016880887e-13,7.020050518657931382e-13,6.832251730036326681e-11
3.630780547701013530e-08,4.060097849726421127e-13,7.095890384881195043e-13,6.906062719514386046e-11
3.670005090700259583e-08,4.103960379592659664e-13,7.172549550046488227e-13,6.980671113760822594e-11
3.709653389625617383e-08,4.148297026065126915e-13,7.250037334956061109e-13,7.056085989011221440e-11
