draw,model,n_0p5,n_5,n_36
5.000000000000000000e+01,0.000000000000000000e+00,3.693591798028205808e+00,3.940119986846001954e+00,5.076212317822085041e+00
5.000000000000000000e+01,1.000000000000000000e+00,2.641307907566010638e+00,2.717018694096570375e+00,3.387085783584578014e+00
5.000000000000000000e+01,2.000000000000000000e+00,5.870948120129177994e+00,6.428688163473583295e+00,6.224265521573376425e+00
5.000000000000000000e+01,3.000000000000000000e+00,3.693591798027613837e+00,3.940119986846895461e+00,5.076212317822091258e+00
5.100000000000000000e+01,0.000000000000000000e+00,3.516962363849140516e+00,3.740354733758450401e+00,4.860387409563451833e+00
5.100000000000000000e+01,1.000000000000000000e+00,2.499098335896581258e+00,2.568087554084740987e+00,3.205712488524950832e+00
5.100000000000000000e+01,2.000000000000000000e+00,5.626099948221706448e+00,6.124383611126555493e+00,6.071158907087437662e+00
5.100000000000000000e+01,3.000000000000000000e+00,3.516962363849592599e+00,3.740354733758450401e+00,4.860387409563453609e+00
5.200000000000000000e+01,0.000000000000000000e+00,3.144551034519215360e+00,3.337482226246656136e+00,4.720391905399920596e+00
5.200000000000000000e+01,1.000000000000000000e+00,2.293491496367188187e+00,2.356443940448860186e+00,3.057059020360012536e+00
5.200000000000000000e+01,2.000000000000000000e+00,4.905998822974543927e+00,5.378985011806423522e+00,6.184213688426958733e+00
5.200000000000000000e+01,3.000000000000000000e+00,3.144551034519208699e+00,3.337482226246464734e+00,4.720391905399901056e+00
5.300000000000000000e+01,0.000000000000000000e+00,4.331587720983114842e+00,4.617509296527980034e+00,5.163878237929395709e+00
5.300000000000000000e+01,1.000000000000000000e+00,2.949477560206232862e+00,3.042465589331266429e+00,3.653399102517882469e+00
5.300000000000000000e+01,2.000000000000000000e+00,7.117663854661904210e+00,7.557735297342830449e+00,5.956135502727714304e+00
5.300000000000000000e+01,3.000000000000000000e+00,4.331587720982896350e+00,4.617509296527280149e+00,5.163878237929847792e+00
5.400000000000000000e+01,0.000000000000000000e+00,3.641236200565800107e+00,3.866350940087141641e+00,4.614222371090696662e+00
5.400000000000000000e+01,1.000000000000000000e+00,2.587099137684452987e+00,2.651077761940144661e+00,3.090257113252441012e+00
5.400000000000000000e+01,2.000000000000000000e+00,5.819232830386296129e+00,6.323513769898830184e+00,5.707955457385050835e+00
5.400000000000000000e+01,3.000000000000000000e+00,3.641236200565798775e+00,3.866350940087476040e+00,4.614222371090336949e+00
5.500000000000000000e+01,0.000000000000000000e+00,3.853890345905959247e+00,4.107408659963931008e+00,5.040273116535391118e+00
5.500000000000000000e+01,1.000000000000000000e+00,2.700589653795530953e+00,2.777395813483734877e+00,3.394488140318508318e+00
5.500000000000000000e+01,2.000000000000000000e+00,6.232448457718209767e+00,6.771826919135449430e+00,6.101535464667394493e+00
5.500000000000000000e+01,3.000000000000000000e+00,3.853890345905959247e+00,4.107408659962890951e+00,5.040273116535291642e+00
5.600000000000000000e+01,0.000000000000000000e+00,3.204248473245020268e+00,3.398704100328243882e+00,4.678476717266426554e+00
5.600000000000000000e+01,1.000000000000000000e+00,2.280548421397413872e+00,2.345863407197524175e+00,3.056967161696829915e+00
5.600000000000000000e+01,2.000000000000000000e+00,5.130250285379728048e+00,5.552133346001497216e+00,5.972931333098882689e+00
5.600000000000000000e+01,3.000000000000000000e+00,3.204248473245020712e+00,3.398704100329189792e+00,4.678476717266341289e+00
5.700000000000000000e+01,0.000000000000000000e+00,3.793527810972070036e+00,4.035425313194597408e+00,4.626174667929433326e+00
5.700000000000000000e+01,1.000000000000000000e+00,2.741946806905725786e+00,2.805223337520543758e+00,3.154424689147143912e+00
5.700000000000000000e+01,2.000000000000000000e+00,5.960080933401074255e+00,6.557626358518181320e+00,5.709534274154817624e+00
