draw,model,n_0p5,n_5,n_36
2.400000000000000000e+01,2.000000000000000000e+00,5.937827901151814913e+00,6.551176490857551826e+00,6.333036981409891020e+00
2.400000000000000000e+01,3.000000000000000000e+00,3.789592539901690316e+00,4.054465431490099192e+00,5.219659903346989260e+00
2.500000000000000000e+01,0.000000000000000000e+00,3.666784851812984414e+00,3.925231366453727055e+00,5.549275041738591874e+00
2.500000000000000000e+01,1.000000000000000000e+00,2.621952283072194412e+00,2.708877252279279890e+00,3.726740754027372926e+00
2.500000000000000000e+01,2.000000000000000000e+00,5.843671375259575029e+00,6.397927612980097933e+00,6.732687141350315763e+00
2.500000000000000000e+01,3.000000000000000000e+00,3.666784851812984414e+00,3.925231366453727055e+00,5.549275041738563452e+00
2.600000000000000000e+01,0.000000000000000000e+00,3.327862933224971620e+00,3.503597606180410384e+00,4.022544038525440513e+00
2.600000000000000000e+01,1.000000000000000000e+00,2.347516568012592231e+00,2.393854802615765553e+00,2.663461773199350180e+00
2.600000000000000000e+01,2.000000000000000000e+00,5.350304947522964483e+00,5.755816934456928990e+00,5.175380157214663157e+00
2.600000000000000000e+01,3.000000000000000000e+00,3.327862933225196329e+00,3.503597606179982282e+00,4.022544038525572851e+00
2.700000000000000000e+01,0.000000000000000000e+00,3.644876866263007553e+00,3.864290449897700430e+00,4.689824118940356890e+00
2.700000000000000000e+01,1.000000000000000000e+00,2.523740372856897896e+00,2.591016030071434439e+00,3.124960492117198729e+00
2.700000000000000000e+01,2.000000000000000000e+00,5.948931034136950124e+00,6.383579520128398244e+00,5.766208726889087366e+00
2.700000000000000000e+01,3.000000000000000000e+00,3.644876866263087489e+00,3.864290449897383350e+00,4.689824118940359554e+00
2.800000000000000000e+01,0.000000000000000000e+00,3.586206085037298319e+00,3.825225242169836726e+00,5.192396050550417641e+00
2.800000000000000000e+01,1.000000000000000000e+00,2.550994046115951708e+00,2.628186523267605157e+00,3.444878061040382189e+00
2.800000000000000000e+01,2.000000000000000000e+00,5.736899142658545614e+00,6.260720077764879932e+00,6.406789904017184512e+00
2.800000000000000000e+01,3.000000000000000000e+00,3.586206085036814706e+00,3.825225242168986295e+00,5.192396050550387443e+00
2.900000000000000000e+01,0.000000000000000000e+00,3.691118630308342752e+00,3.943664934742204586e+00,5.454905060480949253e+00
2.900000000000000000e+01,1.000000000000000000e+00,2.593314124224795680e+00,2.679203537804002888e+00,3.659434988257911137e+00
2.900000000000000000e+01,2.000000000000000000e+00,5.970108460197833367e+00,6.483299796689626859e+00,6.610916099032402293e+00
2.900000000000000000e+01,3.000000000000000000e+00,3.691118630307641535e+00,3.943664934742819206e+00,5.454905060480938594e+00
3.000000000000000000e+01,0.000000000000000000e+00,3.399475489343458001e+00,3.601737868387620001e+00,4.529392859684281625e+00
3.000000000000000000e+01,1.000000000000000000e+00,2.414282779102539855e+00,2.473269505870504759e+00,2.956640821013676312e+00
3.000000000000000000e+01,2.000000000000000000e+00,5.430674795430263657e+00,5.902680591404014798e+00,5.787036065547524366e+00
