G_mM,min_pair_TV,TV_0_1,TV_0_2,TV_0_3,TV_1_2,TV_1_3,TV_2_3
1.290390024296431959e-01,2.729975149774003899e-03,3.251972908700309639e-02,1.135093614882369539e-02,2.729975149774003899e-03,4.387066523582679178e-02,2.978975393722909162e-02,1.408091129859769843e-02
1.310594744131481082e-01,2.858343767527267171e-03,3.374908523746788375e-02,1.187820218179909404e-02,2.858343767527267171e-03,4.562728741926697085e-02,3.089074146994061354e-02,1.473654594932636078e-02
1.331115826225944543e-01,2.993247137974128745e-03,3.502304284218536734e-02,1.243174752409376485e-02,2.993247137974128745e-03,4.745479036627912872e-02,3.202979570421123773e-02,1.542499466206789273e-02
1.351958224129290453e-01,3.135008961566944884e-03,3.634268490819449193e-02,1.301281796884392813e-02,3.135008961566944884e-03,4.935550287703841660e-02,3.320767594662754618e-02,1.614782693041087389e-02
1.373126968952868843e-01,3.283967146643070132e-03,3.770907599447446967e-02,1.362270792733220014e-02,3.283967146643070132e-03,5.133178392180666461e-02,3.442510884783139824e-02,1.690667507397526984e-02
1.394627170584363252e-01,3.440474235650269920e-03,3.912325836131592960e-02,1.426276115693532118e-02,3.440474235650269920e-03,5.338601951825124731e-02,3.568278412566565361e-02,1.770323539258559370e-02
1.416464018921258783e-01,3.604897824214321929e-03,4.058624756754926344e-02,1.493437135375421006e-02,3.604897824214321929e-03,5.552061892130347870e-02,3.698134974333494585e-02,1.853926917796853285e-02
1.438642785123620815e-01,3.777620970500852188e-03,4.209902788808929375e-02,1.563898259205493205e-02,3.777620970500852188e-03,5.773801048014422926e-02,3.832140691758844503e-02,1.941660356255578423e-02
1.461168822886494412e-01,3.959042592089612872e-03,4.366254770707185540e-02,1.637808959101618583e-02,3.959042592089612872e-03,6.004063729808804123e-02,3.970350511498223905e-02,2.033713218310580217e-02
1.484047569732221405e-01,4.149577847327839616e-03,4.527771383394623567e-02,1.715323778797667176e-02,4.149577847327839616e-03,6.243095162192291436e-02,4.112813598661840125e-02,2.130281563530451311e-02
1.507284548322995188e-01,4.349658497862932474e-03,4.694538641604471124e-02,1.796602319583720520e-02,4.349658497862932474e-03,6.491140961188190950e-02,4.259572791818178050e-02,2.231568169370013593e-02
1.530885367793968221e-01,4.559733248796020086e-03,4.866637347925560630e-02,1.881809199606444480e-02,4.559733248796020086e-03,6.748446547532005457e-02,4.410664023045958448e-02,2.337782524486046662e-02
1.554855725107228692e-01,4.780268062605736411e-03,5.044142519377268347e-02,1.971113984371059696e-02,4.780268062605736411e-03,7.015256503748328043e-02,4.566115713116694619e-02,2.449140790631633424e-02
1.579201406426984644e-01,5.011746442710201914e-03,5.227122818359695305e-02,2.064691093965313057e-02,5.011746442710201914e-03,7.291813912325008362e-02,4.725948174088675374e-02,2.565865738236332988e-02
1.603928288516273115e-01,5.254669682240658071e-03,5.415639926964496698e-02,2.162719657307634116e-02,5.254669682240658071e-03,7.578359584272130467e-02,4.890172958740431064e-02,2.688186625531700097e-02
1.629042340155543722e-01,5.509557073298454108e-03,5.609747876613506434e-02,2.265383356503919421e-02,5.509557073298454108e-03,7.875131233117425855e-02,5.058792169283660850e-02,2.816339063833765005e-02
1.654549623583452533e-01,5.776946071664445029e-03,5.809492432412974999e-02,2.372870191557310479e-02,5.776946071664445029e-03,8.182362623970285131e-02,5.231797825246529976e-02,2.950564798723754809e-02
1.680456295960214008e-01,6.057392411627296469e-03,6.014910432766410603e-02,2.485372245239100483e-02,6.057392411627296469e-03,8.500282678005510739e-02,5.409171191603680956e-02,3.091111486401830130e-02
1.706768610853869605e-01,6.351470165295275416e-03,6.226029149551515207e-02,2.603085343376347616e-02,6.351470165295275416e-03,8.829114492927862823e-02,5.590882133021987666e-02,3.238232359905875157e-02
1.733492919749825278e-01,6.659771740452334089e-03,6.442865584890156150e-02,2.726208702731974798e-02,6.659771740452334089e-03,9.169074287622130948e-02,5.776888410844922828e-02,3.392185876777208120e-02
1.760635673584025340e-01,6.982907810737928184e-03,6.665425724775853045e-02,2.854944508146938648e-02,6.982907810737928184e-03,9.520370232922790998e-02,5.967134943702059879e-02,3.553235289220731813e-02
1.788203424300134348e-01,7.321507171639664822e-03,6.893703880536780626e-02,2.989497400763511253e-02,7.321507171639664822e-03,9.883201281300291186e-02,6.161553163372814057e-02,3.721648117927477128e-02
1.816202826431097261e-01,7.676216515530490288e-03,7.127682010170013904e-02,3.130073919306843727e-02,7.676216515530490288e-03,1.025775592947685833e-01,6.360060358616966003e-02,3.897695570859893016e-02
