strain,time_min,protein,estimator,theta,point_physically_admissible,theta_lo,theta_hi,p0_lo,p0_hi,pn_lo,pn_hi,point_pn_min,point_p0_max,source_row
WT,5,GlnK,paired_peptide_fraction,0.37263188186301194,True,0.14972408322282815,0.6297602007064328,0.0,0.8502759167771718,0.0,0.6297602007064328,0,0.6273681181369881,17
WT,5,GS,modified_over_total,0.35945224620226074,True,0,1,0.0,1.0,0.0,1.0,0,0.6405477537977393,17
WT,5,GS,paired_peptide_fraction,0.3378845198368154,True,0,0.727085302061698,0.0,1.0,0.0,0.727085302061698,0,0.6621154801631846,17
WT,15,GlnB,modified_over_total,0.3700742477787092,True,0,1,0.0,1.0,0.0,1.0,0,0.6299257522212909,18
WT,15,GlnB,paired_peptide_fraction,0.36694565929206135,True,0,0.8267873876573208,0.0,1.0,0.0,0.8267873876573208,0,0.6330543407079386,18
WT,15,GlnK,modified_over_total,0.33092119606707227,True,0.08526961451311793,0.9232825649711978,0.0,0.914730385486882,0.0,0.9232825649711978,0,0.6690788039329277,18
WT,15,GlnK,paired_peptide_fraction,0.34089281102530783,True,0.12442118928359723,0.5565286783163695,0.0,0.8755788107164028,0.0,0.5565286783163695,0,0.6591071889746922,18
WT,15,GS,modified_over_total,0.23239389169132102,True,0,0.7049157194039652,0.0,1.0,0.0,0.7049157194039652,0,0.7676061083086789,18
WT,15,GS,paired_peptide_fraction,0.22236082643945154,True,0,0.5701455535177222,0.0,1.0,0.0,0.5701455535177222,0,0.7776391735605485,18
WT,35,GlnB,modified_over_total,0.44726911591416874,True,0,1,0.0,1.0,0.0,1.0,0,0.5527308840858313,19
WT,35,GlnB,paired_peptide_fraction,0.4209800971504713,True,0,0.7014553858393618,0.0,1.0,0.0,0.7014553858393618,0,0.5790199028495286,19
WT,35,GlnK,modified_over_total,0.3643199554504404,True,0.1167884384049697,0.9583493754795964,0.0,0.8832115615950303,0.0,0.9583493754795964,0,0.6356800445495596,19
