# Fig 2a
l,theta_n1,theta_n2,theta_n3,theta_n12
3.5084297255176735,0.22180671783348613,0.22180671783348616,0.22180671783348616,0.2218067178334861
3.6111382072473064,0.21686619551509087,0.2168661955150909,0.21686619551509087,0.2168661955150909
3.716853456404114,0.21200573841069645,0.21200573841069645,0.21200573841069645,0.2120057384106964
3.8256634954202124,0.20722539003166057,0.20722539003166057,0.20722539003166052,0.20722539003166057
3.937658923564384,0.2025251268830296,0.2025251268830296,0.2025251268830296,0.20252512688302957
4.0529329923783965,0.19790486070334842,0.19790486070334842,0.1979048607033484,0.19790486070334837
4.171581683321669,0.19336444075223566,0.19336444075223566,0.19336444075223566,0.19336444075223566
4.293703787688999,0.18890365613686075,0.18890365613686072,0.18890365613686072,0.1889036561368608
4.419400988867871,0.18452223816878016,0.18452223816878016,0.18452223816878013,0.1845222381687802
4.548777947003778,0.1802198627429268,0.18021986274292684,0.18021986274292684,0.18021986274292687
4.681942386144156,0.17599615273089977,0.1759961527308998,0.1759961527308998,0.17599615273089975
4.819005183933427,0.17185068038108153,0.17185068038108156,0.17185068038108153,0.17185068038108148
4.9600804639337985,0.16778296971849532,0.16778296971849532,0.1677829697184953,0.16778296971849535
5.105285690648808,0.1637924989377082,0.16379249893770823,0.16379249893770823,0.1637924989377082
5.254741767328584,0.15987870278249752,0.15987870278249752,0.15987870278249755,0.15987870278249758
5.408573136638388,0.15604097490639693,0.1560409749063969,0.15604097490639693,0.15604097490639693
5.566907884274202,0.15227867020865385,0.15227867020865385,0.15227867020865385,0.1522786702086539
5.72987784561158,0.14859110714053753,0.14859110714053753,0.1485911071405375,0.14859110714053753
5.897618715476719,0.14497756997733474,0.14497756997733477,0.14497756997733477,0.14497756997733474
6.070270161130949,0.14143731105178048,0.14143731105178045,0.14143731105178045,0.14143731105178045
6.247975938562892,0.1379695529450498,0.13796955294504984,0.13796955294504984,0.13796955294504976
6.430884012185032,0.13457349063183027,0.13457349063183027,0.13457349063183027,0.13457349063183027
6.619146678034341,0.1312482935763601,0.1312482935763601,0.1312482935763601,0.1312482935763601
6.812920690579608,0.12799310777667885,0.12799310777667885,0.12799310777667885,0.12799310777667883
7.012367393241042,0.1248070577546863,0.12480705775468628,0.1248070577546863,0.12480705775468626
7.217652852730735,0.1216892484899382,0.1216892484899382,0.12168924848993823,0.1216892484899382
7.4289479973259835,0.11863876729542548,0.11863876729542545,0.11863876729542551,0.1186387672954255
7.646428759190521,0.11565468563388939,0.11565468563388938,0.11565468563388938,0.11565468563388942
7.870276220862103,0.1127360608735147,0.11273606087351469,0.1127360608735147,0.11273606087351475
8.100676766028599,0.10988193798211178,0.10988193798211175,0.10988193798211177,0.1098819379821118
8.33782223471789,0.10709135115916153,0.10709135115916152,0.10709135115916152,0.10709135115916153
8.581910083031024,0.10436332540533215,0.10436332540533214,0.10436332540533218,0.10436332540533214
8.833143547551487,0.10169687802930592,0.10169687802930591,0.10169687802930588,0.10169687802930591
9.091731814567451,0.09909102009196245,0.09909102009196245,0.09909102009196248,0.09909102009196248
9.357890194248114,0.09654475778815597,0.09654475778815595,0.09654475778815598,0.09654475778815598
9.631840299918837,0.09405709376650756,0.09405709376650756,0.09405709376650755,0.09405709376650756
9.91381023258465,0.09162702838779123,0.09162702838779122,0.09162702838779122,0.09162702838779123
10.204034770855616,0.08925356092264547,0.08925356092264547,0.08925356092264547,0.08925356092264553
10.50275556643215,0.08693569068947654,0.08693569068947654,0.08693569068947654,0.08693569068947658
10.810221345313192,0.08467241813353849,0.08467241813353847,0.08467241813353847,0.0846724181335385
11.126688114894732,0.08246274584828643,0.08246274584828643,0.08246274584828645,0.08246274584828645
11.452419377130974,0.08030567954019543,0.08030567954019542,0.08030567954019542,0.08030567954019546
11.787686347935866,0.07820022893831892,0.0782002289383189,0.07820022893831889,0.0782002289383189
12.132768183007542,0.076145408649937,0.076145408649937,0.07614540864993699,0.07614540864993702
12.487952210263618,0.07414023896370667,0.07414023896370667,0.07414023896370665,0.07414023896370667
12.853534169081158,0.07218374660177602,0.07218374660177602,0.07218374660177602,0.07218374660177604
13.229818456540139,0.07027496542237277,0.07027496542237276,0.07027496542237274,0.0702749654223728
13.61711838087578,0.06841293707440613,0.06841293707440614,0.06841293707440614,0.06841293707440613
14.01575642235062,0.06659671160565192,0.06659671160565192,0.06659671160565192,0.06659671160565192
14.426064501763435,0.06482534802610769,0.06482534802610768,0.06482534802610768,0.06482534802610766
14.848384256818896,0.06309791482811516,0.06309791482811516,0.06309791482811516,0.06309791482811516
15.283067326587688,0.061413490464855926,0.06141349046485592,0.06141349046485592,0.06141349046485594
15.730475644294255,0.059771163788821455,0.05977116378882145,0.05977116378882145,0.05977116378882145
