G_uM,epsilon_P,epsilon_S,J,actual_gap,universal_bound,condition_bound,condition_certifies,universal_certifies
2114.7425268811285,0.00401,0.001,0.0,1.229490359522245e-06,0.002004515064277016,0.0010000665448602888,True,True
2470.1979048446246,0.00401,0.001,0.0,1.1296801090132647e-06,0.002004515064277016,0.0010000494634377901,True,True
2885.3998118144273,0.00401,0.001,0.0,1.0372405274683416e-06,0.002004515064277016,0.001000038034902894,True,True
3370.3907114852836,0.00401,0.001,0.0,9.51901715784409e-07,0.002004515064277016,0.0010000300513863794,True,True
3936.9010497450113,0.00401,0.001,0.0,8.726184184126851e-07,0.002004515064277016,0.001000024253314579,True,True
4598.632978267703,0.00401,0.001,0.0,7.981608259877149e-07,0.002004515064277016,0.0010000198957903486,True,True
5371.591767636877,0.00401,0.001,0.0,7.274575681837092e-07,0.002004515064277016,0.0010000165234124161,True,True
6274.472925867966,0.00401,0.001,0.0,6.597525991081099e-07,0.002004515064277016,0.001000013848930891,True,True
7329.114385542688,0.00401,0.001,0.0,5.946408764279099e-07,0.002004515064277016,0.0010000116855951582,True,True
8561.024696578494,0.00401,0.001,0.0,5.320334443004171e-07,0.002004515064277016,0.001000009908273535,True,True
10000.0,0.00401,0.001,0.0,4.7208655862274185e-07,0.002004515064277016,0.0010000084305190607,True,True
20.0,0.005000062579469637,0.001,0.0,8.740116996027586e-10,0.0022531505233940033,0.0010006728183598046,True,True
23.361689410840295,0.005000062579469637,0.001,0.0,1.1724521603150712e-09,0.0022531505233940033,0.0010007862985066632,True,True
27.288426606428374,0.005000062579469637,0.001,0.0,1.5664036080861258e-09,0.0022531505233940033,0.0010009190664728676,True,True
31.87518734449451,0.005000062579469637,0.001,0.0,2.081680098995264e-09,0.0022531505233940033,0.0010010744842869406,True,True
37.23291133272139,0.005000062579469637,0.001,0.0,2.7472640169723395e-09,0.0022531505233940033,0.0010012565476187878,True,True
43.49118552081964,0.005000062579469637,0.001,0.0,3.5921823579934675e-09,0.0022531505233940033,0.0010014700316290136,True,True
50.80137841233114,0.005000062579469637,0.001,0.0,4.638693478810352e-09,0.0022531505233940033,0.0010017206837062463,True,True
59.34030120557235,0.005000062579469637,0.001,0.0,5.889894195900292e-09,0.0022531505233940033,0.0010020154831223075,True,True
69.31448431551465,0.005000062579469637,0.001,0.0,7.3111758716387296e-09,0.0022531505233940033,0.0010023629964832225,True,True
80.9651727125807,0.005000062579469637,0.001,0.0,8.810819223628759e-09,0.0022531505233940033,0.0010027738684388072,True,True
94.5741609003176,0.005000062579469637,0.001,0.0,1.0238213103697102e-08,0.0022531505233940033,0.0010032614943604416,True,True
110.47060866220276,0.005000062579469637,0.001,0.0,1.1431600210930551e-08,0.0022531505233940033,0.0010038429062056533,True,True
129.0390024296432,0.005000062579469637,0.001,0.0,1.2336896060283209e-08,0.0022531505233940033,0.0010045398016147924,True,True
150.72845483229952,0.005000062579469637,0.001,0.0,1.3229790850072948e-08,0.0022531505233940033,0.001005379271293134,True,True
176.06356735840254,0.005000062579469637,0.001,0.0,1.5521749770902593e-08,0.0022531505233940033,0.0010063926073869984,True,True
205.65711885957793,0.005000062579469637,0.001,0.0,2.5596875407457587e-08,0.0022531505233940033,0.0010076073011431015,True,True
240.22488679628626,0.005000062579469637,0.001,0.0,6.722741145021027e-08,0.0022531505233940033,0.0010090194739520988,True,True
280.60295970445543,0.005000062579469637,0.001,0.0,1.9509083130225813e-07,0.0022531505233940033,0.0010105208361211723,True,True
327.76795961890105,0.005000062579469637,0.001,0.0,4.5339248141984534e-07,0.0022531505233940033,0.0010117585121682529,True,True
382.86066357208045,0.005000062579469637,0.001,0.0,7.93582821345673e-07,0.0022531505233940033,0.0010120304773222335,True,True
447.213595499958,0.005000062579469637,0.001,0.0,1.1174899274268846e-06,0.0022531505233940033,0.0010106328239679043,True,True
450.0,0.005000062579469637,0.001,0.0,1.1291492852394391e-06,0.0022531505233940033,0.001010540777690582,True,True
460.0,0.005000062579469637,0.001,0.0,1.1694517804139437e-06,0.0022531505233940033,0.001010196195137313,True,True
470.0,0.005000062579469637,0.001,0.0,1.2074168030951071e-06,0.0022531505233940033,0.001009832974402657,True,True
480.0,0.005000062579469637,0.001,0.0,1.2431476326124624e-06,0.0022531505233940033,0.0010094558170104509,True,True
490.0,0.005000062579469637,0.001,0.0,1.2767519358414248e-06,0.0022531505233940033,0.0010090692213554622,True,True
500.0,0.005000062579469637,0.001,0.0,1.308338308914081e-06,0.0022531505233940033,0.001008677390904488,True,True
510.0,0.005000062579469637,0.001,0.0,1.338013824681017e-06,0.0022531505233940033,0.0010082841652543908,True,True
520.0,0.005000062579469637,0.001,0.0,1.3658823663775799e-06,0.0022531505233940033,0.0010078929737856726,True,True
522.3832559187591,0.005000062579469637,0.001,0.0,1.3722685779926636e-06,0.0022531505233940033,0.0010078003819199424,True,True
530.0,0.005000062579469637,0.001,0.0,1.3920435505410111e-06,0.0022531505233940033,0.0010075068103275178,True,True
540.0,0.005000062579469637,0.001,0.0,1.4165921010667049e-06,0.0022531505233940033,0.0010071282263043315,True,True
550.0,0.005000062579469637,0.001,0.0,1.4396175265218858e-06,0.0022531505233940033,0.0010067593392772958,True,True
560.0,0.005000062579469637,0.001,0.0,1.4612040466488452e-06,0.0022531505233940033,0.0010064018535832489,True,True
570.0,0.005000062579469637,0.001,0.0,1.4814306645849484e-06,0.0022531505233940033,0.0010060570898191559,True,True
580.0,0.005000062579469637,0.001,0.0,1.500371353602148e-06,0.0022531505233940033,0.0010057260201973275,True,True
590.0,0.005000062579469637,0.001,0.0,1.5180953005788922e-06,0.0022531505233940033,0.0010054093071689687,True,True
600.0,0.005000062579469637,0.001,0.0,1.5346671817795254e-06,0.0022531505233940033,0.0010051073431660553,True,True
610.0,0.005000062579469637,0.001,0.0,1.5501474840418084e-06,0.0022531505233940033,0.0010048202897745542,True,True
610.1877689098774,0.005000062579469637,0.001,0.0,1.550428085472788e-06,0.0022531505233940033,0.0010048150424865057,True,True
620.0,0.005000062579469637,0.001,0.0,1.5645927953222838e-06,0.0022531505233940033,0.0010045481150919846,True,True
630.0,0.005000062579469637,0.001,0.0,1.5780560992384451e-06,0.0022531505233940033,0.0010042906284000166,True,True
640.0,0.005000062579469637,0.001,0.0,1.5905870661692134e-06,0.0022531505233940033,0.001004047511631744,True,True
650.0,0.005000062579469637,0.001,0.0,1.6022323190423293e-06,0.0022531505233940033,0.001003818347360518,True,True
712.7508569783073,0.005000062579469637,0.001,0.0,1.6576490915465314e-06,0.0022531505233940033,0.00100266448013031,True,True
832.5532074018732,0.005000062579469637,0.001,0.0,1.7007324042417338e-06,0.0022531505233940033,0.0010014226810618468,True,True
972.4924724660731,0.005000062579469637,0.001,0.0,1.688252139309121e-06,0.0022531505233940033,0.0010007736169725936,True,True
1135.9533548066277,0.005000062579469637,0.001,0.0,1.6319832095712528e-06,0.0022531505233940033,0.0010004411815043293,True,True
1326.889473009725,0.005000062579469637,0.001,0.0,1.5458239938093143e-06,0.0022531505233940033,0.001000266902961732,True,True
1549.918987548337,0.005000062579469637,0.001,0.0,1.4433098892707719e-06,0.0022531505233940033,0.001000171461409515,True,True
1810.4362999534146,0.005000062579469637,0.001,0.0,1.3354240154805908e-06,0.0022531505233940033,0.0010001164545582189,True,True
2114.7425268811285,0.005000062579469637,0.001,0.0,1.2295784994620362e-06,0.0022531505233940033,0.0010000830571545985,True,True
2470.1979048446246,0.005000062579469637,0.001,0.0,1.12974936661292e-06,0.0022531505233940033,0.0010000617371871403,True,True
2885.3998118144273,0.005000062579469637,0.001,0.0,1.0372929361013306e-06,0.0022531505233940033,0.0010000474728021338,True,True
