# Fig 6A: ligands bound per enzyme for a one-site law and a concerted two-site law
scaled_glutamine,one_ligand,two_ligands
2.2621169304690243,0.6934505962494052,1.6730515880989645
2.3328830978641557,0.6999594733338113,1.6895539666574164
2.4058630546440645,0.7063886645012194,1.705370088480003
2.481126055137768,0.7127366305727115,1.7205137265720971
2.5587435201685893,0.7190019470825403,1.7349999505153824
2.6387891048289345,0.7251833037883596,1.748844935969448
2.7213387683753085,0.7312795038983813,1.7620657836664955
2.8064708463098387,0.7372894630286098,1.7746803488706029
2.8942661247167516,0.743212207904067,1.786707081993089
2.9848079169243276,0.7490468748185359,1.7981648808031463
3.07818214256508,0.754792707867868,1.8090729544494795
3.1744774091091936,0.7604490569722848,1.8194506993145243
3.2737850959485773,0.7660153757033851,1.8293175865573634
3.37619944111134,0.7714912189317292,1.838693061063577
3.4818176306889663,0.7768762403109483,1.847596451408234
3.590739891061055,0.7821701896142779,1.8560468903500285
3.7030695840051413,0.7873729099393,1.8640632453079438
3.818913304781854,0.7924843347964591,1.8716640582244122
3.938380983288489,0.7975044850966326,1.8788674941883592
4.061585988376979,0.8024334660526721,1.8856912981754321
4.188645235435271,0.8072714640094081,1.8921527592589222
4.319679297334174,0.8120187432161323,1.898268681651271
4.454812518844989,0.8166756425550366,1.9040553619507525
4.594173134636477,0.8212425722385186,1.9095285719891721
4.737893390963144,0.8257200104876569,1.9147035467027183
4.886109671160326,0.8301085002035189,1.9195949764780955
5.0389626250651505,0.8344086456423115,1.9242170034585835
5.196597302486198,0.8386211091047049,1.9285832213287486
5.359163290848515,0.8427466076489808,1.9327066781313207
5.526814857144603,0.8467859098369634,1.936599881704597
5.699711094326076,0.8507398325210036,1.9402748073630613
5.878016072274912,0.8546092376796018,1.9437429074773
6.061898993497572,0.8583950293085789,1.9470151226414287
6.251534353689712,0.8620981503740403,1.9501018941468329
6.44710210732387,0.8657195798327315,1.9530131775099577
6.648787838417263,0.869260329724752,1.9557584568289916
6.856782936641738,0.8727214423429859,1.9583467597695592
7.071284778942996,0.8761039874830239,1.9607866730029293
7.292496916841444,0.8794090597767876,1.9630863579417863
7.520629269592407,0.882637776112534,1.9652535666383422
7.755898323389002,0.8857912731434111,1.9672956577275564
7.998527336796708,0.8888707048862531,1.9692196123145433
