# S5 Fig B: parameters in results/counterexamples_parameters.json (condition_i)
l,R
0.00018500043016984402,-0.4863295202766907
0.00018573836523953744,-0.48536174136046617
0.00018647924380599216,-0.48439254564863193
0.00018722307761031366,-0.4834219372515979
0.00018796987844044006,-0.4824499203118469
0.00018871965813132977,-0.48147649900392003
0.0001894724285651486,-0.48050167753439116
0.00019022820167145888,-0.4795254601418537
0.00019098698942740736,-0.47854785109689507
0.00019174880385791556,-0.47756885470207694
0.00019251365703587095,-0.47658847529190784
0.0001932815610823171,-0.4756067172328238
0.0001940525281666465,-0.4746235849231544
0.00019482657050679311,-0.4736390827931041
0.00019560370036942676,-0.47265321530471516
0.0001963839300701463,-0.47166598695184436
0.00019716727197367537,-0.4706774022601257
0.00019795373849405902,-0.4696874657869432
0.00019874334209485915,-0.4686961821213901
0.00019953609528935295,-0.4677035558842433
0.00020033201064073068,-0.4667095917279204
0.00020113110076229563,-0.465714294336439
0.00020193337831766258,-0.46471766842538764
0.00020273885602096014,-0.46371971874187584
0.0002035475466370308,-0.4627204500644981
0.00020435946298163403,-0.4617198672032907
0.00020517461792164907,-0.4607179749996841
0.00020599302437527889,-0.4597147783264594
0.00020681469531225546,-0.4587102820877056
0.00020763964375404404,-0.4577044912187642
0.00020846788277405112,-0.45669741068618575
0.00020929942549783003,-0.4556890454876763
0.00021013428510329007,-0.45467940065204854
0.00021097247482090463,-0.4536684812391649
0.00021181400793392183,-0.45265629233988447
0.00021265889777857388,-0.45164283907600894
0.00021350715774428878,-0.45062812660022533
0.00021435880127390343,-0.449612160096044
0.00021521384186387518,-0.4485949447777434
0.00021607229306449673,-0.4475764858903073
0.0002169341684801103,-0.4465567887093635
0.0002177994817693242,-0.44553585854111943
0.00021866824664522788,-0.44451370072229546
0.00021954047687561002,-0.4434903206200644
0.0002204161862831773,-0.44246572363197967
0.00022129538874577216,-0.44143991518590664
0.00022217809819659353,-0.44041290073995465
0.00022306432862441734,-0.43938468578240586
0.000223954094073819,-0.4383552758316409
0.00022484740864539443,-0.4373246764360649
0.00022574428649598533,-0.4362928931740357
0.00022664474183890193,-0.435259931653784
0.00022754878894414913,-0.4342257975133382
0.00022845644213865225,-0.43319049642044216
0.0002293677158064849,-0.43215403407248065
0.00023028262438909569,-0.43111641619638985
0.0002312011823855376,-0.43007764854858227
0.00023212340435269864,-0.4290377369148575
0.00023304930490553096,-0.42799668711032035
0.00023397889871728362,-0.42695450497929227
0.00023491220051973435,-0.4259111963952225
0.00023584922510342432,-0.4248667672606026
0.0002367899873178908,-0.42382122350687
0.00023773450207190334,-0.42277457109432526
0.00023868278433370076,-0.4217268160120283
0.00023963484913122694,-0.4206779642777136
