# Fig 5A: calibrated composite responses normalised between their plateaus; midpoints at the reported cascade half-points
glutamine_mM,Y_norm_PII_0.5,Y_norm_PII_5,Y_norm_PII_36
1.3191699564735717,0.9162735767144572,0.9461037358283623,0.9988913810704048
1.342207152716012,0.9195602552001152,0.9482855224485602,0.9989386565126652
1.3656466567946097,0.9227099750458531,0.9503711724164092,0.9989836500736866
1.3894954943731375,0.925728656191966,0.9523652757290918,0.9990264881884907
1.4137608138073599,0.9286219784540292,0.9542721958202975,0.9990672893506636
1.438449888287663,0.9313953873227384,0.956096079746712,0.9991061646624565
1.4635701180190799,0.9340541002482151,0.9578408681373102,0.9991432183439662
1.4891290324394086,0.9366031132953377,0.9595103048733408,0.9991785482045985
1.515134292476053,0.9390472080712711,0.9611079464743739,0.9992122460797602
1.5415936928422718,0.9413909588395695,0.9626371711722352,0.999244398235486
1.5685151643735478,0.943638739747097,0.964101187660136,0.9992750857434873
1.595906776404731,0.945794732100618,0.9655030435089718,0.9993043848289077
1.623776739188721,0.9478629316393979,0.9668456332466948,0.9993323671928893
1.6521334063573703,0.9498471557585376,0.9681317060999413,0.9993591003118819
1.6809852774253637,0.9517510506452246,0.9693638733998344,0.9993846477154731
1.7103410003378396,0.9535780982966221,0.9705446156561166,0.9994090692443767
1.7402093740624849,0.9553316233938703,0.9716762893055768,0.9994324212900847
1.770599351226898,0.9570148000117081,0.9727611331422062,0.9994547570175693
1.8015200408020238,0.9586306581475954,0.9738012744376376,0.9994761265723103
1.8329807108324356,0.960182090058015,0.9747987347613152,0.9994965772728256
