# S2 Fig: sup over the input of the ladder factor nu for the three-site ladder c = (1, 3a, 3b, 1); a = b = 1 is the binomial ladder (nu = 1); the bound nu <= 3 is approached as a, b -> 0
log10_a,log10_b,nu_sup
3.0,-2.8,1.9979590363265627
-3.0,-2.7,2.9881089376815964
-2.9,-2.7,2.9870464771383247
-2.8,-2.7,2.985755871665553
-2.7,-2.7,2.984132878687852
-2.6,-2.7,2.9820924716680386
-2.5,-2.7,2.97952820930104
-2.4,-2.7,2.9763853306608317
-2.3,-2.7,2.9725176968230347
-2.2,-2.7,2.9676669283370836
-2.1,-2.7,2.961588947184918
-2.0,-2.7,2.953982394304936
-1.9,-2.7,2.9444770548464434
-1.7999999999999998,-2.7,2.9328103826983916
-1.7,-2.7,2.9183965442016366
-1.5999999999999999,-2.7,2.900545303882884
-1.5,-2.7,2.878523426608717
-1.4,-2.7,2.851485684373086
-1.2999999999999998,-2.7,2.8184798020964807
-1.2,-2.7,2.7786203444190654
-1.0999999999999999,-2.7,2.7317611970595554
-1.0,-2.7,2.676334770001131
-0.8999999999999999,-2.7,2.611524769021974
-0.7999999999999998,-2.7,2.539289591832972
-0.6999999999999997,-2.7,2.45853689747828
-0.5999999999999996,-2.7,2.374139577373662
-0.5,-2.7,2.2883044115609836
-0.3999999999999999,-2.7,2.207744586092499
-0.2999999999999998,-2.7,2.137376972537546
-0.19999999999999973,-2.7,2.082457396604643
-0.09999999999999964,-2.7,2.044056127164486
0.0,-2.7,2.01969823957489
0.10000000000000009,-2.7,2.0052347467781093
0.20000000000000018,-2.7,1.9969985802934203
0.30000000000000027,-2.7,1.9923554548954665
0.40000000000000036,-2.7,1.9898967108908683
0.5,-2.7,1.9886951380598898
0.6000000000000001,-2.7,1.9882980295043378
0.7000000000000002,-2.7,1.9883154310109494
0.8000000000000003,-2.7,1.9886261992685244
0.9000000000000004,-2.7,1.9890889779539997
1.0,-2.7,1.9896539765344625
1.1000000000000005,-2.7,1.9902229198009638
1.2000000000000002,-2.7,1.9908556298929185
1.2999999999999998,-2.7,1.9914443243002349
1.4000000000000004,-2.7,1.9920192717920784
1.5,-2.7,1.9925848583606325
1.6000000000000005,-2.7,1.9930970956199971
1.7000000000000002,-2.7,1.9935923017932005
1.8000000000000007,-2.7,1.9940617760106485
1.9000000000000004,-2.7,1.9944829716603807
2.0,-2.7,1.9948882326140616
2.1000000000000005,-2.7,1.9952677154246095
2.2,-2.7,1.9956069315965346
2.3000000000000007,-2.7,1.995932431325811
2.4000000000000004,-2.7,1.9962360510749153
2.5,-2.7,1.9965070474287085
2.6000000000000005,-2.7,1.996766625224013
