w,Khat_PII0.5,nu_at_midpoint_PII0.5,range_coefficient_PII0.5,ratio_PII0.5,Khat_PII5,nu_at_midpoint_PII5,range_coefficient_PII5,ratio_PII5,Khat_PII36,nu_at_midpoint_PII36,range_coefficient_PII36,ratio_PII36
1.500000000000000000e+00,5.991157586536441926e-01,5.402411338033649812e+00,1.401005105357288372e+01,3.733034219505025342e-01,9.456168646642616471e-01,5.402458380296803142e+00,1.509022653130322844e+01,4.280916516792739324e-01,4.722868688381350921e+01,5.402489055960452369e+00,1.962842297539247127e+01,2.282404452775668169e-01
1.550000000000000044e+00,5.005003932543634626e-01,6.216193984190724997e+00,1.671430735685938629e+01,3.129055777386826609e-01,7.898203135984115386e-01,6.216225727013848790e+00,1.801940731273802498e+01,3.585023573685127696e-01,3.943515010144513866e+01,6.216246475375202252e+00,2.346374352069732439e+01,1.909328746305209434e-01
1.653571428571428692e+00,3.508766644506920440e-01,7.804521643016124166e+00,2.291665118897358155e+01,2.282183359546193779e-01,5.535852772259386434e-01,7.804534625538817494e+00,2.474901681479717297e+01,2.610204699581292198e-01,2.763004610177511111e+01,7.804543148858742008e+00,3.230464178304482914e+01,1.386797609485129479e-01
1.757142857142857117e+00,2.512833362919549285e-01,9.071695044497069205e+00,2.846318212875004505e+01,1.837461453305774539e-01,3.964135303164889046e-01,9.071700086641492078e+00,3.077252967896038172e+01,2.099274927149325232e-01,1.978194631818977811e+01,9.071703409300141630e+00,4.023230486322431432e+01,1.113533021593076655e-01
1.860714285714285765e+00,1.834128420647888058e-01,9.970939039618054167e+00,3.258788709674081474e+01,1.604890794077614147e-01,2.893278495208412848e-01,9.970940997400244754e+00,3.525367369979554866e+01,1.832433140163053087e-01,1.443675608775304475e+01,9.970942291568587024e+00,4.613441236728576200e+01,9.710755529589881752e-02
1.964285714285714413e+00,1.361699094079709127e-01,1.057625272599154798e+01,3.542695828506587929e+01,1.476276895666961686e-01,2.147965534946844057e-01,1.057625350829198041e+01,3.833924123729146061e+01,1.684957706913757791e-01,1.071722411557068710e+01,1.057625402676213078e+01,5.020110126307837106e+01,8.924107016144137983e-02
2.067857142857143060e+00,1.026522595219241107e-01,1.097990323747044883e+01,3.734484427732315481e+01,1.400461054586805143e-01,1.619218850110692998e-01,1.097990356298008408e+01,4.042446846656146420e+01,1.598042038658744057e-01,8.078765632193347201e+00,1.097990377917257021e+01,5.295122371794163030e+01,8.460616555084500556e-02
2.171428571428571708e+00,7.845985850513355342e-02,1.125261397438929656e+01,3.865168195990882083e+01,1.353110585310305647e-01,1.237594674244220511e-01,1.125261411576733472e+01,4.184587056269384675e+01,1.543760450704824427e-01,6.174580074226168946e+00,1.125261420983085792e+01,5.482704935416632708e+01,8.171149191452090066e-02
2.274999999999999911e+00,6.072421806425654794e-02,1.144092000283263744e+01,3.955944199166368236e+01,1.322061115296346290e-01,9.578302825146332855e-02,1.144092006682006790e+01,4.283354365172167633e+01,1.508163800904747942e-01,4.778705177945717253e+00,1.144092010945463933e+01,5.613121988116596128e+01,7.981298125151206624e-02
2.378571428571428559e+00,4.753668584069965092e-02,1.157402797479484136e+01,4.020385852708682961e+01,1.300870163115402378e-01,7.498121192491577491e-02,1.157402800488055661e+01,4.353489269966200226e+01,1.483867215331428624e-01,3.740837616778286190e+00,1.157402802495047389e+01,5.705776113532620286e+01,7.851692584597917690e-02
2.482142857142857206e+00,3.760338006419296220e-02,1.167021661507731167e+01,4.067098683299883533e+01,1.285928964909350269e-01,5.931276582749498566e-02,1.167021662972385698e+01,4.404341289557785899e+01,1.466734654581823005e-01,2.959107161654898732e+00,1.167021663950409938e+01,5.772982924342639421e+01,7.760286248395809050e-02
2.585714285714285410e+00,3.003210718142066901e-02,1.174111053487644263e+01,4.101606277328890826e+01,1.275110199852229342e-01,4.737021998218106378e-02,1.174111054223620698e+01,4.441914022295661368e+01,1.454328014359304311e-01,2.363279050547499871e+00,1.174111054715472235e+01,5.822656084108050578e+01,7.694083138840018821e-02
2.689285714285714057e+00,2.419797698468737976e-02,1.179427440221096646e+01,4.127527910425676083e+01,1.267102273685322134e-01,3.816782090137452177e-02,1.179427440601752863e+01,4.470142737661225851e+01,1.445144009736893942e-01,1.904165756790849207e+00,1.179427440856318832e+01,5.859986119149181860e+01,7.645069303765615609e-02
2.792857142857142705e+00,1.965698892297173053e-02,1.183475192517329333e+01,4.147289357732402948e+01,1.261064649431547502e-01,3.100518342420661294e-02,1.183475192719480162e+01,4.491665873410158838e+01,1.438219177931737980e-01,1.546820711975544604e+00,1.183475192854746894e+01,5.888454982717308894e+01,7.608107751776753414e-02
2.896428571428571352e+00,1.608946294377221892e-02,1.186598469913744047e+01,4.162552492905140156e+01,1.256440611599318191e-01,2.537804040603244132e-02,1.186598470023733931e+01,4.508291514319310522e+01,1.432915324903378806e-01,1.266083715106877117e+00,1.186598470097368896e+01,5.910449949588275587e+01,7.579795173313461087e-02
3.000000000000000000e+00,1.326239127621826192e-02,1.189037116749661216e+01,4.174479051673890950e+01,1.252850939065765501e-01,2.091884791099972787e-02,1.189037116810860972e+01,4.521283915961879529e+01,1.428797686691097579e-01,1.043616766854859712e+00,1.189037116851848630e+01,5.927640943866896350e+01,7.557812698887042546e-02
