enzyme_target_ratio,G_over_K,total_fraction_lambda1,total_fraction_lambda4,gap,rigorous_pairwise_bound
1.000000000000000056e-01,2.780510271114779997e+01,2.384964404376632707e-01,2.383340563978196547e-01,1.623840398436160459e-04,1.000000000000000056e-01
1.000000000000000056e-01,3.066187817586519060e+01,2.224008863331319585e-01,2.222653239796636426e-01,1.355623534683159104e-04,1.000000000000000056e-01
1.000000000000000056e-01,3.381216689031207068e+01,2.085303269597888476e-01,2.084163060125593381e-01,1.140209472295095061e-04,1.000000000000000056e-01
1.000000000000000056e-01,3.728612524193668776e+01,1.966537734933143100e-01,1.965571471430786199e-01,9.662635023569010606e-05,1.000000000000000056e-01
1.000000000000000056e-01,4.111700797134443519e+01,1.865397730334517334e-01,1.864572822430224375e-01,8.249079042929596817e-05,1.000000000000000056e-01
1.000000000000000056e-01,4.534148650592767638e+01,1.779659487735584245e-01,1.778950269532657558e-01,7.092182029266869137e-05,1.000000000000000056e-01
1.000000000000000056e-01,5.000000000000000000e+01,1.707251830494665723e-01,1.706638023004778126e-01,6.138074898875967023e-05,1.000000000000000056e-01
1.258925411794167559e-01,2.000000000000000042e-02,9.989596254751164084e-01,9.989615897978527670e-01,1.964322736358603549e-06,1.258925411794167559e-01
1.258925411794167559e-01,2.205485697671746848e-02,9.989546633588367586e-01,9.989568364536353107e-01,2.173094798552099860e-06,1.258925411794167559e-01
1.258925411794167559e-01,2.432083581317314586e-02,9.989491207525087457e-01,9.989515256720179481e-01,2.404919509202407824e-06,1.258925411794167559e-01
1.258925411794167559e-01,2.681962777068809187e-02,9.989429226533773631e-01,9.989455851983239931e-01,2.662544946629985532e-06,1.258925411794167559e-01
1.258925411794167559e-01,2.957515273256627192e-02,9.989359830008540664e-01,9.989389320952111184e-01,2.949094357052040039e-06,1.258925411794167559e-01
1.258925411794167559e-01,3.261378817906619709e-02,9.989282028045369799e-01,9.989314709327233865e-01,3.268128186406649149e-06,1.258925411794167559e-01
1.258925411794167559e-01,3.596462168791318692e-02,9.989194679167212598e-01,9.989230916353077916e-01,3.623718586531765595e-06,1.258925411794167559e-01
1.258925411794167559e-01,3.965972937743380416e-02,9.989096463760958056e-01,9.989136669154002890e-01,4.020539304483428111e-06,1.258925411794167559e-01
1.258925411794167559e-01,4.373448295773112865e-02,9.988985852332807891e-01,9.989030492078253554e-01,4.463974544566262637e-06,1.258925411794167559e-01
1.258925411794167559e-01,4.822788832917234564e-02,9.988861067491365819e-01,9.988910670004379488e-01,4.960251301366902510e-06,1.258925411794167559e-01
1.258925411794167559e-01,5.318295896944989082e-02,9.988720038324487849e-01,9.988775204331605817e-01,5.516600711796826317e-06,1.258925411794167559e-01
1.258925411794167559e-01,5.864712768349253369e-02,9.988560345535321128e-01,9.988621760088589596e-01,6.141455326846845253e-06,1.258925411794167559e-01
1.258925411794167559e-01,6.467270065773574050e-02,9.988379155331007508e-01,9.988447602238420542e-01,6.844690741303338655e-06,1.258925411794167559e-01
1.258925411794167559e-01,7.131735816522113969e-02,9.988173139595446504e-01,9.988249518814515948e-01,7.637921906944455941e-06,1.258925411794167559e-01
1.258925411794167559e-01,7.864470671456429141e-02,9.987938379302830905e-01,9.988023727968343701e-01,8.534866551279662872e-06,1.258925411794167559e-01
1.258925411794167559e-01,8.672488792828034199e-02,9.987670247411295499e-01,9.987765765315826938e-01,9.551790453143915727e-06,1.258925411794167559e-01
1.258925411794167559e-01,9.563524997900371694e-02,9.987363266578918042e-01,9.987470347095689371e-01,1.070805167713295702e-05,1.258925411794167559e-01
1.258925411794167559e-01,1.054610880109774079e-01,9.987010935918254617e-01,9.987131203547734426e-01,1.202676294798088463e-05,1.258925411794167559e-01
1.258925411794167559e-01,1.162964606345559676e-01,9.986605519589236701e-01,9.986740875515155436e-01,1.353559259187342434e-05,1.258925411794167559e-01
1.258925411794167559e-01,1.282450903096792605e-01,9.986137788243648616e-01,9.986290465481844070e-01,1.526772381954533131e-05,1.258925411794167559e-01
1.258925411794167559e-01,1.414213562373095034e-01,9.985596702074560627e-01,9.985769331955295369e-01,1.726298807347426134e-05,1.258925411794167559e-01
1.258925411794167559e-01,1.559513892633635490e-01,9.984969021360357022e-01,9.985164713139502712e-01,1.956917791456902478e-05,1.258925411794167559e-01
1.258925411794167559e-01,1.719742792761937422e-01,9.984238826756679508e-01,9.984461262001232962e-01,2.224352445534538703e-05,1.258925411794167559e-01
1.258925411794167559e-01,1.896434066555258979e-01,9.983386926967221520e-01,9.983640469839645259e-01,2.535428724237398512e-05,1.258925411794167559e-01
1.258925411794167559e-01,2.091279105182546061e-01,9.982390125546269921e-01,9.982679948957273730e-01,2.898234110038089284e-05,1.258925411794167559e-01
1.258925411794167559e-01,2.306143078159937077e-01,9.981220311115994726e-01,9.981552536522477759e-01,3.322254064830332254e-05,1.258925411794167559e-01
1.258925411794167559e-01,2.543082787833217950e-01,9.979843325807810084e-01,9.980225170592762485e-01,3.818447849524009285e-05,1.258925411794167559e-01
1.258925411794167559e-01,2.804366358280677152e-01,9.978217554767034869e-01,9.978657474755107115e-01,4.399199880722459710e-05,1.258925411794167559e-01
1.258925411794167559e-01,3.092494947109917791e-01,9.976292164525896178e-01,9.976799968977999589e-01,5.078044521034108527e-05,1.258925411794167559e-01
1.258925411794167559e-01,3.410226687986532279e-01,9.974004899333808183e-01,9.974591799940760728e-01,5.869006069525450897e-05,1.258925411794167559e-01
1.258925411794167559e-01,3.760603093086393733e-01,9.971279321530899242e-01,9.971957853099713276e-01,6.785315688140336476e-05,1.258925411794167559e-01
1.258925411794167559e-01,4.146978168211084559e-01,9.968021354290955705e-01,9.968805069954943532e-01,7.837156639878273268e-05,1.258925411794167559e-01
1.258925411794167559e-01,4.573050519273262893e-01,9.964114952434451888e-01,9.965017746759976536e-01,9.027943255246473342e-05,1.258925411794167559e-01
1.258925411794167559e-01,5.042898757493767814e-01,9.959416690153665153e-01,9.960451535833492187e-01,1.034845679827034459e-04,1.258925411794167559e-01
1.258925411794167559e-01,5.561020542229561103e-01,9.953749015399036004e-01,9.954925810692025756e-01,1.176795292989751829e-04,1.258925411794167559e-01
1.258925411794167559e-01,6.132375635173039630e-01,9.946891883681280300e-01,9.948213998903254751e-01,1.322115221974451416e-04,1.258925411794167559e-01
1.258925411794167559e-01,6.762433378062412404e-01,9.938572457255748782e-01,9.940031446904364909e-01,1.458989648616126900e-04,1.258925411794167559e-01
1.258925411794167559e-01,7.457225048387343680e-01,9.928452552993513036e-01,9.930020386004381194e-01,1.567833010868158183e-04,1.258925411794167559e-01
1.258925411794167559e-01,8.223401594268892056e-01,9.916113566085174025e-01,9.917731662718698438e-01,1.618096633524412908e-04,1.258925411794167559e-01
1.258925411794167559e-01,9.068297301185536119e-01,9.901038720930703807e-01,9.902603146542980905e-01,1.564425612277098310e-04,1.258925411794167559e-01
1.258925411794167559e-01,1.000000000000000000e+00,9.882592753014342035e-01,9.883935226268608654e-01,1.342473254266618454e-04,1.258925411794167559e-01
