G_over_K,bound_exchange_rate,lambda,free_modified_fraction,total_modified_fraction,no_exchange_free_fraction,residual
3.000000000000000000e+00,1.000000000000000000e+01,4.000000000000000000e+00,9.267759448702854730e-01,9.221660407741916199e-01,9.315137935657243906e-01,3.285132582631078435e-17
3.000000000000000000e+00,1.778279410038922848e+01,1.000000000000000000e+00,9.268600982921401110e-01,9.231343314034088365e-01,9.315137935657242796e-01,3.317116546719400816e-16
3.000000000000000000e+00,1.778279410038922848e+01,4.000000000000000000e+00,9.267838047210356089e-01,9.223362905616949714e-01,9.315137935657243906e-01,7.068998164605488910e-17
3.000000000000000000e+00,3.162277660168379256e+01,1.000000000000000000e+00,9.268590497593651722e-01,9.231556969783849542e-01,9.315137935657242796e-01,6.530420735423314582e-16
3.000000000000000000e+00,3.162277660168379256e+01,4.000000000000000000e+00,9.267883069918146921e-01,9.224332524784267795e-01,9.315137935657243906e-01,2.903391773962510358e-16
3.000000000000000000e+00,5.623413251903490817e+01,1.000000000000000000e+00,9.268584606085197297e-01,9.231677373129645314e-01,9.315137935657242796e-01,1.470774457085211040e-15
3.000000000000000000e+00,5.623413251903490817e+01,4.000000000000000000e+00,9.267908651440801560e-01,9.224881705504348606e-01,9.315137935657243906e-01,4.733287871892810639e-16
3.000000000000000000e+00,1.000000000000000000e+02,1.000000000000000000e+00,9.268581294578043250e-01,9.231745162015104755e-01,9.315137935657242796e-01,2.861399268569431165e-15
3.000000000000000000e+00,1.000000000000000000e+02,4.000000000000000000e+00,9.267923120814952620e-01,9.225191783257757905e-01,9.315137935657243906e-01,4.990853650493898286e-16
1.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00,5.996683424549879016e-01,5.559806496444650303e-01,5.996683424549879016e-01,1.393741892730116073e-17
1.000000000000000000e+01,0.000000000000000000e+00,4.000000000000000000e+00,5.996683424549880126e-01,5.545996120332427060e-01,5.996683424549880126e-01,3.469446951953614189e-18
1.000000000000000000e+01,1.000000000000000048e-04,1.000000000000000000e+00,6.003980451718397005e-01,5.566648475909375948e-01,5.996683424549879016e-01,1.689762120103601578e-15
1.000000000000000000e+01,1.000000000000000048e-04,4.000000000000000000e+00,6.003338680640827318e-01,5.552819318419056627e-01,5.996683424549880126e-01,1.683626213433691426e-17
1.000000000000000000e+01,1.778279410038922698e-04,1.000000000000000000e+00,6.007978988585322977e-01,5.570400150894013747e-01,5.996683424549879016e-01,3.929094939434876624e-15
