G_over_K,bound_exchange_rate,lambda,free_modified_fraction,total_modified_fraction,no_exchange_free_fraction,residual
1.000000000000000000e+00,3.162277660168379412e-01,1.000000000000000000e+00,9.827933687581114075e-01,9.827965591954742619e-01,9.893730667424024405e-01,1.704907916233455722e-17
1.000000000000000000e+00,3.162277660168379412e-01,4.000000000000000000e+00,9.837541904352365973e-01,9.838199042217882218e-01,9.893730667424024405e-01,2.893125734641788238e-17
1.000000000000000000e+00,5.623413251903490728e-01,1.000000000000000000e+00,9.820879201220396038e-01,9.820774535265571759e-01,9.893730667424024405e-01,2.863088591079435141e-14
1.000000000000000000e+00,5.623413251903490728e-01,4.000000000000000000e+00,9.826896252657562059e-01,9.827901946623193163e-01,9.893730667424024405e-01,3.342459772501249482e-16
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.816208764920926200e-01,9.815940080234033527e-01,9.893730667424024405e-01,7.914675859144182368e-18
1.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+00,9.818827991458288773e-01,9.819919311184061028e-01,9.893730667424024405e-01,1.219727444046192488e-17
1.000000000000000000e+00,1.778279410038922759e+00,1.000000000000000000e+00,9.813310765616204412e-01,9.812909261284560314e-01,9.893730667424024405e-01,2.247713937176230858e-13
1.000000000000000000e+00,1.778279410038922759e+00,4.000000000000000000e+00,9.813333815810978411e-01,9.814387326154349056e-01,9.893730667424024405e-01,5.795743320490508166e-14
1.000000000000000000e+00,3.162277660168379523e+00,1.000000000000000000e+00,9.811584294741036993e-01,9.811091888363031588e-01,9.893730667424024405e-01,9.980673920792146325e-17
1.000000000000000000e+00,3.162277660168379523e+00,4.000000000000000000e+00,9.809860698387196098e-01,9.810846337073926282e-01,9.893730667424024405e-01,1.302285102672273709e-13
1.000000000000000000e+00,5.623413251903491172e+00,1.000000000000000000e+00,9.810580601754659291e-01,9.810031193743748990e-01,9.893730667424024405e-01,8.542303556137095799e-15
1.000000000000000000e+00,5.623413251903491172e+00,4.000000000000000000e+00,9.807767612959378267e-01,9.808694699119862026e-01,9.893730667424024405e-01,1.738044387231130194e-13
1.000000000000000000e+00,1.000000000000000000e+01,1.000000000000000000e+00,9.810005377646100477e-01,9.809421900338842759e-01,9.893730667424024405e-01,5.602614726318844163e-17
1.000000000000000000e+00,1.000000000000000000e+01,4.000000000000000000e+00,9.806542402515342483e-01,9.807428754236817703e-01,9.893730667424024405e-01,1.544378232069820722e-14
1.000000000000000000e+00,1.778279410038922848e+01,1.000000000000000000e+00,9.809678409149111822e-01,9.809075106379817610e-01,9.893730667424024405e-01,7.744381579164599794e-14
1.000000000000000000e+00,1.778279410038922848e+01,4.000000000000000000e+00,9.805837416234827186e-01,9.806698101634019338e-01,9.893730667424024405e-01,4.640385298237958978e-17
1.000000000000000000e+00,3.162277660168379256e+01,1.000000000000000000e+00,9.809493421241033406e-01,9.808878753376584214e-01,9.893730667424024405e-01,1.553540418053681038e-14
1.000000000000000000e+00,3.162277660168379256e+01,4.000000000000000000e+00,9.805435770420026786e-01,9.806281092409889766e-01,9.893730667424024405e-01,2.346449250856643201e-12
1.000000000000000000e+00,5.623413251903490817e+01,1.000000000000000000e+00,9.809389038117826143e-01,9.808767909744215974e-01,9.893730667424024405e-01,1.554232901369379319e-13
1.000000000000000000e+00,5.623413251903490817e+01,4.000000000000000000e+00,9.805208236793585552e-01,9.806044614285960304e-01,9.893730667424024405e-01,1.238208754278380397e-13
