eta,G_uM,fixed_free_GS_gap,closed_GS_gap,RHS
0.00042813323987193956,447.213595499958,0.00011195062191371452,7.671792759456064e-05,7.502679033599691e-17
0.00042813323987193956,522.3832559187591,0.000106308115321474,7.02849439321307e-05,6.071532165918825e-17
0.00042813323987193956,610.1877689098774,7.832542547869803e-05,4.4806011969655835e-05,6.071532165918825e-17
0.00042813323987193956,712.7508569783073,4.781702129896814e-05,1.8932556000827994e-05,7.719519468096792e-17
0.00042813323987193956,832.5532074018732,2.6211964321398717e-05,2.8512523867485484e-06,2.42861286636753e-16
0.00042813323987193956,972.4924724660731,1.3757286043469819e-05,4.181292121430147e-06,1.5959455978986625e-16
0.00042813323987193956,1135.9533548066277,7.206656222003005e-06,6.030286500591231e-06,4.683753385137379e-16
0.00042813323987193956,1326.889473009725,3.859622577762067e-06,5.647834075417357e-06,1.8041124150158794e-16
0.00042813323987193956,1549.918987548337,2.1401190131165038e-06,4.589925873266232e-06,5.551115123125783e-16
0.00042813323987193956,1810.4362999534146,1.2351553401179771e-06,3.509464894579928e-06,3.95516952522712e-16
0.00042813323987193956,2114.7425268811285,7.424208350315098e-07,2.614062229566727e-06,5.551115123125783e-16
0.00042813323987193956,2470.1979048446246,4.6361326011545856e-07,1.9293650996843326e-06,4.85722573273506e-16
0.00042813323987193956,2885.3998118144273,2.9949739810408715e-07,1.4223360624843195e-06,4.579669976578771e-16
0.00042813323987193956,3370.3907114852836,1.9914118876140918e-07,1.0503407404938159e-06,5.551115123125783e-17
0.00042813323987193956,3936.9010497450113,1.3558622935505582e-07,7.769521088718534e-07,3.3306690738754696e-16
0.00042813323987193956,4598.632978267703,9.407435730413027e-08,5.748265901051042e-07,6.245004513516506e-16
0.00042813323987193956,5371.591767636877,6.623848669562449e-08,4.244501492500774e-07,2.636779683484747e-16
0.00042813323987193956,6274.472925867966,4.716504808932598e-08,3.120946511225853e-07,6.869504964868156e-16
0.00042813323987193956,7329.114385542688,3.3867643023377525e-08,2.2804309707247228e-07,3.885780586188048e-16
0.00042813323987193956,8561.024696578494,2.4471055515284945e-08,1.652938220741973e-07,2.636779683484747e-16
0.00042813323987193956,10000.0,1.776207270154373e-08,1.1868590621411101e-07,2.7755575615628914e-16
0.0006951927961775605,20.0,2.82042248063441e-10,2.79900144213455e-10,1.0408340855860843e-17
0.0006951927961775605,23.361689410840295,4.600779882123294e-10,4.5694455538163384e-10,6.938893903907228e-18
0.0006951927961775605,27.288426606428374,7.895984268171691e-10,7.849451013762672e-10,1.3877787807814457e-17
0.0006951927961775605,31.87518734449451,1.4224850058714572e-09,1.4156275863455754e-09,6.938893903907228e-18
0.0006951927961775605,37.23291133272139,2.680660468395383e-09,2.671095143897198e-09,3.469446951953614e-18
0.0006951927961775605,43.49118552081964,5.261159332140258e-09,5.250058684829178e-09,1.3877787807814457e-17
0.0006951927961775605,50.80137841233114,1.070053403203668e-08,1.0696010069885607e-08,1.0408340855860843e-17
0.0006951927961775605,59.34030120557235,2.2434746976991975e-08,2.246843129626898e-08,1.0408340855860843e-17
0.0006951927961775605,69.31448431551465,4.822727452591033e-08,4.840218903825501e-08,6.938893903907228e-18
0.0006951927961775605,80.9651727125807,1.0572709265228072e-07,1.0634037952484722e-07,6.938893903907228e-18
0.0006951927961775605,94.5741609003176,2.3511004724043136e-07,2.3689137448326073e-07,1.0408340855860843e-17
0.0006951927961775605,110.47060866220276,5.274447040155318e-07,5.315614825087203e-07,6.938893903907228e-18
0.0006951927961775605,129.0390024296432,1.186869892208205e-06,1.1913291821199264e-06,1.0408340855860843e-17
0.0006951927961775605,150.72845483229952,2.6617363394136444e-06,2.634115871682531e-06,1.3010426069826053e-17
0.0006951927961775605,176.06356735840254,5.903741382491667e-06,5.641375039378699e-06,2.6020852139652106e-17
0.0006951927961775605,205.65711885957793,1.2820773695828083e-05,1.145137836902968e-05,2.7755575615628914e-17
0.0006951927961775605,240.22488679628626,2.6864469045772416e-05,2.1895815360294113e-05,4.5102810375396984e-17
0.0006951927961775605,280.60295970445543,5.3077345159420475e-05,4.050601380883173e-05,6.938893903907228e-17
0.0006951927961775605,327.76795961890105,9.525750883017381e-05,7.257808415436773e-05,5.204170427930421e-17
0.0006951927961775605,382.86066357208045,0.00014681960187520882,0.00011536152181293446,5.160802341031001e-17
0.0006951927961775605,447.213595499958,0.00018175223053579215,0.00014530822144875888,9.194034422677078e-17
0.0006951927961775605,522.3832559187591,0.00017258404923825577,0.00013541524078941602,8.847089727481716e-17
0.0006951927961775605,610.1877689098774,0.00012715407293795167,9.27990584477234e-05,1.1796119636642288e-16
0.0006951927961775605,712.7508569783073,7.762748999073921e-05,4.8239543477213154e-05,1.97758476261356e-16
0.0006951927961775605,832.5532074018732,4.2554458745680535e-05,1.8921680770112026e-05,1.3877787807814457e-16
0.0006951927961775605,972.4924724660731,2.2335340550849736e-05,4.256040693761953e-06,1.3183898417423734e-16
0.0006951927961775605,1135.9533548066277,1.1700565249128658e-05,1.609036919703044e-06,4.996003610813204e-16
0.0006951927961775605,1326.889473009725,6.266556112688448e-06,3.2792717814533745e-06,4.787836793695988e-16
0.0006951927961775605,1549.918987548337,3.474807931946877e-06,3.2762278234788056e-06,5.48172618408671e-16
0.0006951927961775605,1810.4362999534146,2.005493541568093e-06,2.751086177088524e-06,4.371503159461554e-16
0.0006951927961775605,2114.7425268811285,1.2054662897886814e-06,2.1581178716312266e-06,4.163336342344337e-16
0.0006951927961775605,2470.1979048446246,7.527743162150102e-07,1.6445873585180237e-06,3.7470027081099033e-16
