G_uM,epsilon,direct,J,PII_TV,GS_total_gap,GS_free_gap,GS_bound,GS_condition_bound
37.23291133272139,0.008944271909999161,0.0,0.0,8.729170715396298e-06,2.9747859576250888e-15,1.4823076576950256e-21,0.0011180339887498952,0.0011180339887498952
37.23291133272139,0.01300689825248473,0.0,0.0,1.2692558806191956e-05,6.388171928085559e-15,0.0,0.0016258622815605913,0.0016258622815605913
37.23291133272139,0.01891483218006352,0.0,0.0,1.8454444481240747e-05,1.3738147967833363e-14,2.117582368135751e-22,0.00236435402250794,0.00236435402250794
37.23291133272139,0.02750624087734529,0.0,0.0,2.6829752621993505e-05,2.966057907790432e-14,1.376428539288238e-21,0.003438280109668161,0.003438280109668161
37.23291133272139,0.04000000000000001,0.0,0.0,3.900125127215563e-05,6.448507641341523e-14,1.5881867761018131e-21,0.005000000000000001,0.005000000000000001
37.23291133272139,0.05816861733795817,0.0,0.0,5.668383893538175e-05,1.417668106506591e-13,0.0,0.007271077167244772,0.007271077167244772
37.23291133272139,0.08458970107524516,0.0,0.0,8.235984447084864e-05,3.1705395058415027e-13,1.376428539288238e-21,0.010573712634405645,0.010573712634405645
37.23291133272139,0.12301164881445506,0.0,0.0,0.00011961238697479476,7.278649637779247e-13,1.5881867761018131e-21,0.015376456101806883,0.015376456101806883
37.23291133272139,0.17888543819998323,0.0,0.0,0.00017358723399046947,1.7394822526582696e-12,0.0,0.022360679774997904,0.022360679774997904
37.23291133272139,0.26013796504969466,0.0,0.0,0.00025159938060526717,4.426913368188301e-12,1.6940658945086007e-21,0.03251724563121183,0.03251724563121183
37.23291133272139,0.37829664360127047,0.0,0.0,0.00036380577339678556,1.2469826949075757e-11,1.5881867761018131e-21,0.04728708045015881,0.04728708045015881
37.23291133272139,0.5501248175469059,0.0,0.0,0.0005233767813275038,4.1680391430546505e-11,1.5881867761018131e-21,0.06876560219336324,0.06876560219336324
37.23291133272139,0.8,0.0,0.0,0.0007427268029396296,1.8805140416936874e-10,0.0,0.1,0.1
43.49118552081964,0.0001,0.0,0.0,1.269415149652196e-07,2.643801586617485e-18,2.117582368135751e-22,1.25e-05,1.2500000000000004e-05
43.49118552081964,0.00014542154334489538,0.0,0.0,1.8459995774441406e-07,3.2898759671357025e-18,0.0,1.8177692918111922e-05,1.8177692918111922e-05
43.49118552081964,0.00021147425268811283,0.0,0.0,2.684473619916855e-07,3.6157718935917946e-18,3.5998900258307764e-21,2.6434281586014103e-05,2.6434281586014103e-05
43.49118552081964,0.00030752912203613756,0.0,0.0,3.903787205811037e-07,2.7702212539951893e-18,2.117582368135751e-22,3.8441140254517195e-05,3.8441140254517195e-05
43.49118552081964,0.00044721359549995795,0.0,0.0,5.676914253579822e-07,1.2235390923088368e-18,3.1763735522036263e-21,5.5901699437494744e-05,5.5901699437494744e-05
43.49118552081964,0.0006503449126242365,0.0,0.0,8.255385787558547e-07,1.288527695186923e-17,2.117582368135751e-22,8.129311407802956e-05,8.129311407802956e-05
43.49118552081964,0.000945741609003176,0.0,0.0,1.200496020249659e-06,4.226228538677969e-17,0.0,0.000118217701125397,0.000118217701125397
43.49118552081964,0.0013753120438672643,0.0,0.0,1.7457482712281474e-06,1.1127238894019249e-16,0.0,0.00017191400548340803,0.00017191400548340803
43.49118552081964,0.0020000000000000005,0.0,0.0,2.538627270390359e-06,2.6737484364676607e-16,3.5998900258307764e-21,0.00025000000000000006,0.00025000000000000006
43.49118552081964,0.0029084308668979077,0.0,0.0,3.6915695313171296e-06,6.127417282196295e-16,3.5998900258307764e-21,0.00036355385836223846,0.00036355385836223846
43.49118552081964,0.0042294850537622575,0.0,0.0,5.368037870467418e-06,1.3666902014936554e-15,0.0,0.0005286856317202822,0.0005286856317202822
43.49118552081964,0.0061505824407227525,0.0,0.0,7.805648766404442e-06,2.999763371052842e-15,0.0,0.0007688228050903441,0.0007688228050903441
43.49118552081964,0.008944271909999161,0.0,0.0,1.134974839107017e-05,6.523121852516824e-15,4.235164736271502e-22,0.0011180339887498952,0.0011180339887498952
43.49118552081964,0.01300689825248473,0.0,0.0,1.650211883453558e-05,1.4118000845941619e-14,0.0,0.0016258622815605913,0.0016258622815605913
43.49118552081964,0.01891483218006352,0.0,0.0,2.399154676618299e-05,3.0521110236326945e-14,4.235164736271502e-22,0.00236435402250794,0.00236435402250794
43.49118552081964,0.02750624087734529,0.0,0.0,3.487587608639762e-05,6.612594683889125e-14,0.0,0.003438280109668161,0.003438280109668161
43.49118552081964,0.04000000000000001,0.0,0.0,5.068915279744937e-05,1.4409559348441266e-13,0.0,0.005000000000000001,0.005000000000000001
43.49118552081964,0.05816861733795817,0.0,0.0,7.365275121037524e-05,3.172438832171328e-13,0.0,0.007271077167244772,0.007271077167244772
