eta,direct,J,epsilon,G_uM,total_GS_gap,bound
1,0,0,0.1,153.41274046343915,1.8358311865826135e-06,0.03883403898972401
1,0,0,0.1,190.0168620844211,4.169124644824024e-06,0.03883403898972401
1,0,0,0.1,235.35468936502514,8.153090024845544e-06,0.03883403898972401
1,0,0,0.1,291.51007546634406,1.3328449417551735e-05,0.03883403898972401
1,0,0,0.1,361.06407876409946,1.6945897026082735e-05,0.03883403898972401
1,0,0,0.1,447.213595499958,1.3726762322030517e-05,0.03883403898972401
1,0,0,0.1,553.9182980610753,4.657998413981623e-06,0.03883403898972401
1,0,0,0.1,686.0826325815651,3.7256046746536597e-06,0.03883403898972401
1,0,0,0.1,849.781240983936,8.86182568893279e-06,0.03883403898972401
1,0,0,0.1,1052.5381684870872,1.1335773650644754e-05,0.03883403898972401
1,0,0,0.1,1303.672689737678,1.2085113913484768e-05,0.03883403898972401
1,0,0,0.1,1614.7276486997293,1.1832750502316358e-05,0.03883403898972401
1,0,0,0.1,2000.0,1.1091436352028694e-05,0.03883403898972401
1,0,0,0.8,100.0,3.599772263751988e-06,0.4819660112501052
1,0,0,0.8,123.85989684455544,9.62788255953154e-06,0.4819660112501052
1,0,0,0.8,153.41274046343915,2.4252405522898462e-05,0.4819660112501052
1,0,0,0.8,190.0168620844211,5.668226179488152e-05,0.4819660112501052
1,0,0,0.8,235.35468936502514,0.00011654425083894998,0.4819660112501052
1,0,0,0.8,291.51007546634406,0.00020105518562885116,0.4819660112501052
1,0,0,0.8,361.06407876409946,0.0002720395957468147,0.4819660112501052
1,0,0,0.8,447.213595499958,0.00023799349268682768,0.4819660112501052
1,0,0,0.8,553.9182980610753,9.364978401005253e-05,0.4819660112501052
1,0,0,0.8,686.0826325815651,3.665356189985758e-05,0.4819660112501052
1,0,0,0.8,849.781240983936,0.00010280922398908654,0.4819660112501052
1,0,0,0.8,1052.5381684870872,0.00012610506760346585,0.4819660112501052
1,0,0,0.8,1303.672689737678,0.0001282897265898475,0.4819660112501052
1,0,0,0.8,1614.7276486997293,0.00012099312214297608,0.4819660112501052
1,0,0,0.8,2000.0,0.00011024138887827384,0.4819660112501052
1,0,0.4,0.01,100.0,3.0941276732171264e-10,0.031391874289600635
1,0,0.4,0.01,123.85989684455544,8.473064328307978e-10,0.031391874289600635
1,0,0.4,0.01,153.41274046343915,2.1576931198038205e-09,0.031391874289600635
1,0,0.4,0.01,190.0168620844211,5.10508209170717e-09,0.031391874289600635
1,0,0.4,0.01,235.35468936502514,1.0939584468654638e-08,0.031391874289600635
1,0,0.4,0.01,291.51007546634406,2.0092395117696574e-08,0.031391874289600635
1,0,0.4,0.01,361.06407876409946,2.7845742892051994e-08,0.031391874289600635
1,0,0.4,0.01,447.213595499958,9.996041909043907e-06,0.031391874289600635
1,0,0.4,0.01,553.9182980610753,8.74908880899028e-07,0.031391874289600635
1,0,0.4,0.01,686.0826325815651,1.0923717002064848e-06,0.031391874289600635
1,0,0.4,0.01,849.781240983936,1.220871774565424e-06,0.031391874289600635
1,0,0.4,0.01,1052.5381684870872,1.2706630293513044e-06,0.031391874289600635
1,0,0.4,0.01,1303.672689737678,1.2459245594120816e-06,0.031391874289600635
1,0,0.4,0.01,1614.7276486997293,1.1704084699193373e-06,0.031391874289600635
1,0,0.4,0.01,2000.0,1.0717097712609203e-06,0.031391874289600635
1,0,0.4,0.1,100.0,3.2985959428295366e-09,0.3184595505148419
1,0,0.4,0.1,123.85989684455544,9.022694748284777e-09,0.3184595505148419
1,0,0.4,0.1,153.41274046343915,2.298095829833622e-08,0.3184595505148419
1,0,0.4,0.1,190.0168620844211,5.4465264728609545e-08,0.3184595505148419
1,0,0.4,0.1,235.35468936502514,1.1709019181451938e-07,0.3184595505148419
1,0,0.4,0.1,291.51007546634406,2.1666923504231467e-07,0.3184595505148419
1,0,0.4,0.1,361.06407876409946,3.061002981016858e-07,0.3184595505148419
1,0,0.4,0.1,447.213595499958,8.083907016034897e-05,0.3184595505148419
1,0,0.4,0.1,553.9182980610753,9.008790096465269e-06,0.3184595505148419
1,0,0.4,0.1,686.0826325815651,1.1343132305108306e-05,0.3184595505148419
1,0,0.4,0.1,849.781240983936,1.2638123844999072e-05,0.3184595505148419
1,0,0.4,0.1,1052.5381684870872,1.311345254706442e-05,0.3184595505148419
1,0,0.4,0.1,1303.672689737678,1.282347930087191e-05,0.3184595505148419
1,0,0.4,0.1,1614.7276486997293,1.2018598879004472e-05,0.3184595505148419
1,0,0.4,0.1,2000.0,1.098398140741974e-05,0.3184595505148419
1,0,0.4,0.8,100.0,4.428395385075975e-08,1
1,0,0.4,0.8,123.85989684455544,1.189753607285318e-07,1
1,0,0.4,0.8,153.41274046343915,3.040101573426954e-07,1
1,0,0.4,0.8,190.0168620844211,7.399201642877635e-07,1
1,0,0.4,0.8,235.35468936502514,1.6637365851438998e-06,1
1,0,0.4,0.8,291.51007546634406,3.302060216731073e-06,1
1,0,0.4,0.8,361.06407876409946,5.41593104634976e-06,1
1,0,0.4,0.8,447.213595499958,0.00012107397259255095,1
1,0,0.4,0.8,553.9182980610753,3.890849552823372e-05,1
1,0,0.4,0.8,686.0826325815651,0.00012454444386922336,1
1,0,0.4,0.8,849.781240983936,0.00013384279576089675,1
1,0,0.4,0.8,1052.5381684870872,0.00013439094144185315,1
1,0,0.4,0.8,1303.672689737678,0.00012795651012809106,1
1,0,0.4,0.8,1614.7276486997293,0.00011744327826523904,1
1,0,0.4,0.8,2000.0,0.00010561647226647874,1
1,1,0,0.01,100.0,2.8928862870307437e-08,0.0037625786760090534
1,1,0,0.01,123.85989684455544,7.711579888113745e-09,0.0037625786760090534
1,1,0,0.01,153.41274046343915,1.0801367123294825e-07,0.0037625786760090534
1,1,0,0.01,190.0168620844211,3.256747301873253e-07,0.0037625786760090534
1,1,0,0.01,235.35468936502514,6.982900028068562e-07,0.0037625786760090534
1,1,0,0.01,291.51007546634406,1.179768472803211e-06,0.0037625786760090534
1,1,0,0.01,361.06407876409946,1.5128096572114558e-06,0.0037625786760090534
1,1,0,0.01,447.213595499958,1.2197355817589184e-06,0.0037625786760090534
1,1,0,0.01,553.9182980610753,3.977893839879343e-07,0.0037625786760090534
1,1,0,0.01,686.0826325815651,3.6956280080602255e-07,0.0037625786760090534
1,1,0,0.01,849.781240983936,8.501488700796145e-07,0.0037625786760090534
1,1,0,0.01,1052.5381684870872,1.0882241624488032e-06,0.0037625786760090534
1,1,0,0.01,1303.672689737678,1.1640913539778808e-06,0.0037625786760090534
1,1,0,0.01,1614.7276486997293,1.1432462870830662e-06,0.0037625786760090534
1,1,0,0.01,2000.0,1.074001827805482e-06,0.0037625786760090534
1,1,0,0.1,100.0,3.874768984303816e-07,0.03883403898972401
1,1,0,0.1,123.85989684455544,6.607968878243747e-09,0.03883403898972401
1,1,0,0.1,153.41274046343915,1.0556382649684615e-06,0.03883403898972401
1,1,0,0.1,190.0168620844211,3.3766254755856345e-06,0.03883403898972401
1,1,0,0.1,235.35468936502514,7.378616688563655e-06,0.03883403898972401
1,1,0,0.1,291.51007546634406,1.2581956440188558e-05,0.03883403898972401
1,1,0,0.1,361.06407876409946,1.6259598531243036e-05,0.03883403898972401
1,1,0,0.1,447.213595499958,1.3230409561304501e-05,0.03883403898972401
1,1,0,0.1,553.9182980610753,4.401243059781734e-06,0.03883403898972401
1,1,0,0.1,686.0826325815651,3.825881023211686e-06,0.03883403898972401
1,1,0,0.1,849.781240983936,8.88800947329571e-06,0.03883403898972401
1,1,0,0.1,1052.5381684870872,1.1328500072016467e-05,0.03883403898972401
1,1,0,0.1,1303.672689737678,1.2060491015541963e-05,0.03883403898972401
1,1,0,0.1,1614.7276486997293,1.1796738977554178e-05,0.03883403898972401
1,1,0,0.1,2000.0,1.1046092194155754e-05,0.03883403898972401
1,1,0,0.8,100.0,2.8925922072251193e-05,0.4819660112501052
1,1,0,0.8,123.85989684455544,2.573380463080817e-05,0.4819660112501052
1,1,0,0.8,153.41274046343915,1.3298538087325694e-05,0.4819660112501052
1,1,0,0.8,190.0168620844211,1.665840451469877e-05,0.4819660112501052
1,1,0,0.8,235.35468936502514,7.404922661882751e-05,0.4819660112501052
1,1,0,0.8,291.51007546634406,0.00015712612364518486,0.4819660112501052
1,1,0,0.8,361.06407876409946,0.00023071488209222557,0.4819660112501052
1,1,0,0.8,447.213595499958,0.00020840721330744882,0.4819660112501052
1,1,0,0.8,553.9182980610753,7.951207769096857e-05,0.4819660112501052
1,1,0,0.8,686.0826325815651,4.133948688400668e-05,0.4819660112501052
1,1,0,0.8,849.781240983936,0.00010378807254629585,0.4819660112501052
1,1,0,0.8,1052.5381684870872,0.0001258254074998355,0.4819660112501052
1,1,0,0.8,1303.672689737678,0.000127545314772326,0.4819660112501052
1,1,0,0.8,1614.7276486997293,0.00012002356068185893,0.4819660112501052
1,1,0,0.8,2000.0,0.0001091160922339629,0.4819660112501052
1,1,0.4,0.01,100.0,3.558084007920868e-10,0.031391874289600635
1,1,0.4,0.01,123.85989684455544,9.773358216949297e-11,0.031391874289600635
1,1,0.4,0.01,153.41274046343915,1.3650977144871344e-09,0.031391874289600635
