protein,activity,ATP_uM,IDH_form_uM,ATP_over_Km,protein_over_apparent_Kd,ordered_protein_bound,random_protein_bound,occupancy_contrast,ordered_rate_nmol_mg_min,random_rate_nmol_mg_min
AceK3,phosphatase,53.0,2.020754716981132,1.0,0.1,0.044658493870402785,0.08927639227205124,0.044617898401648454,1.071803852889667,1.071127089702422
AceK3,phosphatase,53.0,20.20754716981132,1.0,1.0,0.24757281553398056,0.49502187191626534,0.2474490563822848,5.941747572815533,5.93879190499966
AceK3,phosphatase,53.0,202.0754716981132,1.0,10.0,0.45373665480427045,0.9074325767795706,0.4536959219753001,10.88967971530249,10.884610924381434
AceK3,phosphatase,530.0,2.020754716981132,10.0,0.1,0.08005022759378431,0.08798233199306778,0.007932104399283463,1.9212054622508234,1.9195987012516609
AceK3,phosphatase,530.0,20.20754716981132,10.0,1.0,0.446584938704028,0.4910169757800984,0.04443203707607041,10.718038528896672,10.712950220960652
AceK3,phosphatase,530.0,202.0754716981132,10.0,10.0,0.8237764496850267,0.9060780991123041,0.08230164942727736,19.770634792440642,19.768093839680816
AceK4,phosphatase,0.0,4.275,0.0,0.1,0.0,0.09090909090909091,0.09090909090909091,0.0,0.0
AceK4,phosphatase,0.0,42.75,0.0,1.0,0.0,0.5,0.5,0.0,0.0
AceK4,phosphatase,0.0,427.5,0.0,10.0,0.0,0.9090909090909091,0.9090909090909091,0.0,0.0
AceK4,phosphatase,1.2,4.275,0.01,0.1,0.0009046135289978897,0.09136509871994383,0.09046048519094595,0.010855362347974677,0.01084937160673833
AceK4,phosphatase,1.2,42.75,0.01,1.0,0.004964147821290679,0.5013757268449838,0.4964115790236931,0.059569773855488145,0.05952443107938177
AceK4,phosphatase,1.2,427.5,0.01,10.0,0.009005403241945167,0.9095444963008604,0.9005390930589152,0.10806483890334201,0.10796220418103256
AceK4,phosphatase,12.0,4.275,0.1,0.1,0.008662175168431189,0.09527565098165444,0.08661347581322325,0.10394610202117427,0.103887313501379
AceK4,phosphatase,12.0,42.75,0.1,1.0,0.04663212435233161,0.5129238040481515,0.4662916796958199,0.5595854922279794,0.5591734469025951
AceK4,phosphatase,12.0,427.5,0.1,10.0,0.08302583025830258,0.9132730899522298,0.8302472596939272,0.996309963099631,0.9954334415932152
AceK4,phosphatase,120.0,4.275,1.0,0.1,0.06081081081081084,0.12156537679864404,0.0607545659878332,0.72972972972973,0.7292537591089328
AceK4,phosphatase,120.0,42.75,1.0,1.0,0.29032258064516125,0.5804833715341051,0.29016079088894386,3.483870967741935,3.481822522233464
AceK4,phosphatase,120.0,427.5,1.0,10.0,0.46632124352331605,0.9325897849045277,0.46626854138121165,5.595854922279793,5.592961560472831
AceK4,phosphatase,1200.0,4.275,10.0,0.1,0.15280135823429547,0.16795185095245282,0.015150492718157355,1.8336162988115456,1.8321853200983913
AceK4,phosphatase,1200.0,42.75,10.0,1.0,0.6081081081081081,0.668681992671312,0.060573884563203895,7.297297297297297,7.294561404423472
AceK4,phosphatase,1200.0,427.5,10.0,10.0,0.8662175168431184,0.952768522142505,0.08655100529938653,10.394610202117422,10.393194839502614
